,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Deshaun Watson,QB,27,2022,343.9517073662219,88.0,15.8,47.0,121.0
1,Justin Herbert,QB,24,2022,330.13199410481366,60.0,10.4,32.0,84.0
2,Josh Allen,QB,26,2022,327.1304171100563,30.0,6.1,15.0,48.0
3,Aaron Rodgers,QB,39,2022,307.57866785097167,108.0,13.0,70.0,150.0
4,Patrick Mahomes,QB,27,2022,307.2530064234586,23.0,5.2,10.0,37.0
5,Tom Brady,QB,45,2022,306.72966976375744,,,,
6,Lamar Jackson,QB,25,2022,302.11569028079913,46.0,13.0,15.0,80.0
7,Kyler Murray,QB,25,2022,299.2038255526302,159.0,16.9,97.0,180.0
8,Matthew Stafford,QB,34,2022,269.830210422905,174.0,15.7,113.0,180.0
9,Russell Wilson,QB,34,2022,269.830210422905,133.0,13.5,90.0,166.0
10,Kirk Cousins,QB,34,2022,256.16177125364385,110.0,12.6,73.0,150.0
11,Ryan Tannehill,QB,34,2022,253.4759629006257,,,,
12,Derek Carr,QB,31,2022,241.85799614674562,163.0,16.3,101.0,180.0
13,Matt Ryan,QB,37,2022,236.83696170862663,,,,
14,Dak Prescott,QB,29,2022,227.5163172843777,81.0,13.9,44.0,114.0
15,Carson Wentz,QB,30,2022,226.68232555809413,,,,
16,Russell Wilson,QB,34,2022,220.9387972932247,133.0,13.5,90.0,166.0
17,Matthew Stafford,QB,34,2022,220.9387972932247,174.0,15.7,113.0,180.0
18,Mac Jones,QB,24,2022,208.62999244150814,,,,
19,Joe Burrow,QB,26,2022,201.83702283405364,45.0,8.9,26.0,76.0
20,Jared Goff,QB,28,2022,201.083976633833,136.0,14.4,89.0,190.0
21,Baker Mayfield,QB,27,2022,195.08180355593612,,,,
22,Trevor Lawrence,QB,23,2022,177.47687350115473,78.0,14.6,35.0,106.0
23,Teddy Bridgewater,QB,30,2022,158.38465929039978,,,,
24,Jalen Hurts,QB,24,2022,150.42989773463393,34.0,7.7,14.0,63.0
25,Jordan Love,QB,24,2022,150.42989773463393,201.0,23.0,103.0,205.0
26,Sam Darnold,QB,25,2022,150.42932732667487,,,,
27,Jimmy Garoppolo,QB,31,2022,149.2783574754439,204.0,25.4,94.0,206.0
28,Daniel Jones,QB,25,2022,149.05041963668714,123.0,15.4,77.0,150.0
29,Davis Mills,QB,24,2022,136.53734319644417,,,,
30,Zach Wilson,QB,23,2022,132.88142641952476,,,,
31,Kenny Pickett,QB,24,2022,129.95713547749716,200.0,31.3,77.0,208.0
32,Tyler Huntley,QB,24,2022,129.95713547749716,,,,
33,Tua Tagovailoa,QB,24,2022,129.55950238953147,100.0,14.3,58.0,126.0
34,Andy Dalton,QB,35,2022,113.85380701616621,,,,
35,Gardner Minshew II,QB,26,2022,113.00096466884595,,,,
36,Brock Purdy,QB,23,2022,101.68188862257158,177.0,25.5,85.0,201.0
37,Jameis Winston,QB,28,2022,99.3281193738782,,,,
38,Justin Fields,QB,23,2022,94.54179259686859,67.0,12.9,28.0,91.0
39,Mitchell Trubisky,QB,28,2022,91.630774231606,,,,
40,Taylor Heinicke,QB,29,2022,64.11158066073584,,,,
41,Trey Lance,QB,22,2022,62.93859698629666,,,,
42,Jacoby Brissett,QB,30,2022,54.21398291668205,,,,
43,Kyle Allen,QB,26,2022,52.23758032142407,,,,
44,Josh Johnson,QB,36,2022,46.843729608078206,,,,
45,Jeff Driskel,QB,29,2022,36.89445391305064,,,,
46,Marcus Mariota,QB,29,2022,36.89445391305064,,,,
47,Nick Foles,QB,33,2022,36.146879915036976,,,,
48,Mike White,QB,27,2022,35.73517196805194,,,,
49,Desmond Ridder,QB,23,2022,34.41833194910269,,,,
50,Joe Flacco,QB,37,2022,34.12527283060163,,,,
51,Case Keenum,QB,34,2022,33.608923244651734,,,,
52,Bailey Zappe,QB,23,2022,33.046109903288794,,,,
53,Brandon Allen,QB,30,2022,26.9328254331612,,,,
54,Trevor Siemian,QB,31,2022,26.829597579196157,,,,
55,Nick Mullens,QB,27,2022,23.86573220532759,,,,
56,Blaine Gabbert,QB,33,2022,21.82701419646782,,,,
57,Tyrod Taylor,QB,33,2022,21.82701419646782,,,,
58,Tyler Huntley,QB,24,2022,21.16702107511788,,,,
59,Kenny Pickett,QB,24,2022,21.16702107511788,200.0,31.3,77.0,208.0
60,C.J. Beathard,QB,29,2022,17.411798800758618,,,,
61,Jordan Love,QB,24,2022,16.05133073040583,201.0,23.0,103.0,205.0
62,Jalen Hurts,QB,24,2022,16.05133073040583,34.0,7.7,14.0,63.0
63,Sam Howell,QB,22,2022,13.340378028816918,,,,
64,Jeff Driskel,QB,29,2022,13.226002876120676,,,,
65,Marcus Mariota,QB,29,2022,13.226002876120676,,,,
66,Cooper Rush,QB,29,2022,12.858533439100976,,,,
67,Bryce Perkins,QB,26,2022,10.666663749118287,,,,
68,Chad Henne,QB,37,2022,9.08816488981857,,,,
69,Brian Hoyer,QB,37,2022,9.08816488981857,,,,
70,Malik Willis,QB,23,2022,9.017757645968091,,,,
71,Chase Daniel,QB,36,2022,7.637321255911794,,,,
72,Skylar Thompson,QB,25,2022,7.075753859255916,,,,
73,Colt McCoy,QB,36,2022,6.621567421662845,,,,
74,Chad Henne,QB,37,2022,6.243833962026732,,,,
75,Brian Hoyer,QB,37,2022,6.243833962026732,,,,
76,Tyrod Taylor,QB,33,2022,4.525123855049655,,,,
77,Blaine Gabbert,QB,33,2022,4.525123855049655,,,,
78,David Blough,QB,27,2022,3.7010984841537486,,,,
79,Tim Boyle,QB,28,2022,3.1995674969786676,,,,
80,P.J. Walker,QB,27,2022,3.0848499357986325,,,,
81,Chris Streveler,QB,27,2022,1.9048853889063226,,,,
82,Trace McSorley,QB,27,2022,1.9048853889063226,,,,
83,Anthony Brown,QB,24,2022,0.8783653487073582,,,,
84,Kyle Trask,QB,24,2022,0.8783653487073582,,,,
85,Anthony Brown,QB,24,2022,-0.9229485666532085,,,,
86,Kyle Trask,QB,24,2022,-0.9229485666532085,,,,
87,Nathan Peterman,QB,28,2022,-2.3256988224019772,,,,
88,Brett Rypien,QB,26,2022,-3.0594833427635355,,,,
89,Chris Streveler,QB,27,2022,-3.555464918433821,,,,
90,Trace McSorley,QB,27,2022,-3.555464918433821,,,,
91,Davis Webb,QB,27,2022,-4.171724466058089,,,,
92,John Wolford,QB,27,2022,-4.483302173176134,,,,
93,Jacob Eason,QB,25,2022,-6.598942875668854,,,,
94,Joshua Dobbs,QB,27,2022,-7.292410410299587,,,,
95,Jarrett Stidham,QB,26,2022,-7.841762544577584,,,,
96,Sam Ehlinger,QB,24,2022,-10.845508124361992,,,,
97,Geno Smith,QB,32,2022,-17.122502704379695,141.0,25.7,67.0,180.0
