,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Najee Harris,RB,24,2022,226.1170000000001,24.0,6.0,11.0,42.0
1,Aaron Jones,RB,28,2022,224.90999999999985,37.0,6.1,19.0,50.0
2,Travis Etienne,RB,23,2022,212.33,32.0,7.9,11.0,52.0
3,Jonathan Taylor,RB,23,2022,208.866,17.0,5.5,3.0,32.0
4,Javonte Williams,RB,22,2022,202.85500000000008,65.0,14.8,31.0,90.0
5,Kyren Williams,RB,22,2022,202.85500000000008,,,,
6,D'Andre Swift,RB,23,2022,202.56699999999998,63.0,17.0,26.0,93.0
7,David Montgomery,RB,25,2022,200.46799999999993,61.0,20.0,22.0,95.0
8,Jeff Wilson,RB,27,2022,196.928,,,,
9,Nick Chubb,RB,27,2022,196.928,11.0,3.6,3.0,23.0
10,J.K. Dobbins,RB,24,2022,179.37699999999987,54.0,8.1,34.0,78.0
11,Pierre Strong,RB,24,2022,179.37699999999987,,,,
12,Antonio Gibson,RB,24,2022,165.42900000000012,83.0,9.2,58.0,110.0
13,Christian McCaffrey,RB,26,2022,165.06900000000002,2.0,0.9,1.0,5.0
14,Alvin Kamara,RB,27,2022,159.62300000000013,74.0,10.0,40.0,87.0
15,Ezekiel Elliott,RB,27,2022,159.62300000000013,125.0,17.2,76.0,170.0
16,Joe Mixon,RB,26,2022,159.04300000000006,29.0,4.5,18.0,45.0
17,Derrick Henry,RB,28,2022,157.77900000000005,18.0,3.6,8.0,29.0
18,Alvin Kamara,RB,27,2022,153.18100000000015,74.0,10.0,40.0,87.0
19,Ezekiel Elliott,RB,27,2022,153.18100000000015,125.0,17.2,76.0,170.0
20,Leonard Fournette,RB,27,2022,149.14200000000014,149.0,16.6,94.0,180.0
21,James Conner,RB,27,2022,149.14200000000014,55.0,10.1,29.0,80.0
22,Dalvin Cook,RB,27,2022,147.89600000000002,79.0,24.8,25.0,118.0
23,James Robinson,RB,24,2022,147.09100000000004,176.0,19.6,98.0,179.0
24,Austin Ekeler,RB,27,2022,146.85599999999997,4.0,2.0,1.0,11.0
25,Kenneth Walker III,RB,22,2022,144.988,41.0,11.6,15.0,70.0
26,James Conner,RB,27,2022,141.81900000000013,55.0,10.1,29.0,80.0
27,Leonard Fournette,RB,27,2022,141.81900000000013,149.0,16.6,94.0,180.0
28,Caleb Huntley,RB,24,2022,136.9550000000001,,,,
29,DeeJay Dallas,RB,24,2022,130.89000000000004,,,,
30,AJ Dillon,RB,24,2022,130.89000000000004,,,,
31,Elijah Mitchell,RB,24,2022,130.51500000000007,112.0,13.6,72.0,150.0
32,Ty Johnson,RB,25,2022,129.60000000000008,,,,
33,Dameon Pierce,RB,22,2022,126.12499999999994,49.0,12.0,22.0,78.0
34,Josh Jacobs,RB,24,2022,125.39299999999994,20.0,5.0,8.0,35.0
35,Zack Moss,RB,25,2022,121.77900000000005,,,,
36,Dontrell Hilliard,RB,27,2022,121.19900000000011,,,,
37,Darrel Williams,RB,27,2022,121.19900000000011,,,,
38,Kenyan Drake,RB,28,2022,121.06400000000004,,,,
39,Damien Harris,RB,25,2022,119.66899999999998,94.0,15.8,51.0,137.0
40,Rhamondre Stevenson,RB,24,2022,112.767,21.0,3.3,13.0,34.0
41,Dontrell Hilliard,RB,27,2022,111.9160000000001,,,,
42,Darrel Williams,RB,27,2022,111.9160000000001,,,,
43,Tyler Allgeier,RB,22,2022,110.74600000000002,114.0,23.4,67.0,154.0
44,Ameer Abdullah,RB,29,2022,109.7460000000001,,,,
45,DeeJay Dallas,RB,24,2022,109.57,,,,
46,AJ Dillon,RB,24,2022,109.57,,,,
47,Cam Akers,RB,23,2022,108.171,58.0,8.2,35.0,77.0
48,Miles Sanders,RB,25,2022,106.33,53.0,6.7,36.0,74.0
49,Chuba Hubbard,RB,23,2022,106.17300000000002,196.0,20.0,105.0,194.0
50,Rachaad White,RB,23,2022,106.17300000000002,71.0,6.5,47.0,84.0
51,Rachaad White,RB,23,2022,105.21800000000006,71.0,6.5,47.0,84.0
52,Chuba Hubbard,RB,23,2022,105.21800000000006,196.0,20.0,105.0,194.0
53,Nyheim Hines,RB,26,2022,101.96000000000008,,,,
54,Myles Gaskin,RB,25,2022,101.21000000000004,,,,
55,Justin Jackson,RB,26,2022,101.10199999999999,,,,
56,Michael Carter,RB,23,2022,101.05100000000006,145.0,16.7,100.0,180.0
57,Gary Brightwell,RB,23,2022,101.05100000000006,,,,
58,Gus Edwards,RB,27,2022,100.83400000000005,185.0,16.1,112.0,188.0
59,Cordarrelle Patterson,RB,31,2022,96.25500000000002,129.0,17.5,78.0,175.0
60,Chase Edmonds,RB,26,2022,96.14300000000003,156.0,16.8,103.0,183.0
61,Jaylen Warren,RB,24,2022,95.581,157.0,17.8,100.0,189.0
62,Malcolm Brown,RB,29,2022,95.10100000000003,,,,
63,Isiah Pacheco,RB,23,2022,94.61200000000001,77.0,9.8,46.0,98.0
64,Saquon Barkley,RB,25,2022,94.35600000000004,8.0,2.2,3.0,16.0
65,David Johnson,RB,31,2022,93.302,,,,
66,Trey Sermon,RB,23,2022,92.08100000000005,,,,
67,Anthony McFarland Jr.,RB,23,2022,92.08100000000005,,,,
68,Jaret Patterson,RB,23,2022,92.08100000000005,,,,
69,Devin Singletary,RB,25,2022,91.75600000000004,121.0,13.6,79.0,152.0
70,Jerick McKinnon,RB,30,2022,91.67099999999999,120.0,11.6,84.0,150.0
71,Darrell Henderson,RB,25,2022,90.87800000000009,,,,
73,Mike Davis,RB,29,2022,90.81500000000001,,,,
74,Kareem Hunt,RB,27,2022,90.79300000000003,138.0,30.7,58.0,188.0
75,James Cook,RB,23,2022,89.25200000000001,80.0,10.0,52.0,99.0
76,Jordan Wilkins,RB,28,2022,88.79600000000003,,,,
78,Travis Homer,RB,24,2022,88.59200000000003,,,,
79,Benny Snell Jr.,RB,24,2022,88.59200000000003,,,,
80,Ronald Jones II,RB,25,2022,85.96000000000008,,,,
81,Phillip Lindsay,RB,28,2022,84.096,,,,
82,Darrynton Evans,RB,24,2022,83.792,,,,
83,Avery Williams,RB,24,2022,83.792,,,,
84,Melvin Gordon,RB,29,2022,83.43800000000005,221.0,20.5,120.0,209.0
85,Rashaad Penny,RB,26,2022,82.63899999999998,96.0,9.5,68.0,116.0
87,Brian Robinson Jr.,RB,23,2022,82.07200000000003,95.0,8.6,70.0,119.0
88,Damien Williams,RB,30,2022,81.46300000000004,,,,
90,Kenneth Gainwell,RB,23,2022,79.73899999999995,127.0,18.2,74.0,176.0
91,Keaontay Ingram,RB,23,2022,79.73899999999995,,,,
94,Boston Scott,RB,27,2022,78.39200000000005,,,,
95,Mark Ingram,RB,33,2022,77.86,,,,
96,Giovani Bernard,RB,31,2022,77.69400000000002,,,,
97,Rex Burkhead,RB,32,2022,76.56800000000003,,,,
98,Duke Johnson,RB,29,2022,76.381,,,,
99,D'Ernest Johnson,RB,26,2022,76.08500000000005,,,,
100,Salvon Ahmed,RB,24,2022,75.32400000000005,,,,
101,Raheem Mostert,RB,30,2022,75.038,116.0,17.9,66.0,165.0
102,J.D. McKissic,RB,29,2022,72.18200000000006,,,,
103,Tevin Coleman,RB,29,2022,71.92200000000005,,,,
104,Clyde Edwards-Helaire,RB,23,2022,70.87400000000005,154.0,16.9,100.0,180.0
105,Brandon Bolden,RB,32,2022,70.40400000000004,,,,
106,Latavius Murray,RB,32,2022,67.289,,,,
107,Jeff Wilson,RB,27,2022,66.91199999999999,,,,
108,Nick Chubb,RB,27,2022,66.91199999999999,11.0,3.6,3.0,23.0
109,Joshua Kelley,RB,25,2022,65.61100000000002,,,,
110,Jamycal Hasty,RB,26,2022,64.83000000000004,,,,
111,Samaje Perine,RB,27,2022,63.765999999999956,122.0,16.5,73.0,175.0
112,Alexander Mattison,RB,24,2022,61.96300000000002,47.0,13.1,21.0,80.0
114,Jordan Howard,RB,28,2022,60.95200000000003,,,,
115,Sony Michel,RB,27,2022,59.281999999999954,,,,
116,Breece Hall,RB,21,2022,58.961000000000006,31.0,6.3,14.0,51.0
117,D'Onta Foreman,RB,26,2022,58.052,,,,
118,Justice Hill,RB,25,2022,57.79900000000001,,,,
119,Jamaal Williams,RB,27,2022,57.605999999999995,99.0,12.0,63.0,124.0
120,Zamir White,RB,23,2022,55.696000000000055,170.0,19.6,95.0,185.0
121,Dare Ogunbowale,RB,28,2022,53.39600000000002,,,,
122,Javonte Williams,RB,22,2022,52.595,65.0,14.8,31.0,90.0
123,Kyren Williams,RB,22,2022,52.595,,,,
125,Malik Davis,RB,24,2022,52.49,,,,
127,Tony Pollard,RB,25,2022,51.300999999999995,15.0,2.9,7.0,25.0
128,Demetric Felton,RB,24,2022,50.44600000000005,,,,
129,Khalil Herbert,RB,24,2022,49.76200000000003,109.0,9.3,81.0,121.0
130,Craig Reynolds,RB,26,2022,48.779999999999994,,,,
131,Jonathan Williams,RB,28,2022,48.53500000000001,,,,
132,Keaontay Ingram,RB,23,2022,43.370000000000026,,,,
134,Kenneth Gainwell,RB,23,2022,43.370000000000026,127.0,18.2,74.0,176.0
135,Zonovan Knight,RB,21,2022,43.123999999999995,,,,
136,Trayveon Williams,RB,25,2022,42.156000000000006,,,,
137,Kevin Harris,RB,22,2022,41.83800000000003,,,,
138,Matt Breida,RB,27,2022,40.331999999999965,,,,
139,Mike Boone,RB,27,2022,40.331999999999965,,,,
140,J.K. Dobbins,RB,24,2022,40.21800000000002,54.0,8.1,34.0,78.0
141,Pierre Strong,RB,24,2022,40.21800000000002,,,,
142,Hassan Haskins,RB,23,2022,39.486,,,,
143,Anthony McFarland Jr.,RB,23,2022,39.480000000000004,,,,
144,Trey Sermon,RB,23,2022,39.480000000000004,,,,
145,Jaret Patterson,RB,23,2022,39.480000000000004,,,,
146,Travis Homer,RB,24,2022,38.729999999999976,,,,
147,Benny Snell Jr.,RB,24,2022,38.729999999999976,,,,
