rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Patrick Mahomes,QB,27.0,2022,334.1,40,6.1,1.01,7.04
1,Aaron Rodgers,QB,39.0,2022,334.1,80,9.3,1.1,10.06
2,Kyler Murray,QB,25.0,2022,334.1,63,6.3,1.01,8.02
3,Tom Brady,QB,45.0,2022,321.12,96,10.8,1.01,11.04
4,Lamar Jackson,QB,25.0,2022,319.4,53,6.7,1.01,7.08
5,Dak Prescott,QB,29.0,2022,312.26,93,9.3,2.08,11.01
6,Justin Herbert,QB,24.0,2022,308.3,35,5.1,1.02,5.08
7,Josh Allen,QB,26.0,2022,300.41999999999996,23,5.9,1.01,4.05
8,Russell Wilson,QB,34.0,2022,300.38,82,8.8,2.11,10.05
9,Ryan Tannehill,QB,34.0,2022,291.7,247,22.1,10.01,18.06
10,Kirk Cousins,QB,34.0,2022,291.7,123,11.7,1.01,13.12
11,Ryan Tannehill,QB,34.0,2022,285.14,247,22.1,10.01,18.06
12,Kirk Cousins,QB,34.0,2022,285.14,123,11.7,1.01,13.12
13,Derek Carr,QB,31.0,2022,261.47999999999996,105,9.0,6.03,14.11
14,Mac Jones,QB,24.0,2022,255.45999999999998,214,20.6,3.01,18.01
15,Daniel Jones,QB,25.0,2022,245.34,250,20.4,11.03,18.06
16,Baker Mayfield,QB,27.0,2022,244.01999999999998,222,35.2,1.01,18.02
17,Jared Goff,QB,28.0,2022,244.01999999999998,251,24.1,12.06,18.02
18,Joe Burrow,QB,26.0,2022,236.95999999999998,56,7.4,1.07,8.01
19,Matthew Stafford,QB,34.0,2022,236.76000000000005,85,9.3,1.07,10.07
20,Carson Wentz,QB,30.0,2022,235.45999999999998,209,27.0,9.04,18.05
21,Matt Ryan,QB,37.0,2022,231.32000000000002,155,16.0,2.09,15.12
22,Trevor Lawrence,QB,23.0,2022,230.8,184,17.2,6.11,16.07
23,Jalen Hurts,QB,24.0,2022,202.18,67,6.3,2.12,9.06
24,Justin Fields,QB,23.0,2022,152.08,166,16.3,4.07,16.03
25,Zach Wilson,QB,23.0,2022,151.38000000000002,225,32.3,1.01,18.06
26,Davis Mills,QB,24.0,2022,147.46,233,20.2,10.04,18.05
27,Jameis Winston,QB,28.0,2022,135.62,186,19.4,1.01,16.05
28,Tua Tagovailoa,QB,24.0,2022,70.28,137,12.5,1.01,15.1
29,Marcus Mariota,QB,29.0,2022,25.72,271,40.4,2.09,20.12
30,Trey Lance,QB,22.0,2022,21.380000000000003,107,9.9,1.02,13.06
