rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Tom Brady,QB,45.0,2022,328.43600000000015,96,10.8,1.01,11.04
1,Patrick Mahomes,QB,27.0,2022,321.05100000000004,40,6.1,1.01,7.04
2,Aaron Rodgers,QB,39.0,2022,309.5389999999998,80,9.3,1.1,10.06
3,Kirk Cousins,QB,34.0,2022,297.4089999999999,123,11.7,1.01,13.12
4,Ryan Tannehill,QB,34.0,2022,297.4089999999999,247,22.1,10.01,18.06
5,Justin Herbert,QB,24.0,2022,296.19999999999993,35,5.1,1.02,5.08
6,Josh Allen,QB,26.0,2022,291.69000000000005,23,5.9,1.01,4.05
7,Kirk Cousins,QB,34.0,2022,280.9690000000001,123,11.7,1.01,13.12
8,Ryan Tannehill,QB,34.0,2022,280.9690000000001,247,22.1,10.01,18.06
9,Kyler Murray,QB,25.0,2022,280.75899999999996,63,6.3,1.01,8.02
10,Derek Carr,QB,31.0,2022,280.2299999999999,105,9.0,6.03,14.11
11,Russell Wilson,QB,34.0,2022,279.76999999999987,82,8.8,2.11,10.05
12,Joe Burrow,QB,26.0,2022,271.85499999999996,56,7.4,1.07,8.01
13,Jared Goff,QB,28.0,2022,269.43999999999994,251,24.1,12.06,18.02
14,Carson Wentz,QB,30.0,2022,266.849,209,27.0,9.04,18.05
15,Mac Jones,QB,24.0,2022,250.892,214,20.6,3.01,18.01
16,Matt Ryan,QB,37.0,2022,250.30699999999993,155,16.0,2.09,15.12
17,Dak Prescott,QB,29.0,2022,247.7619999999999,93,9.3,2.08,11.01
18,Matthew Stafford,QB,34.0,2022,243.8340000000001,85,9.3,1.07,10.07
19,Baker Mayfield,QB,27.0,2022,233.25600000000009,222,35.2,1.01,18.02
20,Jalen Hurts,QB,24.0,2022,224.03300000000013,67,6.3,2.12,9.06
21,Lamar Jackson,QB,25.0,2022,218.82200000000003,53,6.7,1.01,7.08
22,Daniel Jones,QB,25.0,2022,183.34900000000005,250,20.4,11.03,18.06
23,Trevor Lawrence,QB,23.0,2022,180.22700000000012,184,17.2,6.11,16.07
24,Zach Wilson,QB,23.0,2022,172.28427301587288,225,32.3,1.01,18.06
25,Trey Lance,QB,22.0,2022,162.02229761904758,107,9.9,1.02,13.06
26,Jameis Winston,QB,28.0,2022,159.8389999999999,186,19.4,1.01,16.05
27,Justin Fields,QB,23.0,2022,145.49597301587292,166,16.3,4.07,16.03
28,Davis Mills,QB,24.0,2022,120.06416666666664,233,20.2,10.04,18.05
29,Marcus Mariota,QB,29.0,2022,86.32699999999996,271,40.4,2.09,20.12
30,Tua Tagovailoa,QB,24.0,2022,86.0673333333333,137,12.5,1.01,15.1
