rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Jonathan Taylor,RB,23.0,2022,266.0845985182051,1.0,0.5,1.01,1.05
1,Najee Harris,RB,24.0,2022,252.4740428086145,7.0,2.0,1.01,2.03
2,Alvin Kamara,RB,27.0,2022,231.34750789014524,18.0,3.4,1.03,3.06
3,James Conner,RB,27.0,2022,231.34750789014524,33.0,3.8,1.12,4.09
4,Jamaal Williams,RB,27.0,2022,216.98731584701088,142.0,9.4,8.12,15.06
5,Austin Ekeler,RB,27.0,2022,216.98731584701088,5.0,1.4,1.01,1.11
6,Dalvin Cook,RB,27.0,2022,211.8606368790791,8.0,1.8,1.01,2.03
7,Aaron Jones,RB,28.0,2022,207.94182480723788,16.0,2.6,1.02,3.02
8,Javonte Williams,RB,22.0,2022,198.0835741104351,21.0,3.6,1.01,3.1
9,Ezekiel Elliott,RB,27.0,2022,194.05228184093988,27.0,3.6,1.05,4.06
10,Justin Herbert,QB,24.0,2022,192.2614992997082,35.0,5.1,1.02,5.08
11,Antonio Gibson,RB,24.0,2022,192.2614992997082,45.0,5.3,1.06,6.08
12,Josh Jacobs,RB,24.0,2022,188.48079651345557,48.0,5.4,1.12,7.02
13,Nick Chubb,RB,27.0,2022,184.1636527057834,14.0,2.8,1.01,3.01
14,Christian McCaffrey,RB,26.0,2022,183.116559062483,2.0,0.8,1.01,1.08
15,D'Andre Swift,RB,23.0,2022,180.29079975750753,12.0,2.1,1.02,2.09
16,James Robinson,RB,24.0,2022,176.4863458259866,86.0,7.0,3.1,9.1
17,David Montgomery,RB,25.0,2022,174.96840032273454,32.0,3.8,2.04,5.11
18,Leonard Fournette,RB,27.0,2022,163.13466510465227,24.0,3.7,1.01,3.12
19,Joe Mixon,RB,26.0,2022,157.3421344777333,10.0,2.0,1.01,2.07
20,Michael Carter,RB,23.0,2022,151.74642596636747,104.0,7.4,2.05,11.06
21,Miles Sanders,RB,25.0,2022,150.22485077983538,64.0,5.6,3.07,7.11
22,Elijah Mitchell,RB,24.0,2022,147.30613450678746,47.0,4.9,2.11,6.04
23,Alvin Kamara,RB,27.0,2022,144.9192934752347,18.0,3.4,1.03,3.06
24,James Conner,RB,27.0,2022,144.9192934752347,33.0,3.8,1.12,4.09
25,Clyde Edwards-Helaire,RB,23.0,2022,143.82721642576024,57.0,5.3,2.08,8.07
26,Devin Singletary,RB,25.0,2022,140.94501134355994,78.0,6.8,4.06,8.09
27,Melvin Gordon,RB,29.0,2022,135.22690899717986,89.0,7.2,4.1,10.04
28,Derrick Henry,RB,28.0,2022,133.34567102631985,3.0,1.5,1.01,2.01
29,Amon-Ra St. Brown,WR,23.0,2022,132.60083888944266,84.0,7.8,4.01,10.11
30,Trevor Lawrence,QB,23.0,2022,132.60083888944266,184.0,17.2,6.11,16.07
31,CeeDee Lamb,WR,23.0,2022,132.60083888944266,17.0,2.6,1.01,3.01
32,Chuba Hubbard,RB,23.0,2022,132.60083888944266,135.0,11.4,5.02,14.03
33,Kenneth Gainwell,RB,23.0,2022,130.1679018294487,131.0,10.0,6.05,13.12
34,Kenyan Drake,RB,28.0,2022,126.44349507341533,191.0,15.9,8.01,16.04
35,Rhamondre Stevenson,RB,24.0,2022,124.47290900772424,91.0,7.8,3.02,10.12
36,Ronald Jones II,RB,25.0,2022,123.86878966668736,109.0,7.7,6.08,12.08
37,Nyheim Hines,RB,26.0,2022,122.47596198011611,106.0,7.4,5.12,11.07
38,Kareem Hunt,RB,27.0,2022,121.15124169789301,74.0,6.2,3.09,8.09
39,Chase Edmonds,RB,26.0,2022,119.93287612827163,81.0,6.9,1.08,9.04
40,Tony Pollard,RB,25.0,2022,117.65837320138019,73.0,6.4,1.04,8.07
41,AJ Dillon,RB,24.0,2022,114.57021160017993,,,,
42,Saquon Barkley,RB,25.0,2022,113.7055048692035,20.0,3.4,1.02,3.07
43,Sony Michel,RB,27.0,2022,110.49948194247335,188.0,15.5,9.08,16.01
44,Myles Gaskin,RB,25.0,2022,101.85459459786112,244.0,23.6,10.03,18.06
45,Austin Ekeler,RB,27.0,2022,100.86865894130752,5.0,1.4,1.01,1.11
46,Jamaal Williams,RB,27.0,2022,100.86865894130752,142.0,9.4,8.12,15.06
47,Alexander Mattison,RB,24.0,2022,100.80924129461599,99.0,7.1,4.04,10.06
48,J.D. McKissic,RB,29.0,2022,98.1828892540866,120.0,8.5,7.05,13.05
49,Darrell Henderson,RB,25.0,2022,94.78933220836664,110.0,6.4,6.08,11.06
50,Damien Harris,RB,25.0,2022,94.55431801028057,61.0,5.8,2.11,7.08
51,Raheem Mostert,RB,30.0,2022,88.00166450498558,118.0,8.6,6.04,13.06
52,Mike Davis,RB,29.0,2022,79.22410284827528,257.0,20.3,11.09,18.03
53,Mark Ingram,RB,33.0,2022,78.20907069526463,129.0,11.1,2.06,13.06
54,Damien Williams,RB,30.0,2022,76.25371932514744,261.0,29.5,1.04,18.06
55,Boston Scott,RB,27.0,2022,76.20238745386507,275.0,37.7,10.09,24.05
56,Rashaad Penny,RB,26.0,2022,75.73497899776186,72.0,6.4,2.1,8.12
57,James White,RB,30.0,2022,72.01670902296145,239.0,21.8,9.01,18.05
58,Darrel Williams,RB,27.0,2022,70.52345274142553,152.0,12.2,4.07,15.1
59,Giovani Bernard,RB,31.0,2022,69.31965949126572,273.0,37.2,10.12,22.08
60,Trey Sermon,RB,23.0,2022,60.456095605645956,205.0,15.8,8.02,16.11
61,D'Ernest Johnson,RB,26.0,2022,58.991483688972366,224.0,18.1,9.05,17.1
62,Phillip Lindsay,RB,28.0,2022,58.77971518448277,260.0,25.7,11.01,18.04
63,Marlon Mack,RB,26.0,2022,58.5333934051106,126.0,9.8,7.08,14.01
64,Rex Burkhead,RB,32.0,2022,52.9799707030696,272.0,20.8,11.09,18.01
65,Jerick McKinnon,RB,30.0,2022,49.78194729147067,202.0,21.3,5.02,17.12
66,Matt Breida,RB,27.0,2022,49.14576897606079,249.0,24.4,10.02,18.08
67,Cam Akers,RB,23.0,2022,48.20722772052342,36.0,4.0,1.01,5.02
68,Ameer Abdullah,RB,29.0,2022,45.96519410723647,174.0,47.9,1.01,18.05
69,Samaje Perine,RB,27.0,2022,45.42948253494741,242.0,19.7,9.09,18.05
70,Dontrell Hilliard,RB,27.0,2022,42.19054035049814,223.0,19.3,12.02,17.11
71,Eno Benjamin,RB,23.0,2022,28.75642655074381,256.0,25.0,8.03,18.01
