rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Austin Ekeler,RB,27.0,2022,253.18,5.0,1.4,1.01,1.11
1,Jamaal Williams,RB,27.0,2022,253.18,142.0,9.4,8.12,15.06
2,James Conner,RB,27.0,2022,253.17999999999998,33.0,3.8,1.12,4.09
3,Alvin Kamara,RB,27.0,2022,253.17999999999998,18.0,3.4,1.03,3.06
4,Najee Harris,RB,24.0,2022,251.95999999999998,7.0,2.0,1.01,2.03
5,Aaron Jones,RB,28.0,2022,248.68,16.0,2.6,1.02,3.02
6,Leonard Fournette,RB,27.0,2022,232.93999999999997,24.0,3.7,1.01,3.12
7,Dalvin Cook,RB,27.0,2022,223.42,8.0,1.8,1.01,2.03
8,Jonathan Taylor,RB,23.0,2022,223.42,1.0,0.5,1.01,1.05
9,Ezekiel Elliott,RB,27.0,2022,215.21999999999997,27.0,3.6,1.05,4.06
10,Joe Mixon,RB,26.0,2022,206.11999999999998,10.0,2.0,1.01,2.07
11,James Conner,RB,27.0,2022,198.5,33.0,3.8,1.12,4.09
12,Alvin Kamara,RB,27.0,2022,198.5,18.0,3.4,1.03,3.06
13,James Robinson,RB,24.0,2022,191.02000000000004,86.0,7.0,3.1,9.1
14,David Montgomery,RB,25.0,2022,175.9,32.0,3.8,2.04,5.11
15,Christian McCaffrey,RB,26.0,2022,171.48000000000002,2.0,0.8,1.01,1.08
16,D'Andre Swift,RB,23.0,2022,162.92000000000002,12.0,2.1,1.02,2.09
17,Javonte Williams,RB,22.0,2022,162.92000000000002,21.0,3.6,1.01,3.1
18,Justin Herbert,QB,24.0,2022,160.16000000000003,35.0,5.1,1.02,5.08
19,Josh Jacobs,RB,24.0,2022,160.16000000000003,48.0,5.4,1.12,7.02
20,Antonio Gibson,RB,24.0,2022,160.16000000000003,45.0,5.3,1.06,6.08
21,Derrick Henry,RB,28.0,2022,153.61999999999998,3.0,1.5,1.01,2.01
22,Elijah Mitchell,RB,24.0,2022,149.54000000000002,47.0,4.9,2.11,6.04
23,Nick Chubb,RB,27.0,2022,141.82,14.0,2.8,1.01,3.01
24,Melvin Gordon,RB,29.0,2022,141.24,89.0,7.2,4.1,10.04
25,Kenyan Drake,RB,28.0,2022,139.35999999999999,191.0,15.9,8.01,16.04
26,Marlon Mack,RB,26.0,2022,124.03999999999999,126.0,9.8,7.08,14.01
27,Matt Breida,RB,27.0,2022,118.6,249.0,24.4,10.02,18.08
28,Kenneth Gainwell,RB,23.0,2022,117.96000000000001,131.0,10.0,6.05,13.12
29,Trevor Lawrence,QB,23.0,2022,114.94000000000001,184.0,17.2,6.11,16.07
30,CeeDee Lamb,WR,23.0,2022,114.94000000000001,17.0,2.6,1.01,3.01
31,Chuba Hubbard,RB,23.0,2022,114.94000000000001,135.0,11.4,5.02,14.03
32,Amon-Ra St. Brown,WR,23.0,2022,114.94000000000001,84.0,7.8,4.01,10.11
33,Sony Michel,RB,27.0,2022,111.42,188.0,15.5,9.08,16.01
34,James White,RB,30.0,2022,110.74000000000001,239.0,21.8,9.01,18.05
35,Ronald Jones II,RB,25.0,2022,110.62,109.0,7.7,6.08,12.08
36,Rhamondre Stevenson,RB,24.0,2022,109.06000000000002,91.0,7.8,3.02,10.12
37,Clyde Edwards-Helaire,RB,23.0,2022,108.28,57.0,5.3,2.08,8.07
38,Miles Sanders,RB,25.0,2022,105.22,64.0,5.6,3.07,7.11
39,Rex Burkhead,RB,32.0,2022,104.42,272.0,20.8,11.09,18.01
40,Devin Singletary,RB,25.0,2022,104.38,78.0,6.8,4.06,8.09
41,J.D. McKissic,RB,29.0,2022,104.08000000000001,120.0,8.5,7.05,13.05
42,Raheem Mostert,RB,30.0,2022,103.67999999999999,118.0,8.6,6.04,13.06
43,Jamaal Williams,RB,27.0,2022,103.24000000000001,142.0,9.4,8.12,15.06
44,Austin Ekeler,RB,27.0,2022,103.24000000000001,5.0,1.4,1.01,1.11
45,D'Ernest Johnson,RB,26.0,2022,101.97999999999999,224.0,18.1,9.05,17.1
46,Boston Scott,RB,27.0,2022,101.86000000000001,275.0,37.7,10.09,24.05
47,AJ Dillon,RB,24.0,2022,100.82000000000001,,,,
48,Samaje Perine,RB,27.0,2022,99.16,242.0,19.7,9.09,18.05
49,Rashaad Penny,RB,26.0,2022,98.84,72.0,6.4,2.1,8.12
50,Dontrell Hilliard,RB,27.0,2022,98.44,223.0,19.3,12.02,17.11
51,Darrel Williams,RB,27.0,2022,98.00000000000001,152.0,12.2,4.07,15.1
52,Michael Carter,RB,23.0,2022,96.3,104.0,7.4,2.05,11.06
53,Damien Harris,RB,25.0,2022,95.42,61.0,5.8,2.11,7.08
54,Tony Pollard,RB,25.0,2022,94.9,73.0,6.4,1.04,8.07
55,Alexander Mattison,RB,24.0,2022,94.64,99.0,7.1,4.04,10.06
56,Kareem Hunt,RB,27.0,2022,92.94000000000001,74.0,6.2,3.09,8.09
57,Nyheim Hines,RB,26.0,2022,92.88000000000001,106.0,7.4,5.12,11.07
58,Darrell Henderson,RB,25.0,2022,90.82,110.0,6.4,6.08,11.06
59,Chase Edmonds,RB,26.0,2022,84.22,81.0,6.9,1.08,9.04
60,Ameer Abdullah,RB,29.0,2022,80.34,174.0,47.9,1.01,18.05
61,Cam Akers,RB,23.0,2022,79.42,36.0,4.0,1.01,5.02
62,Damien Williams,RB,30.0,2022,76.02000000000001,261.0,29.5,1.04,18.06
63,Phillip Lindsay,RB,28.0,2022,75.94,260.0,25.7,11.01,18.04
64,Myles Gaskin,RB,25.0,2022,75.93999999999998,244.0,23.6,10.03,18.06
65,Mark Ingram,RB,33.0,2022,75.4,129.0,11.1,2.06,13.06
66,Mike Davis,RB,29.0,2022,73.72,257.0,20.3,11.09,18.03
67,Giovani Bernard,RB,31.0,2022,62.339999999999996,273.0,37.2,10.12,22.08
68,Saquon Barkley,RB,25.0,2022,58.06,20.0,3.4,1.02,3.07
69,Jerick McKinnon,RB,30.0,2022,54.339999999999996,202.0,21.3,5.02,17.12
70,Trey Sermon,RB,23.0,2022,51.620000000000005,205.0,15.8,8.02,16.11
