rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Jonathan Taylor,RB,23.0,2022,299.7195305367687,1.0,0.5,1.01,1.05
1,Aaron Jones,RB,28.0,2022,251.02973008169147,16.0,2.6,1.02,3.02
2,Najee Harris,RB,24.0,2022,248.23642866036425,7.0,2.0,1.01,2.03
3,Dalvin Cook,RB,27.0,2022,234.66345898238805,8.0,1.8,1.01,2.03
4,Javonte Williams,RB,22.0,2022,232.92410110939807,21.0,3.6,1.01,3.1
5,James Conner,RB,27.0,2022,232.4251707844669,33.0,3.8,1.12,4.09
6,Alvin Kamara,RB,27.0,2022,232.4251707844669,18.0,3.4,1.03,3.06
7,Jamaal Williams,RB,27.0,2022,213.7154698249481,142.0,9.4,8.12,15.06
8,Austin Ekeler,RB,27.0,2022,213.7154698249481,5.0,1.4,1.01,1.11
9,Nick Chubb,RB,27.0,2022,212.55270735220287,14.0,2.8,1.01,3.01
10,David Montgomery,RB,25.0,2022,194.70181808562845,32.0,3.8,2.04,5.11
11,D'Andre Swift,RB,23.0,2022,190.85468802822797,12.0,2.1,1.02,2.09
12,Ezekiel Elliott,RB,27.0,2022,188.2700700479446,27.0,3.6,1.05,4.06
13,Antonio Gibson,RB,24.0,2022,186.0030907360169,45.0,5.3,1.06,6.08
14,Justin Herbert,QB,24.0,2022,186.0030907360169,35.0,5.1,1.02,5.08
15,Josh Jacobs,RB,24.0,2022,184.10199129128924,48.0,5.4,1.12,7.02
16,Leonard Fournette,RB,27.0,2022,183.86588568177362,24.0,3.7,1.01,3.12
17,James Robinson,RB,24.0,2022,183.48189181965088,86.0,7.0,3.1,9.1
18,AJ Dillon,RB,24.0,2022,176.61039826110758,,,,
19,Alvin Kamara,RB,27.0,2022,171.75555100346602,18.0,3.4,1.03,3.06
20,James Conner,RB,27.0,2022,171.75555100346602,33.0,3.8,1.12,4.09
21,Elijah Mitchell,RB,24.0,2022,171.40976189926354,47.0,4.9,2.11,6.04
22,Joe Mixon,RB,26.0,2022,165.1996704296112,10.0,2.0,1.01,2.07
23,Derrick Henry,RB,28.0,2022,160.5863359250644,3.0,1.5,1.01,2.01
24,Michael Carter,RB,23.0,2022,147.01282397311897,104.0,7.4,2.05,11.06
25,Melvin Gordon,RB,29.0,2022,139.02331338708694,89.0,7.2,4.1,10.04
26,Devin Singletary,RB,25.0,2022,133.06941948095826,78.0,6.8,4.06,8.09
27,Kenyan Drake,RB,28.0,2022,131.66352668005365,191.0,15.9,8.01,16.04
28,Raheem Mostert,RB,30.0,2022,131.17093414745665,118.0,8.6,6.04,13.06
29,Christian McCaffrey,RB,26.0,2022,129.78431142160076,2.0,0.8,1.01,1.08
30,Miles Sanders,RB,25.0,2022,128.5086810787724,64.0,5.6,3.07,7.11
31,Kareem Hunt,RB,27.0,2022,128.43690450515916,74.0,6.2,3.09,8.09
32,Clyde Edwards-Helaire,RB,23.0,2022,124.54381731082977,57.0,5.3,2.08,8.07
33,Marlon Mack,RB,26.0,2022,122.98587708232147,126.0,9.8,7.08,14.01
34,Nyheim Hines,RB,26.0,2022,116.57038094395345,106.0,7.4,5.12,11.07
35,Damien Harris,RB,25.0,2022,115.56681157186918,61.0,5.8,2.11,7.08
36,Chase Edmonds,RB,26.0,2022,113.53355456079638,81.0,6.9,1.08,9.04
37,Mark Ingram,RB,33.0,2022,113.48623416155947,129.0,11.1,2.06,13.06
38,Alexander Mattison,RB,24.0,2022,112.9714342671157,99.0,7.1,4.04,10.06
39,Sony Michel,RB,27.0,2022,112.8295819025338,188.0,15.5,9.08,16.01
40,Tony Pollard,RB,25.0,2022,112.8114957216206,73.0,6.4,1.04,8.07
41,D'Ernest Johnson,RB,26.0,2022,112.02733010331643,224.0,18.1,9.05,17.1
