rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Christian McCaffrey,RB,26.0,2022,253.12299999999985,2.0,0.8,1.01,1.08
1,Jonathan Taylor,RB,23.0,2022,240.47799999999978,1.0,0.5,1.01,1.05
2,Derrick Henry,RB,28.0,2022,227.2579999999998,3.0,1.5,1.01,2.01
3,Joe Mixon,RB,26.0,2022,224.55600000000007,10.0,2.0,1.01,2.07
4,Josh Jacobs,RB,24.0,2022,220.091,48.0,5.4,1.12,7.02
5,Justin Herbert,QB,24.0,2022,216.97499999999994,35.0,5.1,1.02,5.08
6,Antonio Gibson,RB,24.0,2022,216.97499999999994,45.0,5.3,1.06,6.08
7,Najee Harris,RB,24.0,2022,216.453,7.0,2.0,1.01,2.03
8,Austin Ekeler,RB,27.0,2022,202.8469999999999,5.0,1.4,1.01,1.11
9,Jamaal Williams,RB,27.0,2022,202.8469999999999,142.0,9.4,8.12,15.06
10,David Montgomery,RB,25.0,2022,194.73799999999994,32.0,3.8,2.04,5.11
11,Javonte Williams,RB,22.0,2022,190.62600000000003,21.0,3.6,1.01,3.1
12,Ezekiel Elliott,RB,27.0,2022,188.129,27.0,3.6,1.05,4.06
13,Aaron Jones,RB,28.0,2022,186.64899999999992,16.0,2.6,1.02,3.02
14,James Robinson,RB,24.0,2022,185.70200000000008,86.0,7.0,3.1,9.1
15,Leonard Fournette,RB,27.0,2022,183.623,24.0,3.7,1.01,3.12
16,Alvin Kamara,RB,27.0,2022,181.49200000000008,18.0,3.4,1.03,3.06
17,James Conner,RB,27.0,2022,181.49200000000008,33.0,3.8,1.12,4.09
18,D'Andre Swift,RB,23.0,2022,176.96200000000002,12.0,2.1,1.02,2.09
19,Nick Chubb,RB,27.0,2022,170.56799999999993,14.0,2.8,1.01,3.01
20,Dalvin Cook,RB,27.0,2022,167.842,8.0,1.8,1.01,2.03
21,Alvin Kamara,RB,27.0,2022,151.22800000000018,18.0,3.4,1.03,3.06
22,James Conner,RB,27.0,2022,151.22800000000018,33.0,3.8,1.12,4.09
23,AJ Dillon,RB,24.0,2022,137.96900000000014,,,,
