,Player,rank,Age,Year,Model_Projection_Points,#,StdDev,High,Low
38,Jonathan Taylor,1.125,23.0,2022.0,258.71364342904064,1.0,0.5,1.01,1.05
53,Najee Harris,2.25,24.0,2022.0,249.1084213265956,7.0,2.0,1.01,2.03
1,Aaron Jones,6.375,28.0,2022.0,215.2996842647035,16.0,2.6,1.02,3.02
17,Dalvin Cook,7.625,27.0,2022.0,208.44778332567228,8.0,1.8,1.01,2.03
28,Ezekiel Elliott,9.75,27.0,2022.0,195.54427431322327,27.0,3.6,1.05,4.06
35,Javonte Williams,9.375,22.0,2022.0,195.2633319628189,21.0,3.6,1.01,3.1
32,James Conner,13.3125,27.0,2022.0,191.94308066550565,33.0,3.8,1.12,4.09
3,Alvin Kamara,12.8125,27.0,2022.0,191.94308066550565,18.0,3.4,1.03,3.06
39,Josh Jacobs,11.75,24.0,2022.0,187.14535430585798,48.0,5.4,1.12,7.02
6,Antonio Gibson,12.125,24.0,2022.0,186.53262574559778,45.0,5.3,1.06,6.08
40,Justin Herbert,11.75,24.0,2022.0,186.53262574559778,35.0,5.1,1.02,5.08
12,Christian McCaffrey,13.75,26.0,2022.0,183.41973301305896,2.0,0.8,1.01,1.08
54,Nick Chubb,14.125,27.0,2022.0,180.55654071906432,14.0,2.8,1.01,3.01
22,David Montgomery,14.25,25.0,2022.0,178.8503165604204,32.0,3.8,2.04,5.11
44,Leonard Fournette,15.625,27.0,2022.0,178.17207448819224,24.0,3.7,1.01,3.12
33,James Robinson,15.625,24.0,2022.0,176.93399804671424,86.0,7.0,3.1,9.1
15,D'Andre Swift,15.25,23.0,2022.0,175.54734588051627,12.0,2.1,1.02,2.09
37,Joe Mixon,16.5,26.0,2022.0,173.64785456034545,10.0,2.0,1.01,2.07
31,Jamaal Williams,25.0,27.0,2022.0,160.28353580789224,142.0,9.4,8.12,15.06
7,Austin Ekeler,25.0,27.0,2022.0,160.28353580789224,5.0,1.4,1.01,1.11
23,Derrick Henry,23.625,28.0,2022.0,152.59476270846363,3.0,1.5,1.01,2.01
26,Elijah Mitchell,22.75,24.0,2022.0,147.6386558611013,47.0,4.9,2.11,6.04
51,Miles Sanders,25.625,25.0,2022.0,138.05155371121248,64.0,5.6,3.07,7.11
49,Michael Carter,27.5,23.0,2022.0,137.17497636413466,104.0,7.4,2.05,11.06
48,Melvin Gordon,27.75,29.0,2022.0,134.66780866983945,89.0,7.2,4.1,10.04
14,Clyde Edwards-Helaire,28.5,23.0,2022.0,130.66951629254646,57.0,5.3,2.08,8.07
24,Devin Singletary,29.5,25.0,2022.0,129.19059315861654,78.0,6.8,4.06,8.09
43,Kenyan Drake,31.0,28.0,2022.0,128.99956232066756,191.0,15.9,8.01,16.04
0,AJ Dillon,37.75,24.0,2022.0,121.36920023296268,,,,
10,CeeDee Lamb,35.75,23.0,2022.0,118.5260617363678,17.0,2.6,1.01,3.01
13,Chuba Hubbard,35.625,23.0,2022.0,118.5260617363678,135.0,11.4,5.02,14.03
