rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,248.29061514544364,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,204.73355681631466,26.0,3.9,1.09,5.03
2,Kyle Pitts,TE,22.0,2022,180.79237841024877,37.0,4.8,1.05,6.01
3,George Kittle,TE,29.0,2022,167.28248507635945,43.0,5.0,1.12,6.06
4,Mike Gesicki,TE,27.0,2022,154.61330363213838,127.0,14.2,5.03,15.11
5,Hunter Henry,TE,28.0,2022,145.70111880234765,141.0,16.6,5.01,15.1
6,Zach Ertz,TE,32.0,2022,145.4736341198752,101.0,10.4,5.01,12.08
7,Pat Freiermuth,TE,24.0,2022,140.43537521053727,121.0,14.3,3.01,14.08
8,Noah Fant,TE,25.0,2022,139.1189138989151,219.0,25.0,4.11,18.06
9,Tyler Higbee,TE,29.0,2022,137.0107686841239,193.0,28.6,6.11,19.04
10,Dallas Goedert,TE,27.0,2022,134.8920378659413,83.0,8.9,4.05,11.07
11,T.J. Hockenson,TE,25.0,2022,129.42151367327412,66.0,6.7,3.1,8.11
12,Austin Hooper,TE,28.0,2022,124.12259122184113,195.0,26.9,4.12,18.06
13,Evan Engram,TE,28.0,2022,121.74601481139678,208.0,22.9,9.08,18.03
14,Dalton Schultz,TE,26.0,2022,104.91907054972319,71.0,7.6,2.03,9.04
15,Dawson Knox,TE,26.0,2022,104.84385139145867,92.0,11.0,3.07,13.03
16,Gerald Everett,TE,28.0,2022,100.98337680665063,231.0,21.3,8.02,18.06
17,Hayden Hurst,TE,29.0,2022,94.64952797096775,161.0,31.4,6.12,18.05
18,Cole Kmet,TE,23.0,2022,93.9126425394405,140.0,15.2,6.03,15.12
19,Logan Thomas,TE,31.0,2022,82.78092637657045,226.0,19.8,7.11,18.06
20,Cameron Brate,TE,31.0,2022,80.5685837267457,162.0,36.0,4.12,17.02
21,Kyle Rudolph,TE,33.0,2022,77.77090291402402,178.0,33.6,5.07,18.05
22,Robert Tonyan,TE,28.0,2022,77.17196739424303,,,,
23,David Njoku,TE,26.0,2022,65.75566056858572,207.0,23.6,2.12,18.06
24,Mo Alie-Cox,TE,29.0,2022,62.49469308257082,167.0,41.3,6.08,18.02
25,Albert Okwuegbunam,TE,24.0,2022,59.74372218439909,180.0,19.6,7.05,18.06
