rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,242.8944522733333,15.0,3.1,1.01,3.02
1,Kyle Pitts,TE,22.0,2022,231.97164433592516,37.0,4.8,1.05,6.01
2,Mark Andrews,TE,27.0,2022,225.93805523710034,26.0,3.9,1.09,5.03
3,George Kittle,TE,29.0,2022,173.00014321440298,43.0,5.0,1.12,6.06
4,Pat Freiermuth,TE,24.0,2022,172.72143526619087,121.0,14.3,3.01,14.08
5,Mike Gesicki,TE,27.0,2022,169.8730950431474,127.0,14.2,5.03,15.11
6,Hunter Henry,TE,28.0,2022,163.68301334402443,141.0,16.6,5.01,15.1
7,Noah Fant,TE,25.0,2022,150.9869096846431,219.0,25.0,4.11,18.06
8,Zach Ertz,TE,32.0,2022,146.7574476496725,101.0,10.4,5.01,12.08
9,Dallas Goedert,TE,27.0,2022,144.50985367918167,83.0,8.9,4.05,11.07
10,Dalton Schultz,TE,26.0,2022,140.70468503000362,71.0,7.6,2.03,9.04
11,Tyler Higbee,TE,29.0,2022,139.59750888811928,193.0,28.6,6.11,19.04
12,Austin Hooper,TE,28.0,2022,119.53099804471486,195.0,26.9,4.12,18.06
13,T.J. Hockenson,TE,25.0,2022,117.4256751634244,66.0,6.7,3.1,8.11
14,Dawson Knox,TE,26.0,2022,113.76321544169015,92.0,11.0,3.07,13.03
15,Evan Engram,TE,28.0,2022,103.88126969504891,208.0,22.9,9.08,18.03
16,Gerald Everett,TE,28.0,2022,96.90359998562721,231.0,21.3,8.02,18.06
17,Cole Kmet,TE,23.0,2022,95.96787055572958,140.0,15.2,6.03,15.12
18,Robert Tonyan,TE,28.0,2022,75.05204815059176,,,,
19,Hayden Hurst,TE,29.0,2022,68.56939265117948,161.0,31.4,6.12,18.05
20,Albert Okwuegbunam,TE,24.0,2022,64.47849150046329,180.0,19.6,7.05,18.06
21,Cameron Brate,TE,31.0,2022,61.36805453906021,162.0,36.0,4.12,17.02
22,David Njoku,TE,26.0,2022,61.23472780050933,207.0,23.6,2.12,18.06
23,Logan Thomas,TE,31.0,2022,60.56980566466093,226.0,19.8,7.11,18.06
24,Kyle Rudolph,TE,33.0,2022,43.89476198157435,178.0,33.6,5.07,18.05
25,Mo Alie-Cox,TE,29.0,2022,41.60471470490941,167.0,41.3,6.08,18.02
