rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,216.4019999999998,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,208.81499999999994,26.0,3.9,1.09,5.03
2,Kyle Pitts,TE,22.0,2022,198.31599999999995,37.0,4.8,1.05,6.01
3,George Kittle,TE,29.0,2022,171.32499999999996,43.0,5.0,1.12,6.06
4,Hunter Henry,TE,28.0,2022,152.34399999999997,141.0,16.6,5.01,15.1
5,Mike Gesicki,TE,27.0,2022,149.49800000000008,127.0,14.2,5.03,15.11
6,Noah Fant,TE,25.0,2022,139.54399999999998,219.0,25.0,4.11,18.06
7,Dalton Schultz,TE,26.0,2022,134.45899999999992,71.0,7.6,2.03,9.04
8,T.J. Hockenson,TE,25.0,2022,133.01099999999997,66.0,6.7,3.1,8.11
9,Zach Ertz,TE,32.0,2022,132.78800000000004,101.0,10.4,5.01,12.08
10,Tyler Higbee,TE,29.0,2022,128.187,193.0,28.6,6.11,19.04
11,Dallas Goedert,TE,27.0,2022,127.76800000000001,83.0,8.9,4.05,11.07
12,Pat Freiermuth,TE,24.0,2022,118.97400000000003,121.0,14.3,3.01,14.08
13,Austin Hooper,TE,28.0,2022,113.308,195.0,26.9,4.12,18.06
14,Dawson Knox,TE,26.0,2022,104.52500000000008,92.0,11.0,3.07,13.03
15,Cole Kmet,TE,23.0,2022,103.78983333333333,140.0,15.2,6.03,15.12
16,Evan Engram,TE,28.0,2022,102.88099999999999,208.0,22.9,9.08,18.03
17,Gerald Everett,TE,28.0,2022,90.542,231.0,21.3,8.02,18.06
18,Logan Thomas,TE,31.0,2022,90.10800000000003,226.0,19.8,7.11,18.06
19,David Njoku,TE,26.0,2022,88.24000000000005,207.0,23.6,2.12,18.06
20,Hayden Hurst,TE,29.0,2022,80.848,161.0,31.4,6.12,18.05
21,Mo Alie-Cox,TE,29.0,2022,77.49400000000006,167.0,41.3,6.08,18.02
22,Cameron Brate,TE,31.0,2022,77.442,162.0,36.0,4.12,17.02
23,Robert Tonyan,TE,28.0,2022,75.14800000000002,,,,
24,Kyle Rudolph,TE,33.0,2022,66.73199999999999,178.0,33.6,5.07,18.05
25,Albert Okwuegbunam,TE,24.0,2022,65.98800000000007,180.0,19.6,7.05,18.06
