rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,239.25384320191216,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,187.91665543659113,26.0,3.9,1.09,5.03
2,Pat Freiermuth,TE,24.0,2022,181.4341545577827,121.0,14.3,3.01,14.08
3,Kyle Pitts,TE,22.0,2022,169.58172023057742,37.0,4.8,1.05,6.01
4,Mike Gesicki,TE,27.0,2022,163.91483169377176,127.0,14.2,5.03,15.11
5,Noah Fant,TE,25.0,2022,161.19184086172334,219.0,25.0,4.11,18.06
6,Hunter Henry,TE,28.0,2022,160.2947744943597,141.0,16.6,5.01,15.1
7,George Kittle,TE,29.0,2022,149.16654609485695,43.0,5.0,1.12,6.06
8,Tyler Higbee,TE,29.0,2022,139.93768847138105,193.0,28.6,6.11,19.04
9,Dallas Goedert,TE,27.0,2022,139.83830810762998,83.0,8.9,4.05,11.07
10,Dawson Knox,TE,26.0,2022,133.7277769273901,92.0,11.0,3.07,13.03
11,Austin Hooper,TE,28.0,2022,131.34189554225972,195.0,26.9,4.12,18.06
12,T.J. Hockenson,TE,25.0,2022,130.6914472863833,66.0,6.7,3.1,8.11
13,Dalton Schultz,TE,26.0,2022,124.0650530721135,71.0,7.6,2.03,9.04
14,Zach Ertz,TE,32.0,2022,119.32452209308809,101.0,10.4,5.01,12.08
15,Cole Kmet,TE,23.0,2022,113.62634586357834,140.0,15.2,6.03,15.12
16,Evan Engram,TE,28.0,2022,100.01370860161157,208.0,22.9,9.08,18.03
17,Gerald Everett,TE,28.0,2022,95.70688776852452,231.0,21.3,8.02,18.06
18,Hayden Hurst,TE,29.0,2022,87.16770267838828,161.0,31.4,6.12,18.05
19,Robert Tonyan,TE,28.0,2022,85.95716150248681,,,,
20,Albert Okwuegbunam,TE,24.0,2022,83.26205925655768,180.0,19.6,7.05,18.06
21,David Njoku,TE,26.0,2022,79.48650740551754,207.0,23.6,2.12,18.06
22,Cameron Brate,TE,31.0,2022,72.44382120903654,162.0,36.0,4.12,17.02
23,Kyle Rudolph,TE,33.0,2022,64.95001606890742,178.0,33.6,5.07,18.05
24,Logan Thomas,TE,31.0,2022,52.54607061340913,226.0,19.8,7.11,18.06
25,Mo Alie-Cox,TE,29.0,2022,50.270470056188,167.0,41.3,6.08,18.02
