rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Justin Jefferson,WR,23.0,2022,295.6558731826944,6.0,1.6,1.01,1.11
1,Ja'Marr Chase,WR,22.0,2022,290.95910137669273,9.0,1.9,1.01,2.06
2,Cooper Kupp,WR,29.0,2022,277.0341100527389,4.0,1.7,1.01,2.05
3,Davante Adams,WR,30.0,2022,256.2096658541865,11.0,2.2,1.01,2.09
4,Tyreek Hill,WR,28.0,2022,237.10617164800874,22.0,3.0,1.02,3.11
5,Deebo Samuel,WR,26.0,2022,227.95345949689644,19.0,2.7,1.03,3.04
6,Amon-Ra St. Brown,WR,23.0,2022,226.22644173834362,84.0,7.8,4.01,10.11
7,Stefon Diggs,WR,29.0,2022,225.5592796497533,13.0,2.3,1.01,2.1
8,Chris Godwin,WR,26.0,2022,222.98649176411743,58.0,6.1,2.09,7.05
9,CeeDee Lamb,WR,23.0,2022,221.6938132514449,17.0,2.6,1.01,3.01
10,Jaylen Waddle,WR,24.0,2022,217.36978300302013,49.0,5.6,2.09,6.06
11,D.K. Metcalf,WR,25.0,2022,212.20351607841138,42.0,4.6,2.07,5.12
12,Diontae Johnson,WR,26.0,2022,207.90573499607154,46.0,4.8,2.12,6.1
13,Tee Higgins,WR,23.0,2022,206.75599679587805,34.0,3.5,1.09,4.09
14,A.J. Brown,WR,25.0,2022,202.05973732606896,30.0,3.3,1.12,4.11
15,DeAndre Hopkins,WR,30.0,2022,199.03726121521947,55.0,6.2,2.08,6.12
16,Amari Cooper,WR,28.0,2022,195.96643579112862,76.0,6.4,4.01,9.03
17,D.J. Moore,WR,25.0,2022,194.6224396632882,44.0,5.1,1.12,6.02
18,Tyler Lockett,WR,30.0,2022,193.68869031585518,111.0,7.2,6.02,11.1
19,Darren Waller,WR,30.0,2022,184.59072004601285,52.0,5.8,1.07,6.1
20,Chase Claypool,WR,24.0,2022,182.53719107589026,115.0,8.3,4.06,13.02
21,Terry McLaurin,WR,27.0,2022,181.64949138944593,39.0,3.8,1.07,5.03
