,Model Name,Position,Mean Square Error,R2 Score
16,RandomForestRegressor,QB,2554.1428350200895,0.7795790697055653
8,Lasso,QB,5825.278955330547,0.49728206701938316
12,BayesianRidge,QB,5899.714347396839,0.4908583392070136
4,Ridge,QB,6204.501740735657,0.4645553776573986
0,LinearRegression,QB,6308.863402507708,0.45554903147367476
17,RandomForestRegressor,RB,1081.4922727257763,0.730280774444754
1,LinearRegression,RB,1473.3025119452818,0.6325650931107121
5,Ridge,RB,1474.3877996392002,0.6322944273244735
9,Lasso,RB,1489.8130396870135,0.6284474430189695
13,BayesianRidge,RB,1490.2341228294747,0.6283424268094753
19,RandomForestRegressor,TE,1221.1469195026882,0.5608712902697763
3,LinearRegression,TE,1310.8425778906567,0.5286164173243061
7,Ridge,TE,1311.9677411043917,0.5282118046913851
15,BayesianRidge,TE,1340.8045687937886,0.5178419804436076
11,Lasso,TE,1345.4872210469282,0.516158082290817
18,RandomForestRegressor,WR,2193.5874307862214,0.5344448144808863
10,Lasso,WR,2438.015445999838,0.4825687285899045
14,BayesianRidge,WR,2446.5768793034113,0.4807516960823258
6,Ridge,WR,2453.6359177591603,0.479253523768002
2,LinearRegression,WR,2454.1932994677777,0.47913522807523934
