,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Josh Allen,QB,26.0,2022,342.505198940396,103.5,239.00519894039599
2,Justin Herbert,QB,24.0,2022,318.3057712711833,103.5,214.8057712711833
8,Russell Wilson,QB,34.0,2022,297.4932298398624,103.5,193.9932298398624
3,Patrick Mahomes,QB,27.0,2022,296.546378094376,103.5,193.046378094376
7,Aaron Rodgers,QB,39.0,2022,282.95584587748476,103.5,179.45584587748476
5,Kyler Murray,QB,25.0,2022,279.29293266201694,103.5,175.79293266201694
12,Tom Brady,QB,45.0,2022,275.74766160990055,103.5,172.24766160990055
16,Kirk Cousins,QB,34.0,2022,255.46601183737624,103.5,151.96601183737624
17,Ryan Tannehill,QB,34.0,2022,255.46601183737624,103.5,151.96601183737624
11,Dak Prescott,QB,29.0,2022,244.53020342119441,103.5,141.03020342119441
18,Kirk Cousins,QB,34.0,2022,234.78016749496615,103.5,131.28016749496615
19,Ryan Tannehill,QB,34.0,2022,234.78016749496615,103.5,131.28016749496615
22,Matt Ryan,QB,37.0,2022,224.45530668670634,103.5,120.95530668670634
14,Derek Carr,QB,31.0,2022,223.4300091024919,103.5,119.93000910249191
4,Joe Burrow,QB,26.0,2022,220.8734144808925,103.5,117.3734144808925
27,Carson Wentz,QB,30.0,2022,219.25725324087006,103.5,115.75725324087006
9,Matthew Stafford,QB,34.0,2022,209.85228403495893,103.5,106.35228403495893
6,Jalen Hurts,QB,24.0,2022,205.6660146713649,103.5,102.1660146713649
36,Jared Goff,QB,28.0,2022,197.48573822640762,103.5,93.98573822640762
24,Trevor Lawrence,QB,23.0,2022,194.4215813886224,103.5,90.9215813886224
30,Baker Mayfield,QB,27.0,2022,185.21968463086182,103.5,81.71968463086182
29,Mac Jones,QB,24.0,2022,179.14579257397736,103.5,75.64579257397736
35,Daniel Jones,QB,25.0,2022,166.61246406476158,103.5,63.11246406476158
32,Zach Wilson,QB,23.0,2022,139.60132796330933,103.5,36.10132796330933
25,Jameis Winston,QB,28.0,2022,126.28590512893548,103.5,22.785905128935482
21,Tua Tagovailoa,QB,24.0,2022,124.4535331637113,103.5,20.9535331637113
23,Justin Fields,QB,23.0,2022,122.11418227783953,103.5,18.614182277839532
34,Davis Mills,QB,24.0,2022,116.53580593870244,103.5,13.035805938702438
15,Trey Lance,QB,22.0,2022,65.46885934679173,103.5,-38.03114065320827
38,Marcus Mariota,QB,29.0,2022,62.50529618922842,103.5,-40.99470381077158
