,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,Patrick Mahomes,QB,27.0,2022,322.921,103.5,219.421
12,Tom Brady,QB,45.0,2022,311.81800000000015,103.5,208.31800000000015
8,Russell Wilson,QB,34.0,2022,300.94399999999985,103.5,197.44399999999985
17,Ryan Tannehill,QB,34.0,2022,288.75699999999995,103.5,185.25699999999995
16,Kirk Cousins,QB,34.0,2022,288.75699999999995,103.5,185.25699999999995
18,Kirk Cousins,QB,34.0,2022,281.5960000000001,103.5,178.09600000000012
19,Ryan Tannehill,QB,34.0,2022,281.5960000000001,103.5,178.09600000000012
11,Dak Prescott,QB,29.0,2022,279.22499999999997,103.5,175.72499999999997
5,Kyler Murray,QB,25.0,2022,278.776,103.5,175.276
2,Justin Herbert,QB,24.0,2022,275.175,103.5,171.675
9,Matthew Stafford,QB,34.0,2022,274.17000000000013,103.5,170.67000000000013
14,Derek Carr,QB,31.0,2022,269.73000000000013,103.5,166.23000000000013
7,Aaron Rodgers,QB,39.0,2022,267.3380000000001,103.5,163.83800000000008
4,Joe Burrow,QB,26.0,2022,255.45300000000006,103.5,151.95300000000006
0,Josh Allen,QB,26.0,2022,254.25099999999995,103.5,150.75099999999995
6,Jalen Hurts,QB,24.0,2022,236.14300000000006,103.5,132.64300000000006
15,Trey Lance,QB,22.0,2022,230.14021593457278,103.5,126.64021593457278
30,Baker Mayfield,QB,27.0,2022,223.18400000000003,103.5,119.68400000000003
22,Matt Ryan,QB,37.0,2022,216.535,103.5,113.035
27,Carson Wentz,QB,30.0,2022,197.59299999999996,103.5,94.09299999999996
29,Mac Jones,QB,24.0,2022,189.28099999999995,103.5,85.78099999999995
24,Trevor Lawrence,QB,23.0,2022,187.42843540669853,103.5,83.92843540669853
36,Jared Goff,QB,28.0,2022,168.0670000000001,103.5,64.56700000000009
35,Daniel Jones,QB,25.0,2022,166.87900000000002,103.5,63.37900000000002
32,Zach Wilson,QB,23.0,2022,125.90900956345426,103.5,22.409009563454262
23,Justin Fields,QB,23.0,2022,115.5740739571832,103.5,12.074073957183202
25,Jameis Winston,QB,28.0,2022,113.46949999999994,103.5,9.96949999999994
21,Tua Tagovailoa,QB,24.0,2022,95.33637966428996,103.5,-8.163620335710036
34,Davis Mills,QB,24.0,2022,87.3939814116439,103.5,-16.106018588356093
38,Marcus Mariota,QB,29.0,2022,67.88550000000001,103.5,-35.61449999999999
