,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
9,Kyler Murray,QB,24,2021,301.3563549866458,300.5,0.8563549866457834
3,Patrick Mahomes,QB,26,2021,243.04970375992798,361.7,-118.65029624007201
10,Kirk Cousins,QB,33,2021,238.34962694215483,300.3,-61.950373057845184
11,Kirk Cousins,QB,33,2021,238.34962694215483,300.3,-61.950373057845184
4,Aaron Rodgers,QB,38,2021,235.69442563583652,333.3,-97.60557436416349
2,Tom Brady,QB,44,2021,234.65019373256382,374.7,-140.04980626743617
40,Jameis Winston,QB,27,2021,224.59901856614124,117.4,107.19901856614123
1,Justin Herbert,QB,23,2021,219.42938703975324,380.8,-161.37061296024677
24,Taylor Heinicke,QB,28,2021,212.4616322606762,222.9,-10.438367739323809
25,Taylor Heinicke,QB,28,2021,205.86544474434504,222.9,-17.034555255654965
0,Josh Allen,QB,25,2021,201.08894536175194,402.6,-201.51105463824808
5,Matthew Stafford,QB,33,2021,200.07193014871336,329.7,-129.62806985128663
39,Taysom Hill,QB,31,2021,191.4373586523143,121.7,69.73735865231428
8,Jalen Hurts,QB,23,2021,189.2507343318448,312.2,-122.94926566815519
15,Russell Wilson,QB,33,2021,182.22850726833713,242.8,-60.571492731662886
13,Carson Wentz,QB,29,2021,174.72527591111248,258.0,-83.27472408888752
34,Daniel Jones,QB,24,2021,163.15523229082464,167.5,-4.344767709175358
48,Geno Smith,QB,31,2021,161.8594706197755,54.3,107.5594706197755
59,Joe Flacco,QB,36,2021,159.80231843643742,23.8,136.0023184364374
29,Jared Goff,QB,27,2021,159.11098926979412,194.5,-35.38901073020588
6,Dak Prescott,QB,28,2021,156.4626080073367,320.6,-164.1373919926633
7,Joe Burrow,QB,25,2021,150.47352054164276,314.2,-163.72647945835723
12,Ryan Tannehill,QB,33,2021,146.22887668662406,268.4,-122.17112331337592
42,Cam Newton,QB,32,2021,145.45768535823572,86.4,59.057685358235716
47,Trey Lance,QB,21,2021,141.2285181652178,64.9,76.32851816521779
32,Tua Tagovailoa,QB,23,2021,138.57726356725198,180.9,-42.32273643274803
19,Lamar Jackson,QB,24,2021,137.80547101518732,240.0,-102.19452898481268
18,Lamar Jackson,QB,24,2021,135.0085895686534,240.0,-104.9914104313466
17,Lamar Jackson,QB,24,2021,132.14638380750694,240.0,-107.85361619249306
37,Zach Wilson,QB,22,2021,123.61253323395067,151.9,-28.287466766049334
22,Matt Ryan,QB,36,2021,122.19845654431356,222.9,-100.70154345568645
33,Tua Tagovailoa,QB,23,2021,119.15108208835773,180.9,-61.74891791164228
45,Tyrod Taylor,QB,32,2021,118.54598436771448,81.7,36.84598436771448
20,Jimmy Garoppolo,QB,30,2021,118.0262614473786,227.5,-109.4737385526214
41,Trevor Siemian,QB,30,2021,116.04407233712027,90.2,25.844072337120267
23,Matt Ryan,QB,36,2021,115.6022690279824,222.9,-107.2977309720176
27,Teddy Bridgewater,QB,29,2021,112.93619131421201,202.7,-89.76380868578798
16,Lamar Jackson,QB,24,2021,105.2772413213388,240.0,-134.7227586786612
60,Cooper Rush,QB,28,2021,105.23754741907396,24.1,81.13754741907397
14,Derek Carr,QB,30,2021,104.6329864840227,257.0,-152.3670135159773
21,Mac Jones,QB,23,2021,104.59967205871453,224.9,-120.30032794128547
35,Sam Darnold,QB,24,2021,97.38961768854188,157.3,-59.910382311458136
26,Ben Roethlisberger,QB,39,2021,91.53135464083152,218.1,-126.56864535916847
43,Andy Dalton,QB,34,2021,86.46909523025715,84.2,2.2690952302571503
30,Baker Mayfield,QB,26,2021,86.20382307875298,180.9,-94.69617692124703
52,Colt McCoy,QB,35,2021,82.71922005046781,41.3,41.419220050467814
55,Gardner Minshew II,QB,25,2021,81.02861519266025,33.7,47.32861519266025
50,Josh Johnson,QB,35,2021,79.92136426492561,46.3,33.62136426492562
54,Gardner Minshew II,QB,25,2021,76.17934975338267,33.7,42.479349753382664
53,Colt McCoy,QB,35,2021,67.7718103497964,41.3,26.4718103497964
