,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
6,Dak Prescott,QB,28,2021,332.62,320.6,12.019999999999982
0,Josh Allen,QB,25,2021,326.52,402.6,-76.08000000000004
15,Russell Wilson,QB,33,2021,322.12,242.8,79.32
16,Lamar Jackson,QB,24,2021,315.97999999999996,240.0,75.97999999999996
19,Lamar Jackson,QB,24,2021,315.97999999999996,240.0,75.97999999999996
18,Lamar Jackson,QB,24,2021,315.97999999999996,240.0,75.97999999999996
17,Lamar Jackson,QB,24,2021,315.97999999999996,240.0,75.97999999999996
12,Ryan Tannehill,QB,33,2021,312.14,268.4,43.74000000000001
9,Kyler Murray,QB,24,2021,303.08,300.5,2.579999999999984
2,Tom Brady,QB,44,2021,290.34000000000003,374.7,-84.35999999999996
7,Joe Burrow,QB,25,2021,257.08000000000004,314.2,-57.11999999999995
23,Matt Ryan,QB,36,2021,255.06000000000003,222.9,32.160000000000025
5,Matthew Stafford,QB,33,2021,247.8,329.7,-81.89999999999998
10,Kirk Cousins,QB,33,2021,246.3,300.3,-54.0
11,Kirk Cousins,QB,33,2021,246.3,300.3,-54.0
22,Matt Ryan,QB,36,2021,245.82,222.9,22.919999999999987
1,Justin Herbert,QB,23,2021,238.06,380.8,-142.74
31,Baker Mayfield,QB,26,2021,229.28000000000003,180.9,48.380000000000024
30,Baker Mayfield,QB,26,2021,229.28000000000003,180.9,48.380000000000024
8,Jalen Hurts,QB,23,2021,229.11999999999998,312.2,-83.08000000000001
4,Aaron Rodgers,QB,38,2021,228.08,333.3,-105.22
34,Daniel Jones,QB,24,2021,225.94,167.5,58.44
3,Patrick Mahomes,QB,26,2021,221.44,361.7,-140.26
14,Derek Carr,QB,30,2021,202.59999999999997,257.0,-54.400000000000034
29,Jared Goff,QB,27,2021,200.28000000000003,194.5,5.78000000000003
47,Trey Lance,QB,21,2021,181.0,64.9,116.1
37,Zach Wilson,QB,22,2021,172.0,151.9,20.099999999999994
13,Carson Wentz,QB,29,2021,160.98,258.0,-97.02000000000001
26,Ben Roethlisberger,QB,39,2021,157.22,218.1,-60.879999999999995
32,Tua Tagovailoa,QB,23,2021,136.94,180.9,-43.96000000000001
21,Mac Jones,QB,23,2021,136.2,224.9,-88.70000000000002
63,Mason Rudolph,QB,26,2021,112.7,18.4,94.30000000000001
64,Mason Rudolph,QB,26,2021,112.7,18.4,94.30000000000001
38,Justin Fields,QB,22,2021,106.14000000000001,126.8,-20.659999999999982
55,Gardner Minshew II,QB,25,2021,105.38000000000002,33.7,71.68000000000002
54,Gardner Minshew II,QB,25,2021,105.38000000000002,33.7,71.68000000000002
42,Cam Newton,QB,32,2021,100.02,86.4,13.61999999999999
35,Sam Darnold,QB,24,2021,93.20000000000002,157.3,-64.1
46,Jacoby Brissett,QB,29,2021,90.17999999999999,72.3,17.879999999999995
33,Tua Tagovailoa,QB,23,2021,81.67999999999999,180.9,-99.22000000000001
73,Nick Mullens,QB,26,2021,81.64,9.9,71.74
72,Nick Mullens,QB,26,2021,81.64,9.9,71.74
39,Taysom Hill,QB,31,2021,74.42,121.7,-47.28
40,Jameis Winston,QB,27,2021,68.29999999999998,117.4,-49.10000000000002
24,Taylor Heinicke,QB,28,2021,56.4,222.9,-166.5
25,Taylor Heinicke,QB,28,2021,56.4,222.9,-166.5
45,Tyrod Taylor,QB,32,2021,55.74000000000002,81.7,-25.95999999999998
71,Jake Fromm,QB,23,2021,53.919999999999995,10.9,43.019999999999996
28,Trevor Lawrence,QB,22,2021,41.5,199.0,-157.5
44,Tyler Huntley,QB,23,2021,40.6,82.6,-41.99999999999999
43,Andy Dalton,QB,34,2021,40.16,84.2,-44.040000000000006
27,Teddy Bridgewater,QB,29,2021,32.239999999999995,202.7,-170.45999999999998
53,Colt McCoy,QB,35,2021,31.759999999999998,41.3,-9.54
60,Cooper Rush,QB,28,2021,29.82,24.1,5.719999999999999
52,Colt McCoy,QB,35,2021,23.799999999999997,41.3,-17.5
62,Jordan Love,QB,23,2021,22.6,21.1,1.5
49,Drew Lock,QB,25,2021,22.18,51.9,-29.72
65,Nick Foles,QB,32,2021,21.440000000000005,16.8,4.640000000000004
70,Sean Mannion,QB,29,2021,20.04,13.0,7.039999999999999
41,Trevor Siemian,QB,30,2021,18.2,90.2,-72.0
50,Josh Johnson,QB,35,2021,17.580000000000002,46.3,-28.719999999999995
58,Tim Boyle,QB,27,2021,16.36,24.3,-7.940000000000001
20,Jimmy Garoppolo,QB,30,2021,15.780000000000001,227.5,-211.72
61,Jordan Love,QB,23,2021,15.64,21.1,-5.460000000000001
69,P.J. Walker,QB,26,2021,14.0,13.8,0.1999999999999993
68,P.J. Walker,QB,26,2021,13.2,13.8,-0.6000000000000014
57,Case Keenum,QB,33,2021,12.719999999999999,28.7,-15.98
59,Joe Flacco,QB,36,2021,11.139999999999999,23.8,-12.660000000000002
66,Brandon Allen,QB,29,2021,10.4,13.9,-3.5
56,Mike Glennon,QB,32,2021,8.98,30.9,-21.919999999999998
67,Brandon Allen,QB,29,2021,8.36,13.9,-5.540000000000001
51,Mike White,QB,26,2021,6.200000000000001,44.0,-37.8
36,Davis Mills,QB,23,2021,3.8600000000000003,157.0,-153.14
48,Geno Smith,QB,31,2021,-0.5199999999999999,54.3,-54.82
