,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
9,Kyler Murray,QB,24,2021,371.701215062541,300.5,71.201215062541
1,Justin Herbert,QB,23,2021,362.6814249642721,380.8,-18.11857503572793
3,Patrick Mahomes,QB,26,2021,350.5654815313692,361.7,-11.134518468630802
0,Josh Allen,QB,25,2021,346.2118670766886,402.6,-56.388132923311446
4,Aaron Rodgers,QB,38,2021,334.4786967556729,333.3,1.1786967556728882
2,Tom Brady,QB,44,2021,312.5670410805151,374.7,-62.132958919484906
10,Kirk Cousins,QB,33,2021,300.595078013484,300.3,0.29507801348398743
11,Kirk Cousins,QB,33,2021,300.595078013484,300.3,0.29507801348398743
19,Lamar Jackson,QB,24,2021,293.29719716341515,240.0,53.29719716341515
18,Lamar Jackson,QB,24,2021,293.1779338779561,240.0,53.17793387795609
15,Russell Wilson,QB,33,2021,291.5120105370552,242.8,48.712010537055164
17,Lamar Jackson,QB,24,2021,283.94433847570554,240.0,43.944338475705536
16,Lamar Jackson,QB,24,2021,274.0899689774701,240.0,34.08996897747011
5,Matthew Stafford,QB,33,2021,255.09682348833576,329.7,-74.60317651166423
12,Ryan Tannehill,QB,33,2021,246.85018912912574,268.4,-21.54981087087424
13,Carson Wentz,QB,29,2021,242.2200279305116,258.0,-15.779972069488394
6,Dak Prescott,QB,28,2021,230.8517184031939,320.6,-89.74828159680612
7,Joe Burrow,QB,25,2021,227.81286393350183,314.2,-86.38713606649816
14,Derek Carr,QB,30,2021,227.30900529154997,257.0,-29.690994708450035
22,Matt Ryan,QB,36,2021,224.6021697216088,222.9,1.702169721608783
29,Jared Goff,QB,27,2021,220.2930500922521,194.5,25.793050092252088
23,Matt Ryan,QB,36,2021,219.13781695669695,222.9,-3.762183043303054
8,Jalen Hurts,QB,23,2021,201.6528065157636,312.2,-110.5471934842364
34,Daniel Jones,QB,24,2021,197.69930350950062,167.5,30.199303509500623
21,Mac Jones,QB,23,2021,196.92605931632397,224.9,-27.973940683676034
30,Baker Mayfield,QB,26,2021,191.08813787651525,180.9,10.188137876515242
31,Baker Mayfield,QB,26,2021,184.3970568801942,180.9,3.497056880194208
40,Jameis Winston,QB,27,2021,174.60776713556197,117.4,57.207767135561966
39,Taysom Hill,QB,31,2021,169.63443986843276,121.7,47.93443986843276
37,Zach Wilson,QB,22,2021,162.6581946788583,151.9,10.758194678858302
32,Tua Tagovailoa,QB,23,2021,161.8007134877721,180.9,-19.099286512227906
28,Trevor Lawrence,QB,22,2021,155.1231985371851,199.0,-43.87680146281491
33,Tua Tagovailoa,QB,23,2021,155.10963249145152,180.9,-25.790367508548485
20,Jimmy Garoppolo,QB,30,2021,152.4225755727689,227.5,-75.07742442723111
35,Sam Darnold,QB,24,2021,148.8778655088454,157.3,-8.422134491154623
27,Teddy Bridgewater,QB,29,2021,146.74927718166327,202.7,-55.950722818336715
24,Taylor Heinicke,QB,28,2021,139.23723058851056,222.9,-83.66276941148945
25,Taylor Heinicke,QB,28,2021,133.77287782359872,222.9,-89.12712217640129
36,Davis Mills,QB,23,2021,124.31907516361252,157.0,-32.680924836387476
47,Trey Lance,QB,21,2021,111.43867967203323,64.9,46.538679672033226
55,Gardner Minshew II,QB,25,2021,111.20933685601358,33.7,77.50933685601358
42,Cam Newton,QB,32,2021,108.78664103262872,86.4,22.386641032628717
43,Andy Dalton,QB,34,2021,107.8231989263013,84.2,23.6231989263013
54,Gardner Minshew II,QB,25,2021,107.53018927931589,33.7,73.83018927931589
26,Ben Roethlisberger,QB,39,2021,105.62301068725765,218.1,-112.47698931274235
38,Justin Fields,QB,22,2021,97.89359745529237,126.8,-28.906402544707632
59,Joe Flacco,QB,36,2021,86.63282841173714,23.8,62.83282841173714
48,Geno Smith,QB,31,2021,64.06836338814537,54.3,9.768363388145374
41,Trevor Siemian,QB,30,2021,56.72094302804817,90.2,-33.479056971951834
60,Cooper Rush,QB,28,2021,51.785678583521076,24.1,27.685678583521074
49,Drew Lock,QB,25,2021,47.48576684802174,51.9,-4.414233151978259
46,Jacoby Brissett,QB,29,2021,47.47112579799523,72.3,-24.82887420200477
45,Tyrod Taylor,QB,32,2021,41.391338136591,81.7,-40.308661863409
50,Josh Johnson,QB,35,2021,36.579818509178494,46.3,-9.720181490821503
62,Jordan Love,QB,23,2021,15.42763708675966,21.1,-5.672362913240342
63,Mason Rudolph,QB,26,2021,15.087124122040223,18.4,-3.312875877959776
64,Mason Rudolph,QB,26,2021,15.087124122040223,18.4,-3.312875877959776
56,Mike Glennon,QB,32,2021,14.605149749731481,30.9,-16.294850250268517
52,Colt McCoy,QB,35,2021,9.923402505551621,41.3,-31.376597494448376
53,Colt McCoy,QB,35,2021,5.577632033170175,41.3,-35.72236796682982
