,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
9,Kyler Murray,QB,24,2021,277.79934443525826,300.5,-22.700655564741737
10,Kirk Cousins,QB,33,2021,255.634901519913,300.3,-44.66509848008701
11,Kirk Cousins,QB,33,2021,255.634901519913,300.3,-44.66509848008701
3,Patrick Mahomes,QB,26,2021,243.51040329274656,361.7,-118.18959670725343
2,Tom Brady,QB,44,2021,242.85463121044359,374.7,-131.8453687895564
4,Aaron Rodgers,QB,38,2021,239.56822177487993,333.3,-93.73177822512008
40,Jameis Winston,QB,27,2021,236.58574742455676,117.4,119.18574742455675
1,Justin Herbert,QB,23,2021,230.11100739235735,380.8,-150.68899260764266
0,Josh Allen,QB,25,2021,217.0531145600644,402.6,-185.54688543993564
5,Matthew Stafford,QB,33,2021,211.5365137063127,329.7,-118.1634862936873
24,Taylor Heinicke,QB,28,2021,203.4531807821436,222.9,-19.446819217856415
25,Taylor Heinicke,QB,28,2021,198.22770821083714,222.9,-24.67229178916287
8,Jalen Hurts,QB,23,2021,185.63221593399567,312.2,-126.56778406600432
13,Carson Wentz,QB,29,2021,182.89159657435357,258.0,-75.10840342564643
39,Taysom Hill,QB,31,2021,174.83697752136231,121.7,53.13697752136231
15,Russell Wilson,QB,33,2021,171.90725422399237,242.8,-70.89274577600764
34,Daniel Jones,QB,24,2021,170.4771832632473,167.5,2.977183263247298
6,Dak Prescott,QB,28,2021,164.4239804713102,320.6,-156.17601952868984
47,Trey Lance,QB,21,2021,159.05975734430876,64.9,94.15975734430876
29,Jared Goff,QB,27,2021,156.76867546813355,194.5,-37.73132453186645
7,Joe Burrow,QB,25,2021,153.16326310014892,314.2,-161.03673689985106
19,Lamar Jackson,QB,24,2021,149.97849675884117,240.0,-90.02150324115883
59,Joe Flacco,QB,36,2021,149.20923584059074,23.8,125.40923584059074
48,Geno Smith,QB,31,2021,147.28653814145036,54.3,92.98653814145037
18,Lamar Jackson,QB,24,2021,147.15483741541448,240.0,-92.84516258458552
12,Ryan Tannehill,QB,33,2021,145.1492184488402,268.4,-123.25078155115978
17,Lamar Jackson,QB,24,2021,144.04440806028833,240.0,-95.95559193971167
32,Tua Tagovailoa,QB,23,2021,138.40546097065135,180.9,-42.49453902934866
20,Jimmy Garoppolo,QB,30,2021,127.00145466812091,227.5,-100.49854533187909
42,Cam Newton,QB,32,2021,124.15027479953096,86.4,37.750274799530956
22,Matt Ryan,QB,36,2021,121.43848037220232,222.9,-101.46151962779768
41,Trevor Siemian,QB,30,2021,120.01419608061269,90.2,29.81419608061269
63,Mason Rudolph,QB,26,2021,118.2387232582455,18.4,99.8387232582455
64,Mason Rudolph,QB,26,2021,118.2387232582455,18.4,99.8387232582455
60,Cooper Rush,QB,28,2021,117.75466364269596,24.1,93.65466364269597
23,Matt Ryan,QB,36,2021,116.21300780089541,222.9,-106.6869921991046
33,Tua Tagovailoa,QB,23,2021,114.96477992830114,180.9,-65.93522007169886
16,Lamar Jackson,QB,24,2021,113.25134462852338,240.0,-126.74865537147662
27,Teddy Bridgewater,QB,29,2021,108.34664685227335,202.7,-94.35335314772664
14,Derek Carr,QB,30,2021,106.73580864078667,257.0,-150.26419135921333
35,Sam Darnold,QB,24,2021,106.69592485217072,157.3,-50.60407514782929
21,Mac Jones,QB,23,2021,105.46095072650905,224.9,-119.43904927349095
37,Zach Wilson,QB,22,2021,99.25434633586974,151.9,-52.645653664130265
45,Tyrod Taylor,QB,32,2021,97.36394286527502,81.7,15.663942865275018
55,Gardner Minshew II,QB,25,2021,96.00929816609823,33.7,62.30929816609823
26,Ben Roethlisberger,QB,39,2021,93.79465526314198,218.1,-124.30534473685802
54,Gardner Minshew II,QB,25,2021,90.29777615404237,33.7,56.597776154042364
58,Tim Boyle,QB,27,2021,89.67080385110648,24.3,65.37080385110649
30,Baker Mayfield,QB,26,2021,88.77310634173409,180.9,-92.12689365826591
52,Colt McCoy,QB,35,2021,82.66141533727114,41.3,41.36141533727114
43,Andy Dalton,QB,34,2021,81.37476106531767,84.2,-2.825238934682332
36,Davis Mills,QB,23,2021,75.81578432394736,157.0,-81.18421567605264
53,Colt McCoy,QB,35,2021,73.43024950623021,41.3,32.130249506230214
31,Baker Mayfield,QB,26,2021,65.33242529938389,180.9,-115.56757470061612
50,Josh Johnson,QB,35,2021,63.87369518542164,46.3,17.57369518542164
28,Trevor Lawrence,QB,22,2021,61.13083945749577,199.0,-137.86916054250423
46,Jacoby Brissett,QB,29,2021,49.82648064564546,72.3,-22.473519354354536
73,Nick Mullens,QB,26,2021,37.75134255891544,9.9,27.85134255891544
72,Nick Mullens,QB,26,2021,37.75134255891544,9.9,27.85134255891544
57,Case Keenum,QB,33,2021,34.30629849739125,28.7,5.606298497391254
62,Jordan Love,QB,23,2021,32.739744825059006,21.1,11.639744825059005
56,Mike Glennon,QB,32,2021,24.722783117425024,30.9,-6.1772168825749745
44,Tyler Huntley,QB,23,2021,16.46500024656416,82.6,-66.13499975343584
49,Drew Lock,QB,25,2021,11.179333129587576,51.9,-40.72066687041242
38,Justin Fields,QB,22,2021,9.60426835712633,126.8,-117.19573164287367
61,Jordan Love,QB,23,2021,2.2297713797843244,21.1,-18.870228620215677
71,Jake Fromm,QB,23,2021,-15.892482721137185,10.9,-26.792482721137183
65,Nick Foles,QB,32,2021,-38.277241273714935,16.8,-55.07724127371493
66,Brandon Allen,QB,29,2021,-44.832913367516085,13.9,-58.73291336751608
67,Brandon Allen,QB,29,2021,-51.80835767521239,13.9,-65.7083576752124
51,Mike White,QB,26,2021,-55.8481049843831,44.0,-99.8481049843831
70,Sean Mannion,QB,29,2021,-56.075963742004205,13.0,-69.0759637420042
69,P.J. Walker,QB,26,2021,-93.80210965099104,13.8,-107.60210965099104
68,P.J. Walker,QB,26,2021,-104.14887046662716,13.8,-117.94887046662716
