,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
9,Kyler Murray,QB,24,2021,438.56220526246636,300.5,138.06220526246636
3,Patrick Mahomes,QB,26,2021,389.942699155258,361.7,28.242699155258038
1,Justin Herbert,QB,23,2021,358.8849588321726,380.8,-21.91504116782744
4,Aaron Rodgers,QB,38,2021,334.42687109339334,333.3,1.1268710933933335
0,Josh Allen,QB,25,2021,315.4049207081097,402.6,-87.1950792918903
15,Russell Wilson,QB,33,2021,303.04597126598725,242.8,60.24597126598724
10,Kirk Cousins,QB,33,2021,292.805486570755,300.3,-7.494513429244989
11,Kirk Cousins,QB,33,2021,292.805486570755,300.3,-7.494513429244989
17,Lamar Jackson,QB,24,2021,274.3699601032207,240.0,34.369960103220706
19,Lamar Jackson,QB,24,2021,273.39172462236826,240.0,33.39172462236826
16,Lamar Jackson,QB,24,2021,272.6554616376871,240.0,32.6554616376871
18,Lamar Jackson,QB,24,2021,271.90418232364857,240.0,31.90418232364857
2,Tom Brady,QB,44,2021,270.580983865687,374.7,-104.11901613431297
22,Matt Ryan,QB,36,2021,252.81438434506808,222.9,29.914384345068072
23,Matt Ryan,QB,36,2021,252.79607306019435,222.9,29.89607306019434
29,Jared Goff,QB,27,2021,245.54349602392492,194.5,51.04349602392492
6,Dak Prescott,QB,28,2021,226.16305275041404,320.6,-94.43694724958598
12,Ryan Tannehill,QB,33,2021,225.9546795551169,268.4,-42.445320444883066
13,Carson Wentz,QB,29,2021,219.8509355165469,258.0,-38.14906448345309
40,Jameis Winston,QB,27,2021,217.7629128985698,117.4,100.36291289856979
5,Matthew Stafford,QB,33,2021,217.72743592861147,329.7,-111.97256407138852
34,Daniel Jones,QB,24,2021,215.6594185192862,167.5,48.15941851928619
14,Derek Carr,QB,30,2021,213.92082439896018,257.0,-43.07917560103982
8,Jalen Hurts,QB,23,2021,200.64813456496853,312.2,-111.55186543503146
42,Cam Newton,QB,32,2021,194.7890840656884,86.4,108.3890840656884
39,Taysom Hill,QB,31,2021,189.19787349739156,121.7,67.49787349739155
30,Baker Mayfield,QB,26,2021,181.0782436517654,180.9,0.17824365176539914
31,Baker Mayfield,QB,26,2021,179.93351166635932,180.9,-0.9664883336406831
7,Joe Burrow,QB,25,2021,171.34727065782016,314.2,-142.85272934217983
37,Zach Wilson,QB,22,2021,156.85459664654184,151.9,4.95459664654183
26,Ben Roethlisberger,QB,39,2021,151.438912777213,218.1,-66.66108722278699
47,Trey Lance,QB,21,2021,144.61924984727094,64.9,79.71924984727093
35,Sam Darnold,QB,24,2021,138.6204432749516,157.3,-18.6795567250484
20,Jimmy Garoppolo,QB,30,2021,137.87528292322847,227.5,-89.62471707677153
32,Tua Tagovailoa,QB,23,2021,125.30084998796802,180.9,-55.599150012031984
24,Taylor Heinicke,QB,28,2021,125.27879200182535,222.9,-97.62120799817465
25,Taylor Heinicke,QB,28,2021,124.60545156179573,222.9,-98.29454843820427
33,Tua Tagovailoa,QB,23,2021,124.17899201585914,180.9,-56.72100798414087
21,Mac Jones,QB,23,2021,106.3801075942052,224.9,-118.5198924057948
43,Andy Dalton,QB,34,2021,101.54018009531536,84.2,17.34018009531536
27,Teddy Bridgewater,QB,29,2021,100.2350452654601,202.7,-102.46495473453989
60,Cooper Rush,QB,28,2021,91.23017011315308,24.1,67.13017011315307
28,Trevor Lawrence,QB,22,2021,89.70665139147667,199.0,-109.29334860852333
48,Geno Smith,QB,31,2021,81.15886212132756,54.3,26.85886212132756
45,Tyrod Taylor,QB,32,2021,79.14151210747596,81.7,-2.5584878925240417
55,Gardner Minshew II,QB,25,2021,77.42372642853762,33.7,43.72372642853762
38,Justin Fields,QB,22,2021,76.71708075589956,126.8,-50.08291924410044
54,Gardner Minshew II,QB,25,2021,75.25105538217896,33.7,41.55105538217896
49,Drew Lock,QB,25,2021,66.34312416013864,51.9,14.443124160138645
59,Joe Flacco,QB,36,2021,64.20388065724522,23.8,40.403880657245224
36,Davis Mills,QB,23,2021,63.96433783073515,157.0,-93.03566216926485
46,Jacoby Brissett,QB,29,2021,53.72987917435607,72.3,-18.570120825643926
41,Trevor Siemian,QB,30,2021,49.607180367103254,90.2,-40.59281963289675
64,Mason Rudolph,QB,26,2021,46.90628720567737,18.4,28.506287205677374
63,Mason Rudolph,QB,26,2021,46.90628720567737,18.4,28.506287205677374
62,Jordan Love,QB,23,2021,43.71347196509112,21.1,22.613471965091115
61,Jordan Love,QB,23,2021,42.73458943091882,21.1,21.634589430918815
52,Colt McCoy,QB,35,2021,41.38438417634771,41.3,0.08438417634771156
53,Colt McCoy,QB,35,2021,40.521683106005895,41.3,-0.7783168939941021
56,Mike Glennon,QB,32,2021,31.899927614174455,30.9,0.9999276141744566
44,Tyler Huntley,QB,23,2021,29.77411280409991,82.6,-52.82588719590008
71,Jake Fromm,QB,23,2021,29.68638234832481,10.9,18.786382348324807
50,Josh Johnson,QB,35,2021,24.74760315798842,46.3,-21.55239684201158
