,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,Patrick Mahomes,QB,26.0,2021,314.0460000000001,361.7,-47.65399999999988
15,Russell Wilson,QB,33.0,2021,306.4429999999997,242.8,63.64299999999969
12,Ryan Tannehill,QB,33.0,2021,297.13000000000005,268.4,28.730000000000075
18,Lamar Jackson,QB,24.0,2021,297.0599999999998,240.0,57.059999999999775
19,Lamar Jackson,QB,24.0,2021,297.0479999999998,240.0,57.047999999999774
16,Lamar Jackson,QB,24.0,2021,296.05599999999976,240.0,56.055999999999756
17,Lamar Jackson,QB,24.0,2021,293.2799999999998,240.0,53.2799999999998
10,Kirk Cousins,QB,33.0,2021,277.6710000000002,300.3,-22.62899999999979
11,Kirk Cousins,QB,33.0,2021,277.6710000000002,300.3,-22.62899999999979
0,Josh Allen,QB,25.0,2021,269.75099999999986,402.6,-132.84900000000016
4,Aaron Rodgers,QB,38.0,2021,266.90199999999993,333.3,-66.39800000000008
1,Justin Herbert,QB,23.0,2021,259.5990000000001,380.8,-121.20099999999991
5,Matthew Stafford,QB,33.0,2021,250.37599999999986,329.7,-79.32400000000013
2,Tom Brady,QB,44.0,2021,248.32900000000015,374.7,-126.37099999999984
14,Derek Carr,QB,30.0,2021,248.13100000000006,257.0,-8.868999999999943
29,Baker Mayfield,QB,26.0,2021,237.52100000000007,180.9,56.621000000000066
28,Baker Mayfield,QB,26.0,2021,236.60400000000004,180.9,55.704000000000036
21,Matt Ryan,QB,36.0,2021,229.37399999999997,222.9,6.473999999999961
6,Dak Prescott,QB,28.0,2021,227.88400000000013,320.6,-92.7159999999999
22,Matt Ryan,QB,36.0,2021,227.25699999999998,222.9,4.356999999999971
82,Ryan Fitzpatrick,QB,39.0,2021,225.0150000000001,0.7,224.3150000000001
9,Kyler Murray,QB,24.0,2021,223.9200000000001,300.5,-76.5799999999999
84,Ryan Fitzpatrick,QB,39.0,2021,216.2020000000001,0.7,215.50200000000012
83,Ryan Fitzpatrick,QB,39.0,2021,213.68340000000012,0.7,212.98340000000013
27,Jared Goff,QB,27.0,2021,205.50800000000015,194.5,11.008000000000152
25,Ben Roethlisberger,QB,39.0,2021,201.76900000000012,218.1,-16.330999999999875
30,Tua Tagovailoa,QB,23.0,2021,201.47900000000016,180.9,20.57900000000015
36,Cam Newton,QB,32.0,2021,194.68100000000007,86.4,108.28100000000006
44,Gardner Minshew II,QB,25.0,2021,180.0182500000001,33.7,146.3182500000001
45,Gardner Minshew II,QB,25.0,2021,172.70533333333344,33.7,139.00533333333345
65,Mitchell Trubisky,QB,27.0,2021,167.893,8.1,159.793
32,Daniel Jones,QB,24.0,2021,167.419,167.5,-0.08099999999998886
33,Sam Darnold,QB,24.0,2021,161.87300000000005,157.3,4.573000000000036
35,Jameis Winston,QB,27.0,2021,156.586,117.4,39.18600000000001
7,Joe Burrow,QB,25.0,2021,150.2084038461539,314.2,-163.99159615384607
37,Andy Dalton,QB,34.0,2021,144.90800000000004,84.2,60.70800000000004
13,Carson Wentz,QB,29.0,2021,142.48200000000003,258.0,-115.51799999999997
66,Chad Henne,QB,36.0,2021,124.3880000000001,3.3,121.08800000000011
26,Teddy Bridgewater,QB,29.0,2021,123.1310000000001,202.7,-79.56899999999989
40,Drew Lock,QB,25.0,2021,115.95219273504277,51.9,64.05219273504278
8,Jalen Hurts,QB,23.0,2021,111.15878333333335,312.2,-201.04121666666663
48,Joe Flacco,QB,36.0,2021,108.76800000000009,23.8,84.96800000000009
