,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
9,Kyler Murray,QB,24,2021,355.53144900097914,300.5,55.03144900097914
3,Patrick Mahomes,QB,26,2021,328.78040854541996,361.7,-32.91959145458003
4,Aaron Rodgers,QB,38,2021,307.1347788616499,333.3,-26.16522113835009
1,Justin Herbert,QB,23,2021,304.9130952773817,380.8,-75.88690472261834
11,Kirk Cousins,QB,33,2021,295.69759715424607,300.3,-4.602402845753943
10,Kirk Cousins,QB,33,2021,295.69759715424607,300.3,-4.602402845753943
2,Tom Brady,QB,44,2021,293.17198322673676,374.7,-81.52801677326323
0,Josh Allen,QB,25,2021,277.7366458292913,402.6,-124.8633541707087
15,Russell Wilson,QB,33,2021,254.30490395009747,242.8,11.504903950097457
40,Jameis Winston,QB,27,2021,238.95858190164063,117.4,121.55858190164062
5,Matthew Stafford,QB,33,2021,230.5841204240619,329.7,-99.1158795759381
19,Lamar Jackson,QB,24,2021,227.86039145506493,240.0,-12.139608544935072
18,Lamar Jackson,QB,24,2021,227.59937196544024,240.0,-12.400628034559759
17,Lamar Jackson,QB,24,2021,226.9383477091419,240.0,-13.061652290858092
6,Dak Prescott,QB,28,2021,215.80960645796904,320.6,-104.79039354203098
29,Jared Goff,QB,27,2021,210.84030774463508,194.5,16.340307744635084
13,Carson Wentz,QB,29,2021,210.8105876131831,258.0,-47.18941238681691
16,Lamar Jackson,QB,24,2021,204.00447271971552,240.0,-35.99552728028448
22,Matt Ryan,QB,36,2021,201.68498861330318,222.9,-21.21501138669683
23,Matt Ryan,QB,36,2021,196.58011773045246,222.9,-26.31988226954755
34,Daniel Jones,QB,24,2021,194.03660815656212,167.5,26.536608156562124
12,Ryan Tannehill,QB,33,2021,192.51737469356203,268.4,-75.88262530643794
7,Joe Burrow,QB,25,2021,168.459501222384,314.2,-145.74049877761598
8,Jalen Hurts,QB,23,2021,165.79649568108425,312.2,-146.40350431891574
14,Derek Carr,QB,30,2021,160.44067935246176,257.0,-96.55932064753824
42,Cam Newton,QB,32,2021,160.00641574681094,86.4,73.60641574681094
39,Taysom Hill,QB,31,2021,159.23346603027585,121.7,37.53346603027585
47,Trey Lance,QB,21,2021,149.75399264312045,64.9,84.85399264312045
30,Baker Mayfield,QB,26,2021,146.9754606770607,180.9,-33.924539322939296
32,Tua Tagovailoa,QB,23,2021,136.58563675239793,180.9,-44.314363247602074
24,Taylor Heinicke,QB,28,2021,135.706691312746,222.9,-87.19330868725402
26,Ben Roethlisberger,QB,39,2021,133.83554768359454,218.1,-84.26445231640545
25,Taylor Heinicke,QB,28,2021,130.60182042989481,222.9,-92.29817957010519
31,Baker Mayfield,QB,26,2021,130.24852881324978,180.9,-50.65147118675023
59,Joe Flacco,QB,36,2021,128.34976264134502,23.8,104.54976264134503
55,Gardner Minshew II,QB,25,2021,127.91678350072516,33.7,94.21678350072516
35,Sam Darnold,QB,24,2021,124.84156860934809,157.3,-32.458431390651924
20,Jimmy Garoppolo,QB,30,2021,122.53398979175518,227.5,-104.96601020824482
54,Gardner Minshew II,QB,25,2021,121.37996723353717,33.7,87.67996723353717
33,Tua Tagovailoa,QB,23,2021,119.858704888587,180.9,-61.04129511141301
60,Cooper Rush,QB,28,2021,114.40918301327156,24.1,90.30918301327156
37,Zach Wilson,QB,22,2021,112.41787262084472,151.9,-39.48212737915529
43,Andy Dalton,QB,34,2021,106.18259442695398,84.2,21.98259442695398
27,Teddy Bridgewater,QB,29,2021,103.23151131164695,202.7,-99.46848868835303
21,Mac Jones,QB,23,2021,100.88458879892869,224.9,-124.01541120107132
64,Mason Rudolph,QB,26,2021,77.8863074893452,18.4,59.4863074893452
63,Mason Rudolph,QB,26,2021,77.8863074893452,18.4,59.4863074893452
48,Geno Smith,QB,31,2021,77.01293772674217,54.3,22.71293772674217
36,Davis Mills,QB,23,2021,74.6922839104559,157.0,-82.3077160895441
28,Trevor Lawrence,QB,22,2021,67.37272331950044,199.0,-131.62727668049956
