,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Jonathan Taylor,RB,23.0,2022,277.76960000000025,1.0,0.5,1.01,1.05
1,Nick Chubb,RB,27.0,2022,225.80969999999897,14.0,2.8,1.01,3.01
2,Javonte Williams,RB,22.0,2022,212.30049999999983,21.0,3.6,1.01,3.1
3,Christian McCaffrey,RB,26.0,2022,209.66340000000008,2.0,0.8,1.01,1.08
4,Alvin Kamara,RB,27.0,2022,206.39730000000068,18.0,3.4,1.03,3.06
5,James Conner,RB,27.0,2022,206.39730000000068,33.0,3.8,1.12,4.09
6,Najee Harris,RB,24.0,2022,193.69550000000075,7.0,2.0,1.01,2.03
7,Josh Jacobs,RB,24.0,2022,193.62090000000052,48.0,5.4,1.12,7.02
8,Austin Ekeler,RB,27.0,2022,188.26199999999986,5.0,1.4,1.01,1.11
9,Jamaal Williams,RB,27.0,2022,188.26199999999986,142.0,9.4,8.12,15.06
10,D'Andre Swift,RB,23.0,2022,186.9969999999992,12.0,2.1,1.02,2.09
11,Miles Sanders,RB,25.0,2022,185.0197,64.0,5.6,3.07,7.11
12,Antonio Gibson,RB,24.0,2022,183.92850000000027,45.0,5.3,1.06,6.08
13,Justin Herbert,QB,24.0,2022,183.92850000000027,35.0,5.1,1.02,5.08
14,Dalvin Cook,RB,27.0,2022,182.68690000000035,8.0,1.8,1.01,2.03
15,James Robinson,RB,24.0,2022,175.00550000000004,86.0,7.0,3.1,9.1
16,Joe Mixon,RB,26.0,2022,170.1467000000005,10.0,2.0,1.01,2.07
17,AJ Dillon,RB,24.0,2022,164.56900000000078,,,,
18,David Montgomery,RB,25.0,2022,160.07459999999978,32.0,3.8,2.04,5.11
19,Alvin Kamara,RB,27.0,2022,157.87320000000028,18.0,3.4,1.03,3.06
20,James Conner,RB,27.0,2022,157.87320000000028,33.0,3.8,1.12,4.09
21,Saquon Barkley,RB,25.0,2022,154.6586000000007,20.0,3.4,1.02,3.07
22,Ezekiel Elliott,RB,27.0,2022,151.38140000000024,27.0,3.6,1.05,4.06
