,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,331.82,373.1,-41.28000000000003
3,Najee Harris,RB,23,2021,265.53999999999996,300.7,-35.160000000000025
9,Alvin Kamara,RB,26,2021,258.84000000000003,234.7,24.140000000000043
10,Alvin Kamara,RB,26,2021,258.84000000000003,234.7,24.140000000000043
16,Dalvin Cook,RB,26,2021,239.0,206.3,32.69999999999999
14,Aaron Jones,RB,27,2021,230.8,229.0,1.8000000000000114
5,Ezekiel Elliott,RB,26,2021,224.98000000000002,252.1,-27.119999999999976
6,Nick Chubb,RB,26,2021,222.56000000000003,215.3,7.260000000000019
7,Nick Chubb,RB,26,2021,219.95999999999998,215.3,4.659999999999968
1,Austin Ekeler,RB,26,2021,215.06000000000003,343.8,-128.73999999999998
74,Justin Jackson,RB,25,2021,209.46000000000004,86.2,123.26000000000003
26,James Robinson,RB,23,2021,206.9,173.9,33.0
24,D'Andre Swift,RB,22,2021,205.6,208.9,-3.3000000000000114
11,Antonio Gibson,RB,23,2021,204.62000000000003,229.1,-24.47999999999996
17,Josh Jacobs,RB,23,2021,201.7,226.0,-24.30000000000001
21,David Montgomery,RB,24,2021,200.92,195.0,5.9199999999999875
19,Javonte Williams,RB,21,2021,200.0,204.9,-4.900000000000006
15,Derrick Henry,RB,27,2021,199.56,193.3,6.259999999999991
18,Melvin Gordon,RB,28,2021,191.7,195.1,-3.4000000000000057
12,Leonard Fournette,RB,26,2021,186.54000000000002,255.6,-69.05999999999997
13,Cordarrelle Patterson,RB,30,2021,178.11999999999998,234.6,-56.48000000000002
70,Nyheim Hines,RB,25,2021,169.95999999999998,112.6,57.359999999999985
2,Joe Mixon,RB,25,2021,166.48000000000002,287.9,-121.41999999999996
91,Derrick Gore,RB,27,2021,165.52,56.1,109.42000000000002
8,Damien Harris,RB,24,2021,163.32,210.1,-46.78
20,Devin Singletary,RB,24,2021,160.7,197.8,-37.10000000000002
25,Elijah Mitchell,RB,23,2021,158.98000000000002,165.0,-6.019999999999982
33,Michael Carter,RB,22,2021,155.11999999999998,154.4,0.7199999999999704
37,Saquon Barkley,RB,24,2021,147.56,148.6,-1.039999999999992
109,Phillip Lindsay,RB,27,2021,146.07999999999998,45.4,100.67999999999998
42,Clyde Edwards-Helaire,RB,22,2021,145.26,117.6,27.659999999999997
59,J.D. McKissic,RB,28,2021,141.48,127.9,13.579999999999984
4,James Conner,RB,26,2021,135.52,257.7,-122.17999999999998
89,David Johnson,RB,30,2021,135.52,81.3,54.22000000000001
22,AJ Dillon,RB,23,2021,135.32,185.6,-50.28
50,Miles Sanders,RB,24,2021,134.9,117.2,17.700000000000003
41,Chase Edmonds,RB,25,2021,133.85999999999999,143.3,-9.440000000000026
68,Kenyan Drake,RB,27,2021,133.3,102.5,30.80000000000001
63,Mark Ingram,RB,32,2021,132.98,108.6,24.379999999999995
46,Jamaal Williams,RB,26,2021,132.76,119.8,12.959999999999994
47,Jamaal Williams,RB,26,2021,132.07999999999998,119.8,12.279999999999987
64,Mark Ingram,RB,32,2021,130.8,108.6,22.200000000000017
35,Devonta Freeman,RB,29,2021,130.26,146.6,-16.340000000000003
45,Latavius Murray,RB,31,2021,130.06,103.6,26.460000000000008
36,Chuba Hubbard,RB,22,2021,128.8,137.6,-8.799999999999983
90,David Johnson,RB,30,2021,128.22,81.3,46.92
108,Chris Carson,RB,27,2021,125.8,48.1,77.69999999999999
88,David Johnson,RB,30,2021,122.36000000000001,81.3,41.06000000000002
29,Myles Gaskin,RB,24,2021,120.52000000000001,173.6,-53.079999999999984
34,Rashaad Penny,RB,25,2021,118.24000000000001,121.7,-3.4599999999999937
