,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,336.7986905402828,373.1,-36.30130945971723
24,D'Andre Swift,RB,22,2021,237.2719375000259,208.9,28.371937500025894
11,Antonio Gibson,RB,23,2021,228.63341123556506,229.1,-0.46658876443493114
6,Nick Chubb,RB,26,2021,218.41206163537998,215.3,3.1120616353799733
7,Nick Chubb,RB,26,2021,214.76517205544025,215.3,-0.5348279445597655
18,Melvin Gordon,RB,28,2021,207.53680861982582,195.1,12.436808619825825
37,Saquon Barkley,RB,24,2021,199.39104208388505,148.6,50.79104208388506
16,Dalvin Cook,RB,26,2021,197.7412505543408,206.3,-8.558749445659203
26,James Robinson,RB,23,2021,186.1408491139806,173.9,12.240849113980602
15,Derrick Henry,RB,27,2021,176.54505828646631,193.3,-16.754941713533697
14,Aaron Jones,RB,27,2021,171.82562368148433,229.0,-57.17437631851567
13,Cordarrelle Patterson,RB,30,2021,170.01801222921688,234.6,-64.58198777078312
2,Joe Mixon,RB,25,2021,166.37403933602138,287.9,-121.5259606639786
5,Ezekiel Elliott,RB,26,2021,153.54210589525712,252.1,-98.55789410474287
4,James Conner,RB,26,2021,153.2298992383581,257.7,-104.4701007616419
91,Derrick Gore,RB,27,2021,153.09712457926628,56.1,96.99712457926628
10,Alvin Kamara,RB,26,2021,147.43159827595605,234.7,-87.26840172404394
85,Dontrell Hilliard,RB,26,2021,146.55124090709808,72.7,73.85124090709807
41,Chase Edmonds,RB,25,2021,146.1365281972483,143.3,2.836528197248299
19,Javonte Williams,RB,21,2021,146.09692121023386,204.9,-58.80307878976615
9,Alvin Kamara,RB,26,2021,145.86743435385551,234.7,-88.83256564614447
1,Austin Ekeler,RB,26,2021,145.23427191681174,343.8,-198.56572808318828
32,Tony Pollard,RB,24,2021,144.5995102173198,162.6,-18.000489782680205
94,Travis Homer,RB,23,2021,144.55632571659817,61.8,82.75632571659817
74,Justin Jackson,RB,25,2021,144.21012409040998,86.2,58.010124090409974
93,Travis Homer,RB,23,2021,143.85504590764845,61.8,82.05504590764845
92,Travis Homer,RB,23,2021,141.223654129823,61.8,79.42365412982299
12,Leonard Fournette,RB,26,2021,129.44137857710672,255.6,-126.15862142289328
34,Rashaad Penny,RB,25,2021,129.20404100366522,121.7,7.504041003665222
20,Devin Singletary,RB,24,2021,129.09953021595055,197.8,-68.70046978404946
22,AJ Dillon,RB,23,2021,128.18667818420317,185.6,-57.41332181579682
70,Nyheim Hines,RB,25,2021,126.4396809984367,112.6,13.839680998436705
8,Damien Harris,RB,24,2021,124.0325419278729,210.1,-86.0674580721271
39,Devontae Booker,RB,29,2021,122.47719793954468,144.1,-21.622802060455314
51,Miles Sanders,RB,24,2021,121.82621012668301,117.2,4.626210126683006
38,Devontae Booker,RB,29,2021,118.96204898240774,144.1,-25.137951017592258
17,Josh Jacobs,RB,23,2021,116.00995537947801,226.0,-109.99004462052199
59,J.D. McKissic,RB,28,2021,115.0325144064916,127.9,-12.867485593508405
50,Miles Sanders,RB,24,2021,113.71257767576503,117.2,-3.48742232423497
49,Christian McCaffrey,RB,25,2021,113.20214301018461,127.5,-14.297856989815386
63,Mark Ingram,RB,32,2021,112.02667994998279,108.6,3.4266799499827982
21,David Montgomery,RB,24,2021,110.91144920911552,195.0,-84.08855079088448
45,Latavius Murray,RB,31,2021,110.5255684320773,103.6,6.925568432077313
64,Mark Ingram,RB,32,2021,110.19103818031931,108.6,1.591038180319316
48,Christian McCaffrey,RB,25,2021,107.59129275719226,127.5,-19.908707242807736
44,Alexander Mattison,RB,23,2021,107.26322584704201,125.9,-18.636774152957997
33,Michael Carter,RB,22,2021,106.3067194199806,154.4,-48.09328058001941
109,Phillip Lindsay,RB,27,2021,103.17761129328437,45.4,57.77761129328437
31,Sony Michel,RB,26,2021,101.71672355871476,146.3,-44.58327644128525
108,Chris Carson,RB,27,2021,99.96688257078875,48.1,51.86688257078875
30,Sony Michel,RB,26,2021,99.41579085304318,146.3,-46.884209146956835
53,Kareem Hunt,RB,26,2021,98.61689899479046,110.0,-11.38310100520954
78,Samaje Perine,RB,26,2021,95.37925658263322,83.2,12.179256582633215
69,Kenyan Drake,RB,27,2021,93.84650533963952,102.5,-8.65349466036048
3,Najee Harris,RB,23,2021,92.78733677042328,300.7,-207.9126632295767
29,Myles Gaskin,RB,24,2021,91.65255979576375,173.6,-81.94744020423624
68,Kenyan Drake,RB,27,2021,90.04990699726079,102.5,-12.450093002739209
28,Myles Gaskin,RB,24,2021,86.2059468150153,173.6,-87.3940531849847
40,Rhamondre Stevenson,RB,23,2021,84.22461089410984,114.9,-30.67538910589016
56,D'Onta Foreman,RB,25,2021,83.6936917025277,93.9,-10.206308297472305
57,D'Onta Foreman,RB,25,2021,83.2573932829975,93.9,-10.642606717002508
67,Rex Burkhead,RB,31,2021,82.7037781836924,104.3,-21.59622181630759
66,Rex Burkhead,RB,31,2021,82.24185393961079,104.3,-22.058146060389205
42,Clyde Edwards-Helaire,RB,22,2021,79.77019567640696,117.6,-37.82980432359304
