,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
43,Christian McCaffrey,RB,25.0,2021,182.7234505697944,127.5,55.22345056979441
42,Christian McCaffrey,RB,25.0,2021,181.09329527873967,127.5,53.593295278739674
8,Alvin Kamara,RB,26.0,2021,164.98924936708931,234.7,-69.71075063291067
9,Alvin Kamara,RB,26.0,2021,159.26184111746068,234.7,-75.43815888253931
4,Ezekiel Elliott,RB,26.0,2021,150.27048527282489,252.1,-101.82951472717511
15,Dalvin Cook,RB,26.0,2021,141.0069316932034,206.3,-65.29306830679661
0,Jonathan Taylor,RB,22.0,2021,140.06062831030738,373.1,-233.03937168969264
13,Aaron Jones,RB,27.0,2021,136.85682374758744,229.0,-92.14317625241256
32,Saquon Barkley,RB,24.0,2021,132.34264506270847,148.6,-16.257354937291524
23,James Robinson,RB,23.0,2021,127.84629779102522,173.9,-46.053702208974784
45,Miles Sanders,RB,24.0,2021,123.5446317144004,117.2,6.344631714400393
19,David Montgomery,RB,24.0,2021,121.80053995932138,195.0,-73.19946004067862
1,Austin Ekeler,RB,26.0,2021,112.09907224388144,343.8,-231.70092775611857
22,D'Andre Swift,RB,22.0,2021,110.99676948853704,208.9,-97.90323051146297
5,Nick Chubb,RB,26.0,2021,110.98169276103596,215.3,-104.31830723896405
16,Josh Jacobs,RB,23.0,2021,107.90359939273537,226.0,-118.09640060726463
11,Leonard Fournette,RB,26.0,2021,106.73492004363311,255.6,-148.86507995636688
62,Kenyan Drake,RB,27.0,2021,101.6959987248452,102.5,-0.8040012751548034
97,Chris Carson,RB,27.0,2021,100.68609774159012,48.1,52.586097741590116
3,James Conner,RB,26.0,2021,100.31367160077468,257.7,-157.3863283992253
44,Miles Sanders,RB,24.0,2021,98.20343005166797,117.2,-18.996569948332038
143,James White,RB,29.0,2021,97.92776119322718,31.2,66.72776119322718
141,James White,RB,29.0,2021,97.14887710048112,31.2,65.94887710048111
10,Antonio Gibson,RB,23.0,2021,97.0841078964483,229.1,-132.0158921035517
81,David Johnson,RB,30.0,2021,94.77401519147907,81.3,13.474015191479069
56,Mark Ingram,RB,32.0,2021,94.48942168447917,108.6,-14.110578315520826
17,Melvin Gordon,RB,28.0,2021,93.67501887111973,195.1,-101.42498112888026
