,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,287.43599999999975,373.1,-85.66400000000027
6,Nick Chubb,RB,26,2021,227.39100000000005,215.3,12.091000000000037
22,AJ Dillon,RB,23,2021,211.66200000000012,185.6,26.062000000000126
20,Devin Singletary,RB,24,2021,211.37599999999998,197.8,13.575999999999965
11,Antonio Gibson,RB,23,2021,210.65499999999997,229.1,-18.44500000000002
26,James Robinson,RB,23,2021,207.64200000000008,173.9,33.742000000000075
18,Melvin Gordon,RB,28,2021,200.63799999999995,195.1,5.537999999999954
74,Justin Jackson,RB,25,2021,199.89500000000004,86.2,113.69500000000004
24,D'Andre Swift,RB,22,2021,198.2350000000001,208.9,-10.664999999999907
41,Chase Edmonds,RB,25,2021,197.97500000000002,143.3,54.67500000000001
19,Javonte Williams,RB,21,2021,197.77300000000014,204.9,-7.126999999999867
7,Nick Chubb,RB,26,2021,195.62800000000007,215.3,-19.67199999999994
37,Saquon Barkley,RB,24,2021,192.30400000000006,148.6,43.704000000000065
39,Devontae Booker,RB,29,2021,187.95700000000005,144.1,43.857000000000056
16,Dalvin Cook,RB,26,2021,179.20700000000005,206.3,-27.09299999999996
14,Aaron Jones,RB,27,2021,177.25,229.0,-51.75
70,Nyheim Hines,RB,25,2021,167.213,112.6,54.613
1,Austin Ekeler,RB,26,2021,166.06000000000012,343.8,-177.7399999999999
17,Josh Jacobs,RB,23,2021,163.63299999999987,226.0,-62.36700000000013
12,Leonard Fournette,RB,26,2021,160.598,255.6,-95.00199999999998
13,Cordarrelle Patterson,RB,30,2021,155.80700000000007,234.6,-78.79299999999992
33,Michael Carter,RB,22,2021,151.518,154.4,-2.882000000000005
32,Tony Pollard,RB,24,2021,149.13099999999994,162.6,-13.469000000000051
2,Joe Mixon,RB,25,2021,148.27999999999986,287.9,-139.62000000000012
8,Damien Harris,RB,24,2021,146.28899999999996,210.1,-63.811000000000035
44,Alexander Mattison,RB,23,2021,144.59199999999996,125.9,18.69199999999995
5,Ezekiel Elliott,RB,26,2021,144.20099999999996,252.1,-107.89900000000003
78,Samaje Perine,RB,26,2021,142.724,83.2,59.52399999999999
27,Darrell Henderson,RB,24,2021,140.21799999999996,163.4,-23.182000000000045
38,Devontae Booker,RB,29,2021,139.28799999999998,144.1,-4.812000000000012
