,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,322.10753750248625,373.1,-50.99246249751377
24,D'Andre Swift,RB,22,2021,226.71701322830546,208.9,17.817013228305456
11,Antonio Gibson,RB,23,2021,215.87985037022338,229.1,-13.220149629776614
6,Nick Chubb,RB,26,2021,192.70021296515472,215.3,-22.599787034845292
13,Cordarrelle Patterson,RB,30,2021,181.9756177923502,234.6,-52.6243822076498
18,Melvin Gordon,RB,28,2021,180.8561449390977,195.1,-14.243855060902291
7,Nick Chubb,RB,26,2021,179.68572002163967,215.3,-35.614279978360344
37,Saquon Barkley,RB,24,2021,170.06743730289543,148.6,21.467437302895434
85,Dontrell Hilliard,RB,26,2021,166.841271367022,72.7,94.14127136702199
93,Travis Homer,RB,23,2021,160.95117687782937,61.8,99.15117687782937
91,Derrick Gore,RB,27,2021,159.99993829054642,56.1,103.89993829054643
94,Travis Homer,RB,23,2021,159.38907632226346,61.8,97.58907632226347
16,Dalvin Cook,RB,26,2021,158.55154440213664,206.3,-47.74845559786337
19,Javonte Williams,RB,21,2021,157.22381249975035,204.9,-47.676187500249654
26,James Robinson,RB,23,2021,152.15086268515535,173.9,-21.74913731484466
92,Travis Homer,RB,23,2021,152.0857382509193,61.8,90.2857382509193
41,Chase Edmonds,RB,25,2021,151.14267836908078,143.3,7.842678369080772
74,Justin Jackson,RB,25,2021,149.8306195775669,86.2,63.63061957756689
34,Rashaad Penny,RB,25,2021,146.49104564033485,121.7,24.791045640334843
15,Derrick Henry,RB,27,2021,145.6152698766548,193.3,-47.68473012334522
2,Joe Mixon,RB,25,2021,144.4123815519353,287.9,-143.48761844806467
14,Aaron Jones,RB,27,2021,142.51775819471771,229.0,-86.48224180528229
22,AJ Dillon,RB,23,2021,142.25391544980494,185.6,-43.34608455019506
32,Tony Pollard,RB,24,2021,138.85018314312993,162.6,-23.74981685687007
8,Damien Harris,RB,24,2021,137.10269459917765,210.1,-72.99730540082234
4,James Conner,RB,26,2021,132.67677767316553,257.7,-125.02322232683446
39,Devontae Booker,RB,29,2021,131.71800886395613,144.1,-12.381991136043865
38,Devontae Booker,RB,29,2021,123.13449290648771,144.1,-20.965507093512286
12,Leonard Fournette,RB,26,2021,120.88190566861402,255.6,-134.71809433138597
33,Michael Carter,RB,22,2021,119.74100212553128,154.4,-34.658997874468724
1,Austin Ekeler,RB,26,2021,119.18325404496727,343.8,-224.61674595503274
20,Devin Singletary,RB,24,2021,113.97873295672343,197.8,-83.82126704327658
59,J.D. McKissic,RB,28,2021,112.21134485559105,127.9,-15.688655144408955
70,Nyheim Hines,RB,25,2021,110.28396291268473,112.6,-2.316037087315266
57,D'Onta Foreman,RB,25,2021,107.98807055391603,93.9,14.088070553916026
44,Alexander Mattison,RB,23,2021,106.9442980213608,125.9,-18.955701978639212
78,Samaje Perine,RB,26,2021,106.51506649758727,83.2,23.315066497587267
56,D'Onta Foreman,RB,25,2021,105.73069047298571,93.9,11.830690472985708
5,Ezekiel Elliott,RB,26,2021,104.9635011355274,252.1,-147.1364988644726
64,Mark Ingram,RB,32,2021,103.08187063811425,108.6,-5.518129361885741
51,Miles Sanders,RB,24,2021,100.91881503587081,117.2,-16.281184964129196
63,Mark Ingram,RB,32,2021,100.15764641701395,108.6,-8.442353582986044
45,Latavius Murray,RB,31,2021,98.98433785593198,103.6,-4.615662144068011
