,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Travis Kelce,TE,33.0,2022,206.54637113356785,,
1,Mark Andrews,TE,27.0,2022,174.6668592404666,,
3,Kyle Pitts,TE,22.0,2022,147.1275463810338,,
12,Pat Freiermuth,TE,24.0,2022,144.75357077434148,,
4,George Kittle,TE,29.0,2022,139.2221793415975,,
28,Noah Fant,TE,25.0,2022,132.961223133873,,
5,T.J. Hockenson,TE,25.0,2022,127.89763010192806,,
6,Dalton Schultz,TE,26.0,2022,127.34841879585716,,
15,Hunter Henry,TE,28.0,2022,124.65626962265823,,
13,Mike Gesicki,TE,27.0,2022,124.21531396143453,,
7,Dallas Goedert,TE,27.0,2022,122.11697898307912,,
9,Zach Ertz,TE,32.0,2022,118.25683768698106,,
8,Dawson Knox,TE,26.0,2022,115.11752290674336,,
23,Tyler Higbee,TE,29.0,2022,114.62000020512569,,
25,Austin Hooper,TE,28.0,2022,113.24222218753853,,
20,Robert Tonyan,TE,28.0,2022,109.74980493882086,,
14,Cole Kmet,TE,23.0,2022,103.89991194578502,,
27,Evan Engram,TE,28.0,2022,96.15247793435458,,
16,Hayden Hurst,TE,29.0,2022,94.87760521575208,,
31,Gerald Everett,TE,28.0,2022,89.41180330089641,,
22,Albert Okwuegbunam,TE,24.0,2022,88.89163510990178,,
26,David Njoku,TE,26.0,2022,74.33754001379633,,
29,Logan Thomas,TE,31.0,2022,71.23128130004892,,
21,Kyle Rudolph,TE,33.0,2022,68.83428361001681,,
19,Mo Alie-Cox,TE,29.0,2022,57.709523455296015,,
17,Cameron Brate,TE,31.0,2022,57.460015913944204,,
