,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Travis Kelce,TE,33.0,2022,221.32484556444115,32.2,189.12484556444116
1,Mark Andrews,TE,27.0,2022,175.0644187071085,32.2,142.86441870710848
3,Kyle Pitts,TE,22.0,2022,156.12857549440668,32.2,123.92857549440667
4,George Kittle,TE,29.0,2022,151.1825726521946,32.2,118.9825726521946
9,Zach Ertz,TE,32.0,2022,123.548642397283,32.2,91.348642397283
7,Dallas Goedert,TE,27.0,2022,119.7769766673795,32.2,87.5769766673795
5,T.J. Hockenson,TE,25.0,2022,114.82655199057405,32.2,82.62655199057404
28,Noah Fant,TE,25.0,2022,113.7826903917844,32.2,81.5826903917844
12,Pat Freiermuth,TE,24.0,2022,110.50326831532973,32.2,78.30326831532973
15,Hunter Henry,TE,28.0,2022,110.35053263657173,32.2,78.15053263657173
23,Tyler Higbee,TE,29.0,2022,110.30771670735473,32.2,78.10771670735473
27,Evan Engram,TE,28.0,2022,108.36124009877426,32.2,76.16124009877426
13,Mike Gesicki,TE,27.0,2022,106.03297468023558,32.2,73.83297468023558
25,Austin Hooper,TE,28.0,2022,96.7378844876124,32.2,64.5378844876124
6,Dalton Schultz,TE,26.0,2022,95.263393684486,32.2,63.063393684486
31,Gerald Everett,TE,28.0,2022,92.32898183250114,32.2,60.12898183250114
8,Dawson Knox,TE,26.0,2022,87.6974388359129,32.2,55.4974388359129
16,Hayden Hurst,TE,29.0,2022,86.26897560140932,32.2,54.06897560140932
14,Cole Kmet,TE,23.0,2022,76.66968544068558,32.2,44.46968544068558
20,Robert Tonyan,TE,28.0,2022,74.85684298475951,32.2,42.65684298475951
29,Logan Thomas,TE,31.0,2022,74.12141698929952,32.2,41.921416989299516
21,Kyle Rudolph,TE,33.0,2022,65.1239000309737,32.2,32.9239000309737
19,Mo Alie-Cox,TE,29.0,2022,59.664950716670056,32.2,27.464950716670053
22,Albert Okwuegbunam,TE,24.0,2022,58.52842574465029,32.2,26.32842574465029
17,Cameron Brate,TE,31.0,2022,57.77742676396288,32.2,25.577426763962876
26,David Njoku,TE,26.0,2022,54.69097296811523,32.2,22.49097296811523
