,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32.0,2021,244.62139999999707,262.8,-18.178600000002945
16,Darren Waller,TE,29.0,2021,191.38250000000167,133.5,57.88250000000167
3,George Kittle,TE,28.0,2021,181.83010000000124,198.0,-16.169899999998762
0,Mark Andrews,TE,26.0,2021,148.4776000000006,301.1,-152.62239999999943
13,Jared Cook,TE,34.0,2021,136.9198999999997,132.4,4.519899999999694
11,Noah Fant,TE,24.0,2021,134.27840000000023,159.0,-24.721599999999768
4,Rob Gronkowski,TE,32.0,2021,133.46840000000066,171.2,-37.73159999999933
12,Tyler Higbee,TE,28.0,2021,130.40139999999982,147.0,-16.598600000000175
22,Evan Engram,TE,27.0,2021,123.35282000000008,102.5,20.85282000000008
23,Peyton Barber,RB,27.0,2021,123.35282000000008,102.5,20.85282000000008
6,Hunter Henry,TE,27.0,2021,113.77290000000008,164.3,-50.52709999999993
14,T.J. Hockenson,TE,24.0,2021,113.29850000000037,145.3,-32.00149999999964
111,Eric Ebron,TE,28.0,2021,110.98720000000058,32.5,78.48720000000058
9,Mike Gesicki,TE,26.0,2021,107.53390000000026,165.0,-57.46609999999974
8,Zach Ertz,TE,31.0,2021,106.52220000000023,180.7,-74.17779999999976
7,Dallas Goedert,TE,26.0,2021,102.76349999999977,165.0,-62.236500000000234
96,Hayden Hurst,TE,28.0,2021,101.88131333333321,64.1,37.781313333333216
97,Jimmy Graham,TE,35.0,2021,99.45300000000024,50.7,48.75300000000024
93,Jonnu Smith,TE,26.0,2021,99.13189999999946,67.4,31.731899999999456
25,Austin Hooper,TE,27.0,2021,94.46149999999975,92.5,1.9614999999997451
103,Kyle Rudolph,TE,32.0,2021,92.94229999999942,59.7,33.24229999999942
104,Robert Tonyan,TE,27.0,2021,80.46083333333331,50.4,30.060833333333314
33,Dan Arnold,TE,26.0,2021,79.57532000000013,75.8,3.7753200000001357
99,Logan Thomas,TE,30.0,2021,78.2200466666668,53.6,24.620046666666802
184,Darren Fells,TE,35.0,2021,77.1314999999996,8.3,68.83149999999961
2,Dalton Schultz,TE,25.0,2021,76.38449999999995,208.8,-132.41550000000007
113,O.J. Howard,TE,27.0,2021,75.83488000000006,33.5,42.334880000000055
171,Chris Herndon,TE,25.0,2021,74.64964999999988,14.0,60.64964999999988
105,Will Dissly,TE,25.0,2021,73.97757333333297,50.1,23.87757333333297
110,Blake Jarwin,TE,27.0,2021,71.55629999999975,32.6,38.95629999999975
92,Ricky Seals-Jones,TE,26.0,2021,71.38469000000005,69.1,2.2846900000000545
19,Gerald Everett,TE,27.0,2021,70.32933333333344,117.8,-47.47066666666656
32,La'Mical Perine,RB,23.0,2021,67.09594794375928,76.0,-8.904052056240715
31,Albert Okwuegbunam,TE,23.0,2021,67.09594794375928,76.0,-8.904052056240715
30,Bryan Edwards,WR,23.0,2021,67.09594794375928,76.0,-8.904052056240715
29,Anthony Firkser,TE,26.0,2021,66.38639999999978,79.1,-12.713600000000213
35,Harrison Bryant,TE,23.0,2021,66.23480000000026,62.3,3.9348000000002656
20,Cole Kmet,TE,22.0,2021,65.81935809780119,121.2,-55.38064190219882
24,Mo Alie-Cox,TE,28.0,2021,64.25475999999999,79.6,-15.345240000000004
28,Cameron Brate,TE,30.0,2021,64.16199999999998,78.5,-14.338000000000022
18,David Njoku,TE,25.0,2021,61.073663333333755,107.6,-46.52633666666624
39,Josiah Deguara,TE,24.0,2021,59.35510000000017,59.0,0.3551000000001707
38,Donald Parham,TE,24.0,2021,59.35510000000017,59.0,0.3551000000001707
