,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,245.6460999999964,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,201.74990000000014,26.0,3.9,1.09,5.03
2,Kyle Pitts,TE,22.0,2022,172.87060000000005,37.0,4.8,1.05,6.01
3,George Kittle,TE,29.0,2022,172.67450000000034,43.0,5.0,1.12,6.06
4,Dallas Goedert,TE,27.0,2022,150.63340000000025,83.0,8.9,4.05,11.07
5,Noah Fant,TE,25.0,2022,140.08129999999989,219.0,25.0,4.11,18.06
6,Hunter Henry,TE,28.0,2022,128.04540000000026,141.0,16.6,5.01,15.1
7,Tyler Higbee,TE,29.0,2022,124.63249999999981,193.0,28.6,6.11,19.04
8,T.J. Hockenson,TE,25.0,2022,120.92190000000046,66.0,6.7,3.1,8.11
9,Dalton Schultz,TE,26.0,2022,120.90850000000013,71.0,7.6,2.03,9.04
10,Zach Ertz,TE,32.0,2022,119.39899999999984,101.0,10.4,5.01,12.08
11,Mike Gesicki,TE,27.0,2022,118.85860000000007,127.0,14.2,5.03,15.11
12,Austin Hooper,TE,28.0,2022,103.27140000000011,195.0,26.9,4.12,18.06
13,Pat Freiermuth,TE,24.0,2022,103.11389999999983,121.0,14.3,3.01,14.08
14,Evan Engram,TE,28.0,2022,95.19616666666641,208.0,22.9,9.08,18.03
15,Logan Thomas,TE,31.0,2022,92.12100000000034,226.0,19.8,7.11,18.06
16,Cole Kmet,TE,23.0,2022,90.04106666666708,140.0,15.2,6.03,15.12
17,Dawson Knox,TE,26.0,2022,86.06280000000034,92.0,11.0,3.07,13.03
18,Hayden Hurst,TE,29.0,2022,78.17563333333298,161.0,31.4,6.12,18.05
19,Cameron Brate,TE,31.0,2022,76.94219333333317,162.0,36.0,4.12,17.02
20,Robert Tonyan,TE,28.0,2022,75.71029999999983,,,,
21,Albert Okwuegbunam,TE,24.0,2022,74.01149999999986,180.0,19.6,7.05,18.06
22,Kyle Rudolph,TE,33.0,2022,72.33371999999966,178.0,33.6,5.07,18.05
23,Gerald Everett,TE,28.0,2022,71.76153333333336,231.0,21.3,8.02,18.06
24,Mo Alie-Cox,TE,29.0,2022,65.26354333333309,167.0,41.3,6.08,18.02
25,David Njoku,TE,26.0,2022,64.07482666666685,207.0,23.6,2.12,18.06
