,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,160.63174348833832,262.8,-102.1682565116617
29,David Njoku,TE,25,2021,157.43263955772068,107.6,49.83263955772068
73,Kyle Rudolph,TE,32,2021,145.49038864311547,59.7,85.79038864311546
62,Josiah Deguara,TE,24,2021,138.7848966718136,61.5,77.28489667181361
41,Albert Okwuegbunam,TE,23,2021,128.12890207764144,76.0,52.12890207764144
26,C.J. Uzomah,TE,28,2021,122.37747332376239,128.3,-5.922526676237624
61,Josiah Deguara,TE,24,2021,122.10105938353627,61.5,60.60105938353627
14,Kyle Pitts,TE,21,2021,115.69041652280157,176.6,-60.909583477198424
16,Kyle Pitts,TE,21,2021,113.07827365893127,176.6,-63.52172634106873
15,Kyle Pitts,TE,21,2021,113.07827365893127,176.6,-63.52172634106873
3,George Kittle,TE,28,2021,106.6151729508274,198.0,-91.3848270491726
17,Zach Ertz,TE,31,2021,104.19612700979405,180.7,-76.50387299020593
6,Dawson Knox,TE,25,2021,102.65701365194855,164.1,-61.44298634805145
22,Jared Cook,TE,34,2021,102.23567221527492,132.4,-30.16432778472509
23,Jared Cook,TE,34,2021,99.25920569698292,132.4,-33.14079430301709
4,George Kittle,TE,28,2021,98.10804555403365,198.0,-99.89195444596635
21,Tyler Higbee,TE,28,2021,89.16268968461372,147.0,-57.837310315386276
5,Rob Gronkowski,TE,32,2021,88.11623158083694,171.2,-83.08376841916305
30,Gerald Everett,TE,27,2021,86.14682061788972,117.8,-31.65317938211028
48,Ricky Seals-Jones,TE,26,2021,84.09177459112834,69.1,14.991774591128348
47,Ricky Seals-Jones,TE,26,2021,80.5376451950051,69.1,11.437645195005103
101,Ian Thomas,TE,25,2021,80.21327818816553,36.8,43.413278188165535
11,Dallas Goedert,TE,26,2021,78.80442707428438,165.0,-86.19557292571562
13,Mike Gesicki,TE,26,2021,78.4240771624386,165.0,-86.5759228375614
100,Ian Thomas,TE,25,2021,77.85893390674119,36.8,41.05893390674119
28,Tyler Conklin,TE,26,2021,77.56856569420461,138.3,-60.7314343057954
0,Mark Andrews,TE,26,2021,77.27813351068971,301.1,-223.8218664893103
20,Tyler Higbee,TE,28,2021,75.3470118621899,147.0,-71.6529881378101
36,Foster Moreau,TE,24,2021,75.27138157444915,85.3,-10.028618425550846
8,Hunter Henry,TE,27,2021,74.72802989361617,164.3,-89.57197010638384
9,Hunter Henry,TE,27,2021,74.72802989361617,164.3,-89.57197010638384
37,Jack Doyle,TE,31,2021,73.24698598760324,79.2,-5.953014012396764
10,Dallas Goedert,TE,26,2021,72.42283193019057,165.0,-92.57716806980943
69,Logan Thomas,TE,30,2021,72.37345678442443,53.6,18.773456784424432
67,Logan Thomas,TE,30,2021,72.37345678442443,53.6,18.773456784424432
68,Logan Thomas,TE,30,2021,72.37345678442443,53.6,18.773456784424432
12,Mike Gesicki,TE,26,2021,72.04248201834525,165.0,-92.95751798165475
82,Will Dissly,TE,25,2021,71.9861100846415,50.1,21.886110084641494
59,Hayden Hurst,TE,28,2021,70.39238565508185,64.1,6.292385655081858
34,Mo Alie-Cox,TE,28,2021,70.38731391496458,79.6,-9.212686085035415
33,Mo Alie-Cox,TE,28,2021,70.38731391496458,79.6,-9.212686085035415
60,Hayden Hurst,TE,28,2021,69.91861111056414,64.1,5.818611110564149
81,Will Dissly,TE,25,2021,69.71894661775877,50.1,19.618946617758773
58,Hayden Hurst,TE,28,2021,69.60539397015691,64.1,5.505393970156916
35,Austin Hooper,TE,27,2021,68.60630605206188,92.5,-23.893693947938118
44,Harrison Bryant,TE,23,2021,68.18987474544019,62.3,5.889874745440196
89,Stephen Anderson,TE,28,2021,67.93353434485607,38.5,29.43353434485607
7,Hunter Henry,TE,27,2021,66.56729269170319,164.3,-97.73270730829682
98,Marcedes Lewis,TE,37,2021,65.12357953825085,44.4,20.723579538250853
306,Daniel Helm,TE,26,2021,65.08708900575994,0.9,64.18708900575993
90,Stephen Anderson,TE,28,2021,65.01919769221877,38.5,26.519197692218768
63,Jimmy Graham,TE,35,2021,64.97556851635954,50.7,14.275568516359542
96,Marcedes Lewis,TE,37,2021,64.90108981887442,44.4,20.501089818874426
32,Evan Engram,TE,27,2021,63.95285491953064,102.5,-38.54714508046936
19,Noah Fant,TE,24,2021,63.63603276027288,159.0,-95.36396723972712
57,Ryan Griffin,TE,31,2021,63.49447918336591,65.1,-1.6055208166340833
27,Darren Waller,TE,29,2021,63.168445150532534,133.5,-70.33155484946747
56,Ryan Griffin,TE,31,2021,62.40992142882487,65.1,-2.690078571175121
25,T.J. Hockenson,TE,24,2021,62.18309674917191,145.3,-83.1169032508281
64,Jimmy Graham,TE,35,2021,61.79991565054479,50.7,11.099915650544787
86,Brock Wright,TE,23,2021,61.77308337531849,35.7,26.07308337531849
77,Robert Tonyan,TE,27,2021,61.24182449156706,50.4,10.84182449156706
76,Robert Tonyan,TE,27,2021,61.24182449156706,50.4,10.84182449156706
2,Dalton Schultz,TE,25,2021,59.96656217732561,208.8,-148.8334378226744
105,Jordan Akins,TE,29,2021,59.944513824621026,41.7,18.244513824621023
79,James O'Shaughnessy,TE,29,2021,59.44779204130964,50.4,9.047792041309641
78,James O'Shaughnessy,TE,29,2021,59.44779204130964,50.4,9.047792041309641
24,T.J. Hockenson,TE,24,2021,59.07607560212864,145.3,-86.22392439787137
83,Maxx Williams,TE,27,2021,58.6826326573464,41.3,17.382632657346406
84,Maxx Williams,TE,27,2021,57.538329721434366,41.3,16.23832972143437
50,Geoff Swaim,TE,28,2021,57.20659506654056,70.0,-12.793404933459442
52,Geoff Swaim,TE,28,2021,57.20659506654056,70.0,-12.793404933459442
71,Adam Trautman,TE,24,2021,56.82057678159026,63.3,-6.479423218409735
85,Brock Wright,TE,23,2021,56.03073749869418,35.7,20.330737498694177
301,Deon Yelder,TE,26,2021,55.740973024740924,1.0,54.740973024740924
97,Marcedes Lewis,TE,37,2021,55.39275933350655,44.4,10.992759333506548
302,Deon Yelder,TE,26,2021,55.357087561331355,1.0,54.357087561331355
304,Deon Yelder,TE,26,2021,55.357087561331355,1.0,54.357087561331355
305,Deon Yelder,TE,26,2021,55.357087561331355,1.0,54.357087561331355
176,Darren Fells,TE,35,2021,55.05373303528586,8.3,46.75373303528586
112,Pharaoh Brown,TE,27,2021,54.58583095901622,38.1,16.48583095901622
104,Nick Vannett,TE,28,2021,53.1678841187927,28.3,24.8678841187927
126,Lee Smith,TE,34,2021,53.06326934135541,21.5,31.563269341355408
172,Darren Fells,TE,35,2021,52.98180285285207,8.3,44.68180285285207
174,Darren Fells,TE,35,2021,52.98180285285207,8.3,44.68180285285207
175,Darren Fells,TE,35,2021,52.98180285285207,8.3,44.68180285285207
113,Pharaoh Brown,TE,27,2021,52.77405778903767,38.1,14.674057789037668
103,Nick Vannett,TE,28,2021,51.896111496323556,28.3,23.596111496323555
51,Geoff Swaim,TE,28,2021,50.81931576916804,70.0,-19.180684230831957
140,Blake Bell,TE,30,2021,50.58300636194599,18.7,31.88300636194599
49,Jonnu Smith,TE,26,2021,49.91033734399571,67.4,-17.4896626560043
110,Joe Fortson,TE,26,2021,49.45121907117709,21.7,27.751219071177093
91,Tyler Kroft,TE,29,2021,49.36676983347161,39.3,10.06676983347161
303,Deon Yelder,TE,26,2021,49.25187169369747,1.0,48.25187169369747
70,Adam Trautman,TE,24,2021,48.798513851385906,63.3,-14.501486148614092
92,Tyler Kroft,TE,29,2021,47.97546209418215,39.3,8.675462094182151
108,Joe Fortson,TE,26,2021,47.58269991653651,21.7,25.882699916536513
106,Joe Fortson,TE,26,2021,47.58269991653651,21.7,25.882699916536513
75,Tommy Tremble,TE,21,2021,47.47971423239278,53.1,-5.620285767607221
139,Blake Bell,TE,30,2021,47.19892517479093,18.7,28.49892517479093
42,Dan Arnold,TE,26,2021,45.05598397628046,75.8,-30.74401602371954
80,John Bates,TE,24,2021,44.79029942167199,50.9,-6.10970057832801
102,Nick Vannett,TE,28,2021,44.689589782476105,28.3,16.389589782476104
74,Tommy Tremble,TE,21,2021,43.781866618735876,53.1,-9.318133381264126
173,Darren Fells,TE,35,2021,42.909331350577304,8.3,34.60933135057731
39,Anthony Firkser,TE,26,2021,42.83877809972364,79.1,-36.261221900276354
40,Anthony Firkser,TE,26,2021,42.83877809972364,79.1,-36.261221900276354
66,Brevin Jordan,TE,21,2021,42.268450321139426,55.8,-13.531549678860571
135,Kylen Granson,TE,23,2021,41.70002783556447,21.6,20.100027835564468
166,Charlie Woerner,TE,24,2021,40.72642252843207,10.2,30.526422528432068
165,Charlie Woerner,TE,24,2021,40.72642252843207,10.2,30.526422528432068
45,Juwan Johnson,TE,25,2021,40.08966817638111,52.9,-12.810331823618888
94,Eric Ebron,TE,28,2021,39.916661812921575,32.5,7.416661812921575
88,Zach Gentry,TE,25,2021,39.78632654870853,35.7,4.086326548708527
53,Durham Smythe,TE,26,2021,39.18930584838063,70.0,-30.810694151619373
55,Durham Smythe,TE,26,2021,39.18930584838063,70.0,-30.810694151619373
168,Kendall Blanton,TE,26,2021,38.49896979773666,7.7,30.798969797736664
95,Eric Ebron,TE,28,2021,37.692447447554514,32.5,5.192447447554514
136,Kylen Granson,TE,23,2021,37.59350378980025,21.6,15.99350378980025
72,MyCole Pruitt,TE,29,2021,37.25057445826815,48.5,-11.249425541731853
43,Dan Arnold,TE,26,2021,36.868338712985405,75.8,-38.93166128701459
99,O.J. Howard,TE,27,2021,36.816722794191264,33.5,3.3167227941912643
164,Charlie Woerner,TE,24,2021,36.49221236450194,10.2,26.29221236450194
65,Brevin Jordan,TE,21,2021,36.26373711531005,55.8,-19.536262884689947
120,Chris Manhertz,TE,29,2021,35.98152356396622,19.1,16.88152356396622
38,Cameron Brate,TE,30,2021,35.52264704643221,78.5,-42.97735295356779
159,Josh Oliver,TE,24,2021,34.63553663241828,15.6,19.035536632418278
118,Chris Manhertz,TE,29,2021,34.59021582467676,19.1,15.49021582467676
121,Chris Manhertz,TE,29,2021,34.59021582467676,19.1,15.49021582467676
93,Blake Jarwin,TE,27,2021,34.10126058631113,32.6,1.5012605863111261
87,Zach Gentry,TE,25,2021,34.04398067208467,35.7,-1.656019327915331
162,Luke Farrell,TE,24,2021,33.567535457329996,12.6,20.967535457329994
169,Tyler Davis,TE,24,2021,33.405781196601765,7.5,25.905781196601765
170,Tyler Davis,TE,24,2021,33.405781196601765,7.5,25.905781196601765
171,Tyler Davis,TE,24,2021,33.405781196601765,7.5,25.905781196601765
124,Drew Sample,TE,25,2021,32.946508639102376,19.1,13.846508639102375
54,Durham Smythe,TE,26,2021,32.80202655100857,70.0,-37.19797344899143
141,Adam Shaheen,TE,27,2021,32.38457667703187,23.0,9.384576677031873
129,Jesse James,TE,27,2021,32.149447749687624,19.2,12.949447749687625
122,Drew Sample,TE,25,2021,31.555200899812917,19.1,12.455200899812915
125,Drew Sample,TE,25,2021,31.555200899812917,19.1,12.455200899812915
199,Dominique Dafney,TE,24,2021,31.531941119957082,5.4,26.131941119957084
46,Donald Parham,TE,24,2021,31.332614676396133,59.0,-27.667385323603867
296,Darrell Daniels,TE,27,2021,31.276070119327414,1.0,30.276070119327414
297,Darrell Daniels,TE,27,2021,30.892184655917845,1.0,29.892184655917845
300,Darrell Daniels,TE,27,2021,30.892184655917845,1.0,29.892184655917845
299,Darrell Daniels,TE,27,2021,30.892184655917845,1.0,29.892184655917845
167,Kendall Blanton,TE,26,2021,30.107507790893578,7.7,22.40750779089358
132,Ross Dwelley,TE,26,2021,29.43151484544751,15.1,14.33151484544751
160,Josh Oliver,TE,24,2021,28.978105120159398,15.6,13.378105120159399
157,Josh Oliver,TE,24,2021,28.978105120159398,15.6,13.378105120159399
31,Cole Kmet,TE,22,2021,28.426582428435268,121.2,-92.77341757156474
195,Dominique Dafney,TE,24,2021,27.235184291145742,5.4,21.835184291145744
201,Dominique Dafney,TE,24,2021,27.235184291145742,5.4,21.835184291145744
119,Chris Manhertz,TE,29,2021,26.861321392209902,19.1,7.761321392209901
128,Jesse James,TE,27,2021,26.651615964634402,19.2,7.451615964634403
145,Chris Herndon,TE,25,2021,26.514541247579018,14.0,12.514541247579018
18,Pat Freiermuth,TE,23,2021,26.50304000898541,151.7,-125.19695999101458
281,Richard Rodgers,TE,29,2021,25.77649719055671,3.1,22.67649719055671
298,Darrell Daniels,TE,27,2021,24.786968788283957,1.0,23.786968788283957
158,Josh Oliver,TE,24,2021,24.73026934750851,15.6,9.130269347508511
185,Parker Hesse,TE,26,2021,24.610170533419478,9.3,15.310170533419477
