,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,261.44,262.8,-1.3600000000000136
4,George Kittle,TE,28,2021,194.95999999999998,198.0,-3.0400000000000205
3,George Kittle,TE,28,2021,194.78000000000003,198.0,-3.2199999999999704
27,Darren Waller,TE,29,2021,182.56,133.5,49.06
0,Mark Andrews,TE,26,2021,172.4,301.1,-128.70000000000002
18,Pat Freiermuth,TE,23,2021,163.92000000000002,151.7,12.220000000000027
14,Kyle Pitts,TE,21,2021,160.3,176.6,-16.299999999999983
16,Kyle Pitts,TE,21,2021,155.85999999999999,176.6,-20.74000000000001
15,Kyle Pitts,TE,21,2021,155.85999999999999,176.6,-20.74000000000001
7,Hunter Henry,TE,27,2021,154.28,164.3,-10.02000000000001
5,Rob Gronkowski,TE,32,2021,152.56,171.2,-18.639999999999986
12,Mike Gesicki,TE,26,2021,148.6,165.0,-16.400000000000006
2,Dalton Schultz,TE,25,2021,147.3,208.8,-61.5
8,Hunter Henry,TE,27,2021,147.1,164.3,-17.200000000000017
9,Hunter Henry,TE,27,2021,147.1,164.3,-17.200000000000017
17,Zach Ertz,TE,31,2021,147.06,180.7,-33.639999999999986
13,Mike Gesicki,TE,26,2021,143.85999999999999,165.0,-21.140000000000015
6,Dawson Knox,TE,25,2021,139.95999999999998,164.1,-24.140000000000015
20,Tyler Higbee,TE,28,2021,138.47999999999996,147.0,-8.520000000000039
23,Jared Cook,TE,34,2021,138.02,132.4,5.6200000000000045
11,Dallas Goedert,TE,26,2021,136.8,165.0,-28.19999999999999
21,Tyler Higbee,TE,28,2021,136.11999999999998,147.0,-10.880000000000024
19,Noah Fant,TE,24,2021,135.83999999999997,159.0,-23.160000000000025
32,Evan Engram,TE,27,2021,135.0,102.5,32.5
22,Jared Cook,TE,34,2021,134.9,132.4,2.5
10,Dallas Goedert,TE,26,2021,129.04000000000002,165.0,-35.95999999999998
76,Robert Tonyan,TE,27,2021,126.64000000000001,50.4,76.24000000000001
