,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,George Kittle,TE,28.0,2021,141.72387599517856,198.0,-56.27612400482144
1,Travis Kelce,TE,32.0,2021,137.1746454322481,262.8,-125.62535456775191
4,George Kittle,TE,28.0,2021,116.93414832161625,198.0,-81.06585167838375
23,Darren Waller,TE,29.0,2021,111.22266001013054,133.5,-22.27733998986946
14,Zach Ertz,TE,31.0,2021,107.12934316293126,180.7,-73.57065683706873
18,Jared Cook,TE,34.0,2021,106.04591227235852,132.4,-26.354087727641485
19,Jared Cook,TE,34.0,2021,99.8488627898567,132.4,-32.55113721014331
0,Mark Andrews,TE,26.0,2021,94.2566056511389,301.1,-206.84339434886112
5,Rob Gronkowski,TE,32.0,2021,89.82885385385316,171.2,-81.37114614614683
83,Eric Ebron,TE,28.0,2021,88.53811122816609,32.5,56.03811122816609
28,Evan Engram,TE,27.0,2021,88.12388861301673,102.5,-14.376111386983268
13,Mike Gesicki,TE,26.0,2021,87.8494177270212,165.0,-77.1505822729788
59,Jimmy Graham,TE,35.0,2021,86.75274157850197,50.7,36.052741578501966
84,Eric Ebron,TE,28.0,2021,84.73364039293989,32.5,52.23364039293989
31,Austin Hooper,TE,27.0,2021,83.76883475674447,92.5,-8.731165243255532
15,Noah Fant,TE,24.0,2021,83.04649710586165,159.0,-75.95350289413835
20,T.J. Hockenson,TE,24.0,2021,82.04468243503948,145.3,-63.255317564960535
60,Jimmy Graham,TE,35.0,2021,80.41584332501736,50.7,29.71584332501736
21,T.J. Hockenson,TE,24.0,2021,76.07935268904475,145.3,-69.22064731095526
45,Jonnu Smith,TE,26.0,2021,75.02118992040255,67.4,7.621189920402543
67,Kyle Rudolph,TE,32.0,2021,73.50514522851199,59.7,13.80514522851199
7,Hunter Henry,TE,27.0,2021,73.03393964903137,164.3,-91.26606035096864
11,Dallas Goedert,TE,26.0,2021,71.2741061495152,165.0,-93.7258938504848
12,Mike Gesicki,TE,26.0,2021,68.77949066512775,165.0,-96.22050933487225
25,David Njoku,TE,25.0,2021,67.7164144275435,107.6,-39.8835855724565
9,Hunter Henry,TE,27.0,2021,66.6287045802676,164.3,-97.67129541973242
8,Hunter Henry,TE,27.0,2021,66.6287045802676,164.3,-97.67129541973242
54,Hayden Hurst,TE,28.0,2021,65.98679435674154,64.1,1.8867943567415466
56,Hayden Hurst,TE,28.0,2021,64.6170502664109,64.1,0.5170502664109051
88,O.J. Howard,TE,27.0,2021,63.90343103406411,33.5,30.403431034064113
17,Tyler Higbee,TE,28.0,2021,62.753144478495585,147.0,-84.24685552150441
16,Tyler Higbee,TE,28.0,2021,62.038346163317044,147.0,-84.96165383668296
