,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
6,Tyreek Hill,WR,27,2021,242.9586088906085,296.5,-53.5413911093915
9,D.K. Metcalf,WR,24,2021,236.00784242494728,244.3,-8.292157575052727
4,Davante Adams,WR,29,2021,209.47216871163118,344.3,-134.82783128836883
48,DeAndre Hopkins,WR,29,2021,199.72119357649876,147.2,52.521193576498774
7,Stefon Diggs,WR,28,2021,198.3562173884875,285.5,-87.1437826115125
38,Tyler Boyd,WR,27,2021,190.89977335294407,183.8,7.099773352944055
10,Tyler Lockett,WR,29,2021,189.31330788786477,241.4,-52.08669211213524
1,Deebo Samuel,WR,25,2021,183.03276809663544,339.0,-155.96723190336456
91,Rondale Moore,WR,21,2021,181.2696618891814,109.1,72.16966188918141
8,Mike Williams,WR,27,2021,180.4788820002227,246.6,-66.12111799977728
35,A.J. Brown,WR,24,2021,171.7559198994379,180.9,-9.144080100562093
92,Rondale Moore,WR,21,2021,168.82340757723387,109.1,59.72340757723387
18,D.J. Moore,WR,24,2021,168.19890295718187,237.5,-69.30109704281813
152,Julio Jones,WR,32,2021,168.12335789506824,80.4,87.72335789506823
42,Chase Claypool,WR,23,2021,167.88341720426388,166.6,1.283417204263884
0,Cooper Kupp,WR,28,2021,167.64120501580373,439.5,-271.85879498419627
3,Justin Jefferson,WR,22,2021,166.4412333765306,330.4,-163.9587666234694
94,Quez Watkins,WR,23,2021,165.77182014207347,116.0,49.771820142073466
77,Antonio Brown,WR,33,2021,164.97844513361474,121.1,43.87844513361475
124,Marquez Valdes-Scantling,WR,27,2021,164.46834609349617,87.0,77.46834609349617
31,Kendrick Bourne,WR,26,2021,162.2104396925588,180.5,-18.289560307441207
5,Mike Evans,WR,28,2021,162.01842576897866,262.5,-100.48157423102134
153,Julio Jones,WR,32,2021,160.97670520174756,80.4,80.57670520174756
20,Chris Godwin,WR,25,2021,160.2666896630367,242.4,-82.13331033696332
43,Chase Claypool,WR,23,2021,160.0294630588994,166.6,-6.570536941100585
32,Kendrick Bourne,WR,26,2021,159.48964167731947,180.5,-21.01035832268053
68,Robby Anderson,WR,28,2021,158.49038973245888,138.5,19.99038973245888
67,Robby Anderson,WR,28,2021,158.48525315606366,138.5,19.985253156063663
123,Marquez Valdes-Scantling,WR,27,2021,156.9882618339784,87.0,69.98826183397841
111,Laviska Shenault Jr.,WR,23,2021,154.91085718214504,127.0,27.910857182145037
93,Quez Watkins,WR,23,2021,154.80681600747448,116.0,38.80681600747448
15,Keenan Allen,WR,29,2021,154.39216375840533,257.8,-103.40783624159468
125,Marquez Valdes-Scantling,WR,27,2021,153.10052477026602,87.0,66.10052477026602
246,Albert Wilson,WR,29,2021,151.88723522337773,48.0,103.88723522337773
78,Antonio Brown,WR,33,2021,150.39988001876418,121.1,29.299880018764185
245,Albert Wilson,WR,29,2021,149.12981722010295,48.0,101.12981722010295
244,Albert Wilson,WR,29,2021,148.7171994413702,48.0,100.71719944137021
2,Ja'Marr Chase,WR,21,2021,148.31017379957848,304.6,-156.28982620042154
22,Brandin Cooks,WR,28,2021,147.09922328433322,231.8,-84.70077671566679
37,Van Jefferson,WR,25,2021,146.03848104720282,168.2,-22.161518952797167
69,Odell Beckham Jr.,WR,29,2021,145.15069100605274,129.1,16.050691006052745
71,Kalif Raymond,WR,27,2021,143.7785039220621,132.4,11.378503922062094
13,Hunter Renfrow,WR,26,2021,140.45900329214965,259.1,-118.64099670785038
17,Tee Higgins,WR,22,2021,140.05983013487844,219.1,-79.04016986512156
36,Van Jefferson,WR,25,2021,140.05137915479258,168.2,-28.148620845207404
150,T.Y. Hilton,WR,32,2021,139.2157063253885,74.1,65.11570632538852
192,Chris Moore,WR,28,2021,138.86060441035283,55.7,83.16060441035283
27,Marquise Brown,WR,24,2021,138.55112083064955,226.3,-87.74887916935046
23,Darnell Mooney,WR,24,2021,137.33202266150897,219.7,-82.36797733849102
19,Chris Godwin,WR,25,2021,137.27435328160254,242.4,-105.12564671839746
28,Amari Cooper,WR,27,2021,135.22390185893005,202.5,-67.27609814106995
240,Breshad Perriman,WR,28,2021,135.04308909283895,33.4,101.64308909283895
56,Cedrick Wilson Jr.,WR,26,2021,135.04243387628026,147.8,-12.757566123719755
72,Kalif Raymond,WR,27,2021,133.6171416149632,132.4,1.2171416149631966
149,T.Y. Hilton,WR,32,2021,133.520346304422,74.1,59.420346304422
136,DeSean Jackson,WR,35,2021,132.96429153007102,75.8,57.164291530071026
127,Allen Robinson,WR,28,2021,132.84816334468246,87.0,45.84816334468246
41,K.J. Osborn,WR,24,2021,131.8312364403796,158.5,-26.668763559620402
11,Diontae Johnson,WR,25,2021,130.283879970405,274.4,-144.11612002959498
95,Corey Davis,WR,26,2021,129.90484340896614,105.2,24.70484340896614
60,Elijah Moore,WR,21,2021,129.41788385024392,138.2,-8.782116149756064
74,Jarvis Landry,WR,29,2021,129.12765781401026,133.0,-3.872342185989737
14,CeeDee Lamb,WR,22,2021,129.11541702141676,232.8,-103.68458297858325
25,Terry McLaurin,WR,26,2021,128.15484990726873,213.5,-85.34515009273127
12,Hunter Renfrow,WR,26,2021,128.11076770743534,259.1,-130.98923229256468
191,Chris Moore,WR,28,2021,128.05425688210698,55.7,72.35425688210698
29,Adam Thielen,WR,31,2021,127.08351201839264,199.8,-72.71648798160737
40,K.J. Osborn,WR,24,2021,126.63084028942649,158.5,-31.869159710573513
21,Jaylen Waddle,WR,23,2021,125.89383286484099,245.8,-119.90616713515902
76,Jarvis Landry,WR,29,2021,125.63430675821542,133.0,-7.365693241784584
126,Allen Robinson,WR,28,2021,125.36807908516471,87.0,38.36807908516471
239,Breshad Perriman,WR,28,2021,125.34118780832205,33.4,91.94118780832204
75,Jarvis Landry,WR,29,2021,124.76360026184943,133.0,-8.236399738150567
99,Randall Cobb,WR,31,2021,124.56152852739933,93.6,30.961528527399338
61,Courtland Sutton,WR,26,2021,124.1659501510228,150.2,-26.03404984897719
62,Courtland Sutton,WR,26,2021,123.21155632047157,150.2,-26.988443679528416
82,Deonte Harris,WR,24,2021,122.31070303112983,113.1,9.210703031129839
119,Freddie Swain,WR,23,2021,122.28394256184902,86.5,35.78394256184902
30,Christian Kirk,WR,25,2021,122.27382102384263,207.6,-85.32617897615737
128,Allen Robinson,WR,28,2021,121.48034202145232,87.0,34.480342021452316
238,Breshad Perriman,WR,28,2021,121.4481474970321,33.4,88.04814749703209
46,Marvin Jones,WR,31,2021,121.3166571045972,180.2,-58.88334289540279
16,Michael Pittman Jr.,WR,24,2021,121.1763420199652,238.6,-117.42365798003479
117,Freddie Swain,WR,23,2021,120.62778082943191,86.5,34.12778082943191
120,Freddie Swain,WR,23,2021,120.62778082943191,86.5,34.12778082943191
311,Shi Smith,WR,23,2021,119.96564637260008,16.1,103.86564637260008
100,Jalen Guyton,WR,24,2021,118.93905881955857,97.2,21.739058819558565
59,Elijah Moore,WR,21,2021,118.4228675659524,138.2,-19.777132434047587
64,Robert Woods,WR,29,2021,117.51718645003643,137.2,-19.682813549963555
162,Mack Hollins,WR,28,2021,117.09128492678906,60.3,56.79128492678906
309,Shi Smith,WR,23,2021,116.93143820595537,16.1,100.83143820595538
310,Shi Smith,WR,23,2021,115.53346837871732,16.1,99.43346837871732
121,Freddie Swain,WR,23,2021,113.89504343049293,86.5,27.395043430492933
