,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
6,Tyreek Hill,WR,27,2021,242.8498341205974,296.5,-53.65016587940261
9,D.K. Metcalf,WR,24,2021,235.076810455,244.3,-9.223189545000025
4,Davante Adams,WR,29,2021,209.3184504435858,344.3,-134.98154955641422
48,DeAndre Hopkins,WR,29,2021,198.96806353518332,147.2,51.76806353518333
7,Stefon Diggs,WR,28,2021,197.87357232759996,285.5,-87.62642767240004
38,Tyler Boyd,WR,27,2021,191.32732830269333,183.8,7.52732830269332
10,Tyler Lockett,WR,29,2021,189.44562618342843,241.4,-51.954373816571575
1,Deebo Samuel,WR,25,2021,182.99531354068677,339.0,-156.00468645931323
91,Rondale Moore,WR,21,2021,181.4570666938198,109.1,72.3570666938198
8,Mike Williams,WR,27,2021,180.848349132041,246.6,-65.751650867959
35,A.J. Brown,WR,24,2021,171.5394920186145,180.9,-9.360507981385496
18,D.J. Moore,WR,24,2021,169.15852319434498,237.5,-68.34147680565502
92,Rondale Moore,WR,21,2021,168.60183315950894,109.1,59.50183315950895
152,Julio Jones,WR,32,2021,168.3857603420338,80.4,87.98576034203379
42,Chase Claypool,WR,23,2021,167.99682304666612,166.6,1.3968230466661282
0,Cooper Kupp,WR,28,2021,167.8090660577368,439.5,-271.6909339422632
3,Justin Jefferson,WR,22,2021,167.57599922225563,330.4,-162.82400077774435
94,Quez Watkins,WR,23,2021,166.1359936996846,116.0,50.135993699684605
124,Marquez Valdes-Scantling,WR,27,2021,164.60082347277398,87.0,77.60082347277398
31,Kendrick Bourne,WR,26,2021,163.42545276022565,180.5,-17.074547239774347
77,Antonio Brown,WR,33,2021,163.28113128706673,121.1,42.181131287066734
5,Mike Evans,WR,28,2021,162.37877665327778,262.5,-100.12122334672222
153,Julio Jones,WR,32,2021,161.94443963555977,80.4,81.54443963555977
43,Chase Claypool,WR,23,2021,160.39798167581012,166.6,-6.202018324189879
20,Chris Godwin,WR,25,2021,159.7949884853383,242.4,-82.6050115146617
32,Kendrick Bourne,WR,26,2021,159.05334797644127,180.5,-21.446652023558727
68,Robby Anderson,WR,28,2021,158.59656760348298,138.5,20.09656760348298
67,Robby Anderson,WR,28,2021,158.24841298343108,138.5,19.74841298343108
123,Marquez Valdes-Scantling,WR,27,2021,157.77610531221194,87.0,70.77610531221194
93,Quez Watkins,WR,23,2021,155.01186473865937,116.0,39.01186473865937
111,Laviska Shenault Jr.,WR,23,2021,154.91203997964135,127.0,27.91203997964135
15,Keenan Allen,WR,29,2021,154.2966640918944,257.8,-103.50333590810561
125,Marquez Valdes-Scantling,WR,27,2021,152.75549384295095,87.0,65.75549384295095
246,Albert Wilson,WR,29,2021,151.2929739543697,48.0,103.2929739543697
78,Antonio Brown,WR,33,2021,150.32426873055215,121.1,29.224268730552154
2,Ja'Marr Chase,WR,21,2021,149.472725079351,304.6,-155.12727492064903
245,Albert Wilson,WR,29,2021,149.12592004686076,48.0,101.12592004686076
244,Albert Wilson,WR,29,2021,148.4857733504366,48.0,100.4857733504366
22,Brandin Cooks,WR,28,2021,147.0783489293383,231.8,-84.72165107066172
69,Odell Beckham Jr.,WR,29,2021,144.85845644703159,129.1,15.758456447031591
37,Van Jefferson,WR,25,2021,144.62987154794087,168.2,-23.570128452059123
71,Kalif Raymond,WR,27,2021,143.25809203993958,132.4,10.858092039939578
17,Tee Higgins,WR,22,2021,140.81504047943963,219.1,-78.28495952056036
36,Van Jefferson,WR,25,2021,140.12613449101536,168.2,-28.073865508984625
150,T.Y. Hilton,WR,32,2021,140.02173264306543,74.1,65.92173264306544
13,Hunter Renfrow,WR,26,2021,139.6493258685657,259.1,-119.45067413143431
23,Darnell Mooney,WR,24,2021,138.64126336836625,219.7,-81.05873663163374
27,Marquise Brown,WR,24,2021,138.51257886016083,226.3,-87.78742113983918
192,Chris Moore,WR,28,2021,138.4715596244739,55.7,82.77155962447391
19,Chris Godwin,WR,25,2021,137.56320499980666,242.4,-104.83679500019335
28,Amari Cooper,WR,27,2021,135.79720208210665,202.5,-66.70279791789335
56,Cedrick Wilson Jr.,WR,26,2021,134.64305511929206,147.8,-13.156944880707954
240,Breshad Perriman,WR,28,2021,134.30422629876102,33.4,100.90422629876102
127,Allen Robinson,WR,28,2021,133.15713340262937,87.0,46.15713340262937
149,T.Y. Hilton,WR,32,2021,133.00574197871015,74.1,58.905741978710154
72,Kalif Raymond,WR,27,2021,132.92348026673494,132.4,0.5234802667349356
136,DeSean Jackson,WR,35,2021,131.9533122447765,75.8,56.1533122447765
41,K.J. Osborn,WR,24,2021,131.76350969904092,158.5,-26.736490300959076
14,CeeDee Lamb,WR,22,2021,130.79396706539296,232.8,-102.00603293460705
11,Diontae Johnson,WR,25,2021,130.69834173997128,274.4,-143.7016582600287
95,Corey Davis,WR,26,2021,130.138921142149,105.2,24.938921142149
74,Jarvis Landry,WR,29,2021,129.0916171406484,133.0,-3.9083828593516046
60,Elijah Moore,WR,21,2021,128.97463668145792,138.2,-9.225363318542065
12,Hunter Renfrow,WR,26,2021,128.8814130542487,259.1,-130.21858694575133
191,Chris Moore,WR,28,2021,128.78539081023155,55.7,73.08539081023154
25,Terry McLaurin,WR,26,2021,128.35055762265574,213.5,-85.14944237734426
29,Adam Thielen,WR,31,2021,126.75646614198376,199.8,-73.04353385801625
126,Allen Robinson,WR,28,2021,126.33241524206733,87.0,39.33241524206733
40,K.J. Osborn,WR,24,2021,126.30977083911466,158.5,-32.19022916088534
21,Jaylen Waddle,WR,23,2021,125.81149985468846,245.8,-119.98850014531155
239,Breshad Perriman,WR,28,2021,125.48725638027645,33.4,92.08725638027644
76,Jarvis Landry,WR,29,2021,124.88143848654022,133.0,-8.118561513459781
75,Jarvis Landry,WR,29,2021,124.63856830842292,133.0,-8.361431691577081
61,Courtland Sutton,WR,26,2021,124.27415434136992,150.2,-25.925845658630067
99,Randall Cobb,WR,31,2021,123.37097311892421,93.6,29.770973118924218
62,Courtland Sutton,WR,26,2021,123.06642867866162,150.2,-27.133571321338366
82,Deonte Harris,WR,24,2021,122.17500367310754,113.1,9.075003673107545
119,Freddie Swain,WR,23,2021,121.59608497849081,86.5,35.09608497849081
128,Allen Robinson,WR,28,2021,121.31180377280634,87.0,34.31180377280634
238,Breshad Perriman,WR,28,2021,121.26276835638646,33.4,87.86276835638645
16,Michael Pittman Jr.,WR,24,2021,121.13263463783755,238.6,-117.46736536216244
30,Christian Kirk,WR,25,2021,121.12414870713928,207.6,-86.47585129286071
117,Freddie Swain,WR,23,2021,120.53970746885898,86.5,34.03970746885898
120,Freddie Swain,WR,23,2021,120.53970746885898,86.5,34.03970746885898
46,Marvin Jones,WR,31,2021,120.38673896800924,180.2,-59.81326103199075
311,Shi Smith,WR,23,2021,119.16187613163402,16.1,103.06187613163402
100,Jalen Guyton,WR,24,2021,118.95242160201974,97.2,21.752421602019737
59,Elijah Moore,WR,21,2021,118.89666566788924,138.2,-19.30333433211075
64,Robert Woods,WR,29,2021,117.78404943296778,137.2,-19.415950567032212
309,Shi Smith,WR,23,2021,117.07587211418695,16.1,100.97587211418696
162,Mack Hollins,WR,28,2021,116.22672724826293,60.3,55.926727248262935
310,Shi Smith,WR,23,2021,115.83603921923873,16.1,99.73603921923873
121,Freddie Swain,WR,23,2021,114.10770095724774,86.5,27.607700957247744
73,Mecole Hardman,WR,23,2021,112.80471084885744,140.9,-28.095289151142566
118,Freddie Swain,WR,23,2021,112.28062757812245,86.5,25.78062757812245
105,DeVante Parker,WR,28,2021,112.21771033811115,103.5,8.717710338111146
159,Mack Hollins,WR,28,2021,112.0413274578359,60.3,51.74132745783591
63,Robert Woods,WR,29,2021,110.69764385827284,137.2,-26.502356141727148
26,Marquise Brown,WR,24,2021,110.29069166028262,226.3,-116.00930833971739
144,Keelan Cole,WR,28,2021,110.01801087971853,78.9,31.118010879718526
