,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
6,Tyreek Hill,WR,27,2021,242.61838733028026,296.5,-53.88161266971974
9,D.K. Metcalf,WR,24,2021,238.9348374424444,244.3,-5.365162557555607
4,Davante Adams,WR,29,2021,212.44365673001926,344.3,-131.85634326998075
48,DeAndre Hopkins,WR,29,2021,205.11015735278284,147.2,57.910157352782846
7,Stefon Diggs,WR,28,2021,198.94549021299076,285.5,-86.55450978700924
38,Tyler Boyd,WR,27,2021,193.35633381991852,183.8,9.556333819918507
10,Tyler Lockett,WR,29,2021,186.74215717577044,241.4,-54.65784282422956
1,Deebo Samuel,WR,25,2021,183.2319795747194,339.0,-155.7680204252806
91,Rondale Moore,WR,21,2021,180.19042254741953,109.1,71.09042254741954
8,Mike Williams,WR,27,2021,178.48181090177536,246.6,-68.11818909822463
35,A.J. Brown,WR,24,2021,172.99066177139093,180.9,-7.909338228609073
152,Julio Jones,WR,32,2021,168.86360389072183,80.4,88.46360389072183
92,Rondale Moore,WR,21,2021,168.54840469121814,109.1,59.448404691218144
94,Quez Watkins,WR,23,2021,167.96868432671317,116.0,51.96868432671317
42,Chase Claypool,WR,23,2021,166.75854241207276,166.6,0.15854241207276232
18,D.J. Moore,WR,24,2021,166.6701019669165,237.5,-70.82989803308351
0,Cooper Kupp,WR,28,2021,165.71742423380806,439.5,-273.78257576619194
3,Justin Jefferson,WR,22,2021,165.3956959824327,330.4,-165.00430401756728
77,Antonio Brown,WR,33,2021,165.11581211618045,121.1,44.015812116180456
31,Kendrick Bourne,WR,26,2021,164.82106692265893,180.5,-15.678933077341071
153,Julio Jones,WR,32,2021,161.93006819663492,80.4,81.53006819663491
124,Marquez Valdes-Scantling,WR,27,2021,161.61407981801835,87.0,74.61407981801835
68,Robby Anderson,WR,28,2021,160.73224453680496,138.5,22.232244536804956
5,Mike Evans,WR,28,2021,160.46420815953275,262.5,-102.03579184046725
20,Chris Godwin,WR,25,2021,158.7218739746295,242.4,-83.67812602537052
32,Kendrick Bourne,WR,26,2021,158.5998828580814,180.5,-21.9001171419186
43,Chase Claypool,WR,23,2021,158.3561753249653,166.6,-8.243824675034688
67,Robby Anderson,WR,28,2021,158.31610365445363,138.5,19.816103654453627
111,Laviska Shenault Jr.,WR,23,2021,156.7573183950019,127.0,29.757318395001903
93,Quez Watkins,WR,23,2021,155.02089804023672,116.0,39.020898040236716
15,Keenan Allen,WR,29,2021,154.33547653608116,257.8,-103.46452346391885
123,Marquez Valdes-Scantling,WR,27,2021,153.64686544308506,87.0,66.64686544308506
78,Antonio Brown,WR,33,2021,152.4269312295703,121.1,31.326931229570306
246,Albert Wilson,WR,29,2021,152.05893139960767,48.0,104.05893139960767
125,Marquez Valdes-Scantling,WR,27,2021,151.58391400213327,87.0,64.58391400213327
245,Albert Wilson,WR,29,2021,151.3349449012453,48.0,103.33494490124531
37,Van Jefferson,WR,25,2021,151.20862979570074,168.2,-16.991370204299244
