,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
2,Ja'Marr Chase,WR,21,2021,307.32017254135144,304.6,2.720172541351417
6,Tyreek Hill,WR,27,2021,269.50565073728785,296.5,-26.99434926271215
9,D.K. Metcalf,WR,24,2021,268.22048763460475,244.3,23.92048763460474
4,Davante Adams,WR,29,2021,265.86023918640524,344.3,-78.43976081359477
3,Justin Jefferson,WR,22,2021,264.07707850349783,330.4,-66.32292149650215
0,Cooper Kupp,WR,28,2021,252.16483921305394,439.5,-187.33516078694606
7,Stefon Diggs,WR,28,2021,247.65545118406158,285.5,-37.844548815938424
10,Tyler Lockett,WR,29,2021,245.20064132132384,241.4,3.8006413213238375
21,Jaylen Waddle,WR,23,2021,234.81781131192466,245.8,-10.982188688075354
18,D.J. Moore,WR,24,2021,231.90693663250693,237.5,-5.593063367493073
15,Keenan Allen,WR,29,2021,220.90864038690265,257.8,-36.891359613097364
5,Mike Evans,WR,28,2021,220.843819071968,262.5,-41.656180928032
38,Tyler Boyd,WR,27,2021,215.78731673072753,183.8,31.987316730727514
20,Chris Godwin,WR,25,2021,210.65509070918915,242.4,-31.744909290810853
35,A.J. Brown,WR,24,2021,207.56164854349657,180.9,26.661648543496568
1,Deebo Samuel,WR,25,2021,203.90432799803517,339.0,-135.09567200196483
48,DeAndre Hopkins,WR,29,2021,203.45119115716804,147.2,56.25119115716805
19,Chris Godwin,WR,25,2021,202.95610414788624,242.4,-39.44389585211377
14,CeeDee Lamb,WR,22,2021,202.5418167175789,232.8,-30.2581832824211
8,Mike Williams,WR,27,2021,202.28785774652354,246.6,-44.31214225347645
17,Tee Higgins,WR,22,2021,198.62990340543627,219.1,-20.470096594563728
42,Chase Claypool,WR,23,2021,193.1710493302425,166.6,26.571049330242516
28,Amari Cooper,WR,27,2021,192.4847410534055,202.5,-10.015258946594514
11,Diontae Johnson,WR,25,2021,186.38114883949507,274.4,-88.01885116050491
25,Terry McLaurin,WR,26,2021,185.2070018282578,213.5,-28.292998171742198
24,Amon-Ra St. Brown,WR,22,2021,184.52910266061264,227.3,-42.770897339387375
43,Chase Claypool,WR,23,2021,182.22479036598085,166.6,15.624790365980857
23,Darnell Mooney,WR,24,2021,180.25935351892562,219.7,-39.44064648107437
91,Rondale Moore,WR,21,2021,172.97828700114096,109.1,63.87828700114096
27,Marquise Brown,WR,24,2021,172.91073544756014,226.3,-53.38926455243987
31,Kendrick Bourne,WR,26,2021,172.02341887158482,180.5,-8.476581128415177
68,Robby Anderson,WR,28,2021,171.78178735496206,138.5,33.28178735496206
41,K.J. Osborn,WR,24,2021,171.16557495928183,158.5,12.665574959281827
40,K.J. Osborn,WR,24,2021,171.0012932042922,158.5,12.50129320429221
67,Robby Anderson,WR,28,2021,169.2358194502369,138.5,30.735819450236903
22,Brandin Cooks,WR,28,2021,167.94706543973356,231.8,-63.85293456026645
46,Marvin Jones,WR,31,2021,164.65522127586246,180.2,-15.54477872413753
92,Rondale Moore,WR,21,2021,164.26721230238803,109.1,55.16721230238804
32,Kendrick Bourne,WR,26,2021,164.07379766542775,180.5,-16.426202334572253
13,Hunter Renfrow,WR,26,2021,163.9819283399377,259.1,-95.11807166006233
111,Laviska Shenault Jr.,WR,23,2021,163.56032305423975,127.0,36.560323054239745
30,Christian Kirk,WR,25,2021,163.46334211710987,207.6,-44.13665788289012
33,DeVonta Smith,WR,23,2021,159.43894845011187,185.6,-26.16105154988813
45,Marvin Jones,WR,31,2021,158.88888194255716,180.2,-21.311118057442826
12,Hunter Renfrow,WR,26,2021,158.59840610948802,259.1,-100.501593890512
26,Marquise Brown,WR,24,2021,157.9478114319243,226.3,-68.35218856807572
34,DeVonta Smith,WR,23,2021,157.85363589658974,185.6,-27.746364103410258
39,Brandon Aiyuk,WR,23,2021,156.1429562551406,170.3,-14.157043744859408
60,Elijah Moore,WR,21,2021,154.58091277916083,138.2,16.380912779160838
44,Marvin Jones,WR,31,2021,154.35609106848932,180.2,-25.84390893151067
59,Elijah Moore,WR,21,2021,151.55022914409855,138.2,13.350229144098563
16,Michael Pittman Jr.,WR,24,2021,150.05769865294448,238.6,-88.54230134705551
127,Allen Robinson,WR,28,2021,147.2430364340024,87.0,60.24303643400239
124,Marquez Valdes-Scantling,WR,27,2021,146.2170320288901,87.0,59.21703202889009
74,Jarvis Landry,WR,29,2021,144.60667134572267,133.0,11.606671345722674
75,Jarvis Landry,WR,29,2021,144.2526789022337,133.0,11.252678902233697
126,Allen Robinson,WR,28,2021,144.16508436726875,87.0,57.16508436726875
76,Jarvis Landry,WR,29,2021,143.4869436754236,133.0,10.48694367542359
81,Cole Beasley,WR,32,2021,143.48219285603747,159.3,-15.81780714396254
64,Robert Woods,WR,29,2021,143.28885096311657,137.2,6.088850963116585
123,Marquez Valdes-Scantling,WR,27,2021,143.1390799621564,87.0,56.13907996215639
152,Julio Jones,WR,32,2021,139.29307670224748,80.4,58.89307670224747
29,Adam Thielen,WR,31,2021,139.13466072072043,199.8,-60.66533927927958
94,Quez Watkins,WR,23,2021,138.8053858997647,116.0,22.8053858997647
57,Russell Gage,WR,25,2021,138.79121912703266,163.0,-24.20878087296734
58,Russell Gage,WR,25,2021,138.79121912703266,163.0,-24.20878087296734
63,Robert Woods,WR,29,2021,138.35697069156592,137.2,1.156970691565931
73,Mecole Hardman,WR,23,2021,138.02585916670816,140.9,-2.8741408332918468
128,Allen Robinson,WR,28,2021,136.8262023662161,87.0,49.82620236621611
37,Van Jefferson,WR,25,2021,136.6538797448097,168.2,-31.54612025519029
36,Van Jefferson,WR,25,2021,136.12971119139664,168.2,-32.07028880860335
125,Marquez Valdes-Scantling,WR,27,2021,135.80019796110392,87.0,48.80019796110392
93,Quez Watkins,WR,23,2021,134.83972142531402,116.0,18.839721425314025
101,DeVante Parker,WR,28,2021,132.30259657453527,103.5,28.802596574535272
65,Gabriel Davis,WR,22,2021,131.88773963424114,125.9,5.987739634241137
153,Julio Jones,WR,32,2021,131.5170384782018,80.4,51.117038478201806
105,DeVante Parker,WR,28,2021,131.0123277095832,103.5,27.51232770958319
69,Odell Beckham Jr.,WR,29,2021,130.9733901714873,129.1,1.8733901714873014
95,Corey Davis,WR,26,2021,130.70664271810406,105.2,25.50664271810406
66,Emmanuel Sanders,WR,34,2021,127.76089296658667,131.7,-3.939107033413322
102,DeVante Parker,WR,28,2021,127.012417092365,103.5,23.512417092365
103,DeVante Parker,WR,28,2021,126.06516670311413,103.5,22.56516670311413
134,Michael Gallup,WR,25,2021,125.69711489748941,91.5,34.19711489748941
100,Jalen Guyton,WR,24,2021,125.41179468277664,97.2,28.21179468277664
104,DeVante Parker,WR,28,2021,124.38899726259758,103.5,20.888997262597584
133,Michael Gallup,WR,25,2021,122.92252800346158,91.5,31.42252800346158
88,Jamison Crowder,WR,28,2021,122.87518424784373,109.7,13.175184247843731
99,Randall Cobb,WR,31,2021,120.53581153681388,93.6,26.935811536813887
86,Jamison Crowder,WR,28,2021,119.89630423283768,109.7,10.196304232837676
150,T.Y. Hilton,WR,32,2021,118.60939026837902,74.1,44.50939026837902
49,A.J. Green,WR,33,2021,113.33317642855731,156.8,-43.4668235714427
135,Zach Pascal,WR,27,2021,113.21825632172113,94.5,18.718256321721128
87,Jamison Crowder,WR,28,2021,112.51677379898314,109.7,2.816773798983135
71,Kalif Raymond,WR,27,2021,112.22418923204738,132.4,-20.175810767952626
61,Courtland Sutton,WR,26,2021,111.89810612910848,150.2,-38.301893870891504
149,T.Y. Hilton,WR,32,2021,111.60446024641622,74.1,37.50446024641623
246,Albert Wilson,WR,29,2021,110.97616549974327,48.0,62.976165499743274
245,Albert Wilson,WR,29,2021,110.33210240161367,48.0,62.33210240161367
50,Allen Lazard,WR,26,2021,109.83331480770637,142.5,-32.66668519229363
56,Cedrick Wilson Jr.,WR,26,2021,109.73905630342314,147.8,-38.06094369657687
62,Courtland Sutton,WR,26,2021,108.0944277490775,150.2,-42.10557225092249
244,Albert Wilson,WR,29,2021,108.05764119658637,48.0,60.057641196586374
122,Henry Ruggs III,WR,22,2021,107.69314432081893,84.5,23.19314432081893
240,Breshad Perriman,WR,28,2021,106.32351059616212,33.4,72.92351059616212
98,Nelson Agholor,WR,28,2021,105.95928133850133,103.4,2.5592813385013216
120,Freddie Swain,WR,23,2021,105.8207912414132,86.5,19.320791241413204
117,Freddie Swain,WR,23,2021,105.8207912414132,86.5,19.320791241413204
