,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
2,Ja'Marr Chase,WR,21,2021,282.1569512200058,304.6,-22.44304877999423
6,Tyreek Hill,WR,27,2021,258.6077456538287,296.5,-37.892254346171285
4,Davante Adams,WR,29,2021,255.8647038024087,344.3,-88.4352961975913
9,D.K. Metcalf,WR,24,2021,251.96684577622682,244.3,7.666845776226808
3,Justin Jefferson,WR,22,2021,249.16731077952772,330.4,-81.23268922047225
7,Stefon Diggs,WR,28,2021,238.4720503884373,285.5,-47.02794961156269
0,Cooper Kupp,WR,28,2021,236.82858642235942,439.5,-202.67141357764058
21,Jaylen Waddle,WR,23,2021,231.64219938431415,245.8,-14.157800615685858
10,Tyler Lockett,WR,29,2021,229.66413837833534,241.4,-11.735861621664668
18,D.J. Moore,WR,24,2021,219.4264612512943,237.5,-18.073538748705687
20,Chris Godwin,WR,25,2021,217.77445990104206,242.4,-24.62554009895794
15,Keenan Allen,WR,29,2021,217.05205144202273,257.8,-40.74794855797728
5,Mike Evans,WR,28,2021,216.07407945231398,262.5,-46.42592054768602
38,Tyler Boyd,WR,27,2021,210.3582944738016,183.8,26.558294473801595
48,DeAndre Hopkins,WR,29,2021,203.21540067303476,147.2,56.015400673034776
35,A.J. Brown,WR,24,2021,200.9005965469512,180.9,20.000596546951186
14,CeeDee Lamb,WR,22,2021,194.46011099579323,232.8,-38.33988900420678
8,Mike Williams,WR,27,2021,192.62057199240053,246.6,-53.979428007599466
19,Chris Godwin,WR,25,2021,191.77308638205022,242.4,-50.62691361794978
17,Tee Higgins,WR,22,2021,191.74691914024834,219.1,-27.353080859751657
1,Deebo Samuel,WR,25,2021,189.24215839804856,339.0,-149.75784160195144
42,Chase Claypool,WR,23,2021,186.3544043556176,166.6,19.754404355617595
28,Amari Cooper,WR,27,2021,186.07805688449207,202.5,-16.42194311550793
43,Chase Claypool,WR,23,2021,184.2567490902552,166.6,17.656749090255204
11,Diontae Johnson,WR,25,2021,180.05217894793168,274.4,-94.3478210520683
27,Marquise Brown,WR,24,2021,178.46015518524518,226.3,-47.83984481475483
24,Amon-Ra St. Brown,WR,22,2021,177.4003758174049,227.3,-49.89962418259512
25,Terry McLaurin,WR,26,2021,175.5025175846863,213.5,-37.9974824153137
46,Marvin Jones,WR,31,2021,173.13659399496328,180.2,-7.063406005036711
41,K.J. Osborn,WR,24,2021,171.47749541755252,158.5,12.977495417552518
23,Darnell Mooney,WR,24,2021,170.58908091445915,219.7,-49.11091908554084
91,Rondale Moore,WR,21,2021,169.6669102309611,109.1,60.5669102309611
68,Robby Anderson,WR,28,2021,169.6347795165475,138.5,31.134779516547496
67,Robby Anderson,WR,28,2021,168.65193858415614,138.5,30.15193858415614
31,Kendrick Bourne,WR,26,2021,166.51993803600953,180.5,-13.980061963990465
13,Hunter Renfrow,WR,26,2021,166.10380108006416,259.1,-92.99619891993586
40,K.J. Osborn,WR,24,2021,165.7001274693498,158.5,7.200127469349809
32,Kendrick Bourne,WR,26,2021,163.79104460266262,180.5,-16.708955397337377
30,Christian Kirk,WR,25,2021,162.39005015671023,207.6,-45.20994984328976
111,Laviska Shenault Jr.,WR,23,2021,162.31958837278353,127.0,35.31958837278353
60,Elijah Moore,WR,21,2021,162.10292128336846,138.2,23.90292128336847
33,DeVonta Smith,WR,23,2021,161.56934397950477,185.6,-24.03065602049523
92,Rondale Moore,WR,21,2021,159.0396551058061,109.1,49.93965510580611
22,Brandin Cooks,WR,28,2021,159.006635607127,231.8,-72.793364392873
34,DeVonta Smith,WR,23,2021,157.68013504330133,185.6,-27.91986495669866
12,Hunter Renfrow,WR,26,2021,154.67374747271197,259.1,-104.42625252728806
44,Marvin Jones,WR,31,2021,154.59916293547144,180.2,-25.600837064528548
45,Marvin Jones,WR,31,2021,153.63495710818438,180.2,-26.565042891815608
26,Marquise Brown,WR,24,2021,152.84963645690868,226.3,-73.45036354309133
