Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
1,Joe Burrow,CIN,25,QB,16,16,366,520,4611,8,12,2,23,4.50%,54,10.70%,419,82.80%
2,Jimmy Garoppolo,SFO,30,QB,15,15,301,441,3810,5,11,3,23,5.40%,55,12.90%,348,81.50%
3,Justin Herbert,LAC,23,QB,17,17,443,672,5014,17,14,1,38,5.80%,96,14.60%,527,80.20%
4,Tua Tagovailoa,MIA,23,QB,13,12,263,388,2653,1,6,1,17,4.50%,62,16.30%,305,80.10%
5,Jared Goff,DET,27,QB,14,14,332,494,3245,5,21,5,21,4.50%,77,16.50%,375,80.10%
6,Kyler Murray,ARI,24,QB,14,14,333,481,3787,10,19,0,16,3.50%,65,14.10%,367,79.40%
7,Ryan Tannehill,TEN,33,QB,17,17,357,531,3734,10,9,1,23,4.40%,83,15.90%,411,78.90%
8,Jalen Hurts,PHI,23,QB,15,15,265,432,3144,11,22,2,22,5.40%,57,14.00%,319,78.20%
9,Matt Ryan,ATL,36,QB,17,17,375,560,3968,9,15,1,21,3.90%,79,14.50%,425,78.10%
10,Teddy Bridgewater,DEN,29,QB,14,14,285,426,3052,9,20,0,13,3.20%,68,16.70%,316,77.80%
11,Patrick Mahomes,KAN,26,QB,17,17,436,658,4839,7,32,0,31,5.00%,118,18.80%,485,77.50%
12,Derek Carr,LVR,30,QB,17,17,428,626,4804,10,21,3,26,4.30%,94,15.60%,466,77.40%
13,Dak Prescott,DAL,28,QB,16,16,410,596,4449,10,11,0,28,4.80%,86,14.70%,452,77.30%
14,Aaron Rodgers,GNB,38,QB,16,16,366,531,4115,8,18,3,13,2.50%,93,18.20%,394,77.30%
15,Kirk Cousins,MIN,33,QB,16,16,372,561,4221,4,13,5,22,4.10%,93,17.10%,418,77.00%
16,Matthew Stafford,LAR,33,QB,17,17,404,601,4886,9,3,0,31,5.20%,111,18.60%,458,76.60%
17,Russell Wilson,SEA,33,QB,14,14,259,400,3113,3,13,0,16,4.10%,72,18.60%,296,76.50%
18,Daniel Jones,NYG,24,QB,11,11,232,361,2428,5,12,1,19,5.50%,64,18.40%,265,76.10%
19,Mac Jones,NWE,23,QB,17,17,352,521,3801,9,12,1,16,3.10%,90,17.70%,386,76.00%
20,Davis Mills,HOU,23,QB,13,11,263,394,2664,11,13,2,12,3.20%,66,17.40%,287,75.70%
21,Taylor Heinicke,WAS,28,QB,16,15,321,494,3419,9,8,3,18,3.70%,80,16.60%,365,75.60%
22,Ben Roethlisberger,PIT,39,QB,16,16,390,605,3740,13,6,2,30,5.00%,110,18.40%,451,75.50%
23,Tom Brady,TAM,44,QB,17,17,485,719,5316,8,13,2,32,4.50%,127,18.00%,531,75.40%
24,Josh Allen,BUF,25,QB,17,17,409,646,4407,16,32,0,35,5.70%,107,17.40%,459,74.80%
25,Sam Darnold,CAR,24,QB,12,11,243,406,2527,6,22,0,27,7.00%,71,18.50%,286,74.50%
26,Carson Wentz,IND,29,QB,17,17,322,516,3563,8,17,0,25,5.00%,94,18.80%,368,73.70%
27,Baker Mayfield,CLE,26,QB,14,14,253,418,3010,11,14,2,20,5.00%,84,20.90%,296,73.60%
28,Lamar Jackson,BAL,24,QB,12,12,246,382,2882,9,7,4,18,4.90%,73,19.70%,272,73.30%
29,Justin Fields,CHI,22,QB,12,10,159,270,1870,3,8,2,18,6.90%,57,21.90%,189,72.70%
30,Jacoby Brissett,MIA,29,QB,11,5,141,225,1283,1,6,1,17,7.80%,36,16.50%,158,72.50%
31,Andy Dalton,CHI,34,QB,8,6,149,236,1515,7,8,1,9,4.00%,39,17.20%,162,71.40%
32,Trevor Lawrence,JAX,22,QB,17,17,359,602,3641,8,18,3,33,5.70%,119,20.50%,414,71.30%
33,Zach Wilson,NYJ,22,QB,13,13,213,383,2334,5,16,1,25,6.80%,87,23.80%,256,69.90%
