Rk,Player,qb_score,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,CAY/PA_scaled,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,OnTgt%_scaled,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Yds/Scr_scaled,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards,-9999
48,Malik Willis,1.63252874,25,GNB,QB,7,2,40,54,414,7.7,276,6.9,5.1,1.93506396,274,6.9,1,1,0,3,5.7,7,13.2,43,81.1,1.352998839,2.3,16,2,2,12,17.4,7,11.3,1.889053324,14,73,9,47,4,26,19,188,,WillMa12
4,Geno Smith,1.161061112,34,SEA,QB,17,17,407,578,3942,6.8,2139,5.3,3.7,0.048511353,2181,5.4,14,20,2,20,3.6,58,10.4,455,81.8,1.507956166,2.4,138,36,57,143,21.9,24,10.7,1.579820764,64,339,58,331,2,8,82,510,,SmitGe00
13,Justin Herbert,1.040562927,26,LAC,QB,17,17,332,504,4326,8.6,2182,6.6,4.3,0.857033899,1688,5.1,10,14,3,32,6.6,67,13.8,388,79.7,1.043084183,2.5,156,20,62,123,21.4,31,10,1.219049444,51,535,42,489,4,46,143,1431,AP MVP-9AP CPoY-12,HerbJu00
1,Joe Burrow,0.983091941,28,CIN,QB,17,17,460,652,4603,7.1,2726,5.9,4.2,0.722280141,2192,4.8,10,20,1,30,4.8,73,11.6,507,80.3,1.17590475,2.2,164,38,69,155,21.5,22,9.3,0.858278125,97,838,89,819,3,19,68,471,PBAP MVP-4AP OPoY-5AP CPoY-1,BurrJo01
22,Jalen Hurts,0.863156065,26,PHI,QB,15,15,248,361,2812,7.8,1528,6.2,4.2,0.722280141,1375,5.5,8,25,1,6,1.8,45,13.4,265,79.1,0.910263617,2.7,126,29,23,90,20.5,39,9.4,0.909816885,98,829,64,628,32,201,71,631,,HurtJa00
16,Lamar Jackson,0.834720661,27,BAL,QB,17,17,316,474,4056,8.6,2087,6.6,4.4,0.991787656,2085,6.6,12,13,5,28,6.1,69,15.1,359,78.7,0.821716572,2.5,162,53,31,107,19.7,45,9,0.703661845,95,724,59,566,32,158,104,1014,PBAP-1AP MVP-2AP OPoY-2,JackLa00
17,Brock Purdy,0.686494537,25,SFO,QB,15,15,300,455,3809,8.4,2220,7.4,4.9,1.665556445,1644,5.5,10,10,5,19,4.3,62,14.1,345,78.4,0.755306289,2.5,142,32,38,101,19.1,44,6.8,-0.430190874,38,374,32,351,2,23,86,896,,PurdBr00
8,Sam Darnold,0.683370584,27,MIN,QB,17,17,361,545,4561,8.4,2566,7.1,4.7,1.396048929,1753,4.9,10,29,1,19,3.7,77,15,400,77.7,0.600348961,2.6,137,52,52,152,24.5,28,7.9,0.136735486,28,218,25,185,3,33,149,1474,PBAP MVP-10AP CPoY-3,DarnSa00
12,Matthew Stafford,0.65600325,36,LAR,QB,16,16,340,517,3696,7.1,2036,6,3.9,0.318018868,1726,5.1,15,15,1,15,3,88,17.6,372,74.3,-0.152300916,2.4,144,31,63,122,22.3,3,12.7,2.610595963,19,154,19,154,0,0,151,1397,,StafMa00
44,Tyler Huntley,0.591494098,26,MIA,QB,5,5,86,133,1037,7.8,477,5.5,3.6,-0.086242405,352,4.1,3,7,1,8,6.4,20,16,101,80.8,1.286588555,2.2,19,9,17,41,25.3,14,7.4,-0.120958314,23,117,17,100,3,17,38,305,,HuntTy01
