,PLAYER,GP,TGT,REC,YDS,YDS/G,AVG,TD,FL,FPTS,FPPG
0,Travis Kelce,17,131,102,1162,68.4,11.4,8,1,266.9,15.7
1,Sam LaPorta,17,115,84,845,49.7,10.1,10,0,230.6,13.6
2,Mark Andrews,17,97,69,904,53.2,13.1,11,0,228.4,13.4
3,Evan Engram,17,118,92,816,48.0,8.9,5,1,204.9,12.1
4,Trey McBride,17,109,83,902,53.1,10.9,5,0,203.1,11.9
5,Dalton Kincaid,17,107,85,833,49.0,9.8,6,1,202.3,11.9
6,George Kittle,17,85,61,916,53.9,15.0,7,0,196.4,11.6
7,David Njoku,17,110,73,853,50.2,11.7,7,2,196.0,11.5
8,Jake Ferguson,17,99,71,765,45.0,10.8,7,0,189.5,11.1
9,Kyle Pitts,17,109,64,879,51.7,13.7,5,0,180.7,10.6
10,Dallas Goedert,17,91,66,744,43.8,11.3,6,0,178.4,10.5
11,Cole Kmet,17,81,62,634,37.3,10.2,6,0,164.2,9.7
12,T.J. Hockenson,17,94,69,727,42.8,10.5,4,1,162.4,9.6
13,Brock Bowers,17,89,61,712,41.9,11.7,5,2,156.7,9.2
14,Dalton Schultz,17,86,58,656,38.6,11.3,6,1,156.6,9.2
15,Pat Freiermuth,17,80,55,618,36.4,11.2,6,0,152.2,9.0
16,Luke Musgrave,17,77,58,604,35.5,10.4,4,0,141.5,8.3
17,Isaiah Likely,17,55,39,551,32.4,14.1,8,0,141.4,8.3
18,Tyler Conklin,17,84,59,610,35.9,10.3,3,0,136.5,8.0
19,Hunter Henry,17,66,44,472,27.8,10.7,7,0,131.9,7.8
20,Chigoziem Okonkwo,17,77,54,564,33.2,10.4,3,0,131.4,7.7
21,Juwan Johnson,17,67,43,434,25.5,10.1,6,0,121.5,7.1
22,Jonnu Smith,17,63,45,525,30.9,11.7,4,1,121.3,7.1
23,Tyler Higbee,17,76,51,514,30.2,10.1,3,0,120.0,7.1
24,Cade Otton,17,70,48,498,29.3,10.4,4,1,119.3,7.0
25,Ben Sinnott,17,69,47,509,29.9,10.8,4,1,118.3,7.0
26,Gerald Everett,17,64,47,423,24.9,9.0,4,0,115.1,6.8
27,Mike Gesicki,17,64,42,421,24.8,10.0,5,0,112.8,6.6
28,Michael Mayer,17,56,38,439,25.8,11.6,3,0,98.5,5.8
29,Brevin Jordan,17,35,26,401,23.6,15.4,5,0,95.1,5.6
30,Dawson Knox,17,47,31,315,18.5,10.2,5,0,94.9,5.6
31,Greg Dulcich,17,55,35,472,27.8,13.5,2,0,92.9,5.5
32,Hayden Hurst,17,57,37,388,22.8,10.5,3,0,92.4,5.4
33,Durham Smythe,17,46,38,386,22.7,10.2,2,0,90.7,5.3
34,Noah Fant,17,48,36,412,24.2,11.4,2,0,88.8,5.2
35,Tucker Kraft,17,46,34,370,21.8,10.9,3,0,87.7,5.2
36,Donald Parham,17,41,28,294,17.3,10.5,5,0,86.9,5.1
37,Theo Johnson,17,58,39,371,21.8,9.5,2,1,84.7,5.0
38,Elijah Higgins,17,43,31,373,21.9,12.0,2,0,82.0,4.8
39,Ja'Tavion Sanders,17,57,38,354,20.8,9.3,2,1,82.0,4.8
40,Tommy Tremble,17,38,26,225,13.2,8.7,5,0,81.4,4.8
41,Kylen Granson,17,45,28,360,21.2,12.9,2,0,79.0,4.6
42,Zach Ertz,17,47,30,271,15.9,9.0,3,0,76.8,4.5
43,Noah Gray,17,40,28,297,17.5,10.6,2,0,72.2,4.2
44,Brock Wright,17,31,26,251,14.8,9.7,3,0,67.8,4.0
45,Logan Thomas,17,32,22,260,15.3,11.8,3,1,66.8,3.9
46,Daniel Bellinger,17,34,30,315,18.5,10.5,1,0,66.6,3.9
47,Mo Alie-Cox,17,28,16,206,12.1,12.9,5,0,66.4,3.9
48,Adam Trautman,17,38,25,233,13.7,9.3,3,0,65.1,3.8
49,Johnny Mundt,17,35,27,259,15.2,9.6,2,0,64.5,3.8
50,Josh Oliver,17,36,27,256,15.1,9.5,2,1,62.5,3.7
51,Connor Heyward,17,35,24,204,12.0,8.5,1,0,53.7,3.2
52,Jelani Woods,17,26,16,250,14.7,15.6,2,0,51.8,3.0
53,Ian Thomas,17,34,21,210,12.4,10.0,1,0,47.4,2.8
54,Colby Parkinson,17,22,16,179,10.5,11.2,2,0,45.0,2.6
55,Teagan Quitoriano,17,16,11,179,10.5,16.3,2,0,40.0,2.4
56,Austin Hooper,17,24,17,157,9.2,9.2,1,0,38.3,2.3
57,Will Dissly,17,19,16,158,9.3,9.9,1,0,37.3,2.2
58,Stephen Sullivan,17,31,16,166,9.8,10.4,1,0,37.3,2.2
59,John Bates,17,24,16,145,8.5,9.1,1,0,35.7,2.1
60,Quintin Morris,17,15,11,119,7.0,10.8,2,0,35.1,2.1
61,Armani Rogers,17,14,10,119,7.0,11.9,1,0,33.5,2.0
62,Stone Smartt,17,21,12,158,9.3,13.2,1,0,33.3,2.0
63,Brenton Strange,17,13,12,101,5.9,8.4,2,0,33.2,2.0
64,Brycen Hopkins,17,15,11,159,9.4,14.5,1,0,32.3,1.9
65,Ben Sims,17,11,11,93,5.5,8.5,2,0,32.2,1.9
66,Payne Durham,17,17,12,136,8.0,11.3,1,0,31.7,1.9
67,MyCole Pruitt,17,12,9,102,6.0,11.3,2,0,31.6,1.9
68,Andrew Ogletree,17,20,10,161,9.5,16.1,1,0,31.3,1.8
69,Tanner McLachlan,17,16,13,124,7.3,9.5,1,0,31.1,1.8
70,Erick All,17,16,13,124,7.3,9.5,1,0,31.1,1.8
71,Jared Wiley,17,17,13,129,7.6,9.9,1,0,31.1,1.8
72,Peyton Hendershot,17,19,11,113,6.6,10.3,1,0,30.9,1.8
73,Jordan Akins,17,16,11,107,6.3,9.7,1,0,30.9,1.8
74,Pharaoh Brown,17,14,11,152,8.9,13.8,1,0,30.7,1.8
75,Trey Knox,17,16,12,125,7.4,10.4,1,0,30.1,1.8
76,Robert Tonyan,17,17,12,120,7.1,10.0,1,0,30.1,1.8
77,James Mitchell,17,16,12,124,7.3,10.3,1,0,30.1,1.8
78,Luke Farrell,17,14,12,129,7.6,10.8,1,0,30.1,1.8
79,Irv Smith,17,18,13,105,6.2,8.1,1,0,29.6,1.7
80,Tanner Hudson,17,16,13,114,6.7,8.8,1,0,29.6,1.7
81,Jimmy Graham,17,7,6,49,2.9,8.2,3,0,29.4,1.7
82,Cade Stover,17,14,11,120,7.1,10.9,1,0,29.1,1.7
83,Foster Moreau,17,15,11,122,7.2,11.1,1,0,29.1,1.7
84,Drew Sample,17,16,13,100,5.9,7.7,1,0,28.2,1.7
85,Cameron Latu,17,13,10,121,7.1,12.1,1,0,28.1,1.7
86,Cole Turner,17,15,10,119,7.0,11.9,1,0,28.1,1.7
87,Brayden Willis,17,13,10,121,7.1,12.1,1,0,28.1,1.7
88,AJ Barner,17,14,11,108,6.4,9.8,1,0,27.6,1.6
89,Tip Reiman,17,15,11,102,6.0,9.3,1,0,27.6,1.6
90,Dallin Holker,17,15,11,113,6.6,10.3,1,0,27.6,1.6
91,Grant Calcaterra,17,14,11,117,6.9,10.6,1,0,27.6,1.6
92,Jeremy Ruckert,17,15,11,114,6.7,10.4,1,0,27.6,1.6
93,Davis Allen,17,14,11,115,6.8,10.5,1,0,27.6,1.6
94,Travis Vokolek,17,15,11,102,6.0,9.3,1,0,27.6,1.6
95,Albert Okwuegbunam,17,15,11,107,6.3,9.7,1,0,27.6,1.6
96,Devin Culp,17,14,11,114,6.7,10.4,1,0,27.6,1.6
97,Josiah Deguara,17,13,12,95,5.6,7.9,1,0,27.2,1.6
98,C.J. Uzomah,17,10,7,74,4.4,10.6,2,0,26.9,1.6
99,Will Mallory,17,13,10,116,6.8,11.6,1,0,26.6,1.6
