"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","99.7","1,184.3","9.3","0.5","173.5"
"Mark Andrews","BAL","96.0","1,195.6","8.9","0.5","172.1"
"Kyle Pitts","ATL","73.2","996.7","4.7","0.5","126.7"
"Darren Waller","LV","77.4","931.5","5.1","0.5","122.6"
"George Kittle","SF","69.9","856.0","5.3","0.5","116.4"
"Dalton Schultz","DAL","77.4","804.8","6.1","0.4","116.2"
"Dallas Goedert","PHI","63.4","793.8","5.0","0.5","108.6"
"T.J. Hockenson","DET","67.6","692.2","5.3","0.4","100.1"
"Dawson Knox","BUF","50.7","611.1","6.4","0.1","99.0"
"Hunter Henry","NE","53.9","618.5","6.0","0.1","97.9"
"Zach Ertz","ARI","64.5","660.6","4.8","0.4","93.8"
"Mike Gesicki","MIA","60.2","656.7","4.0","0.4","88.9"
"Tyler Higbee","LAR","59.1","593.5","4.7","0.4","86.4"
"Pat Freiermuth","PIT","62.7","579.5","4.8","0.5","85.5"
"Cole Kmet","CHI","61.4","638.2","3.7","0.5","85.3"
"Noah Fant","SEA","59.4","639.5","3.7","0.4","85.3"
"David Njoku","CLE","52.8","591.2","4.3","0.4","84.1"
"Irv Smith Jr.","MIN","50.4","557.6","4.5","0.1","82.5"
"Gerald Everett","LAC","54.7","563.5","4.5","0.9","81.8"
"Robert Tonyan","GB","46.0","522.9","4.5","0.1","79.4"
"Albert Okwuegbunam","DEN","49.9","514.4","4.7","0.8","78.2"
"Logan Thomas","WAS","49.3","515.7","4.6","0.4","78.1"
"Evan Engram","JAC","53.6","550.4","3.6","0.4","75.8"
"Austin Hooper","TEN","50.9","498.0","4.1","0.4","73.3"
"Hayden Hurst","CIN","41.9","440.7","4.0","0.5","67.1"
"Mo Alie-Cox","IND","36.4","439.8","3.5","0.1","64.6"
"Brevin Jordan","HOU","41.7","422.8","2.9","0.1","59.6"
"Kyle Rudolph","TB","33.2","331.5","3.2","0.1","52.5"
"Isaiah Likely","BAL","31.9","351.9","2.9","0.2","52.2"
"C.J. Uzomah","NYJ","36.2","359.0","2.6","0.0","51.4"
"Cameron Brate","TB","34.3","317.4","3.1","0.1","50.2"
"Adam Trautman","NO","32.2","335.1","2.8","0.4","49.7"
"Jonnu Smith","NE","31.3","333.1","2.5","0.1","48.2"
"Andrew Beck","DEN","27.9","295.3","2.9","0.0","46.6"
"Tyler Conklin","NYJ","34.0","329.1","2.0","0.1","45.0"
"Harrison Bryant","CLE","29.0","305.1","2.5","0.4","44.4"
"Foster Moreau","LV","25.0","281.3","2.4","0.0","42.5"
"Dan Arnold","JAC","26.1","308.2","1.9","0.4","41.1"
"Tommy Tremble","CAR","27.2","278.7","2.2","0.1","40.6"
"Geoff Swaim","TEN","26.6","237.0","2.3","0.0","37.5"
