Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh Allen,BUF,573.4,368.2,"4,314.70",32.7,12.7,113.4,745.4,6.7,3.7,397.8
Patrick Mahomes II,KC,612.6,393.3,"4,936.80",34.7,12.8,62.2,400.4,3.4,2.7,378.3
Justin Herbert,LAC,578.1,378.1,"4,621.60",32.8,13.8,57.9,288.8,3.3,1.6,348
Lamar Jackson,BAL,478.5,310.2,"3,607.10",22.8,13.4,159.3,985.4,4.5,3.2,341.1
Kyler Murray,ARI,565.8,371,"4,258.10",27.2,13.4,96.6,543.4,4.3,2.9,340.1
Jalen Hurts,PHI,446.1,275.3,"3,636.90",23.7,13,132.6,751.2,7,3.3,337.6
Tom Brady,TB,637,424,"4,992.20",34.9,12.1,27.8,28.3,1.6,2.1,335.4
Dak Prescott,DAL,598.3,390.3,"4,641.90",32.5,12.9,52,227,2.6,3.1,334.8
Aaron Rodgers,GB,558.2,369.3,"4,512.70",34.8,8.8,35.7,119.6,1.8,1.9,329.8
Matthew Stafford,LAR,576.4,381.6,"4,642.80",32.7,13.4,34.9,131.9,1.9,2.6,322.1
Trey Lance,SF,459.4,298.1,"3,625.80",22.7,12.8,113,695.3,4.6,1.9,316.5
Joe Burrow,CIN,548,365.8,"4,438.90",30,14.1,50.1,200.8,2.4,2.2,313.6
Kirk Cousins,MIN,563.5,369.9,"4,350.70",30.4,11.5,28,104.3,1.2,2.8,296
Russell Wilson,DEN,542.7,342.2,"4,011.40",27.9,9.6,63.6,251.7,2.2,2.5,295.9
Derek Carr,LV,579,385.3,"4,481.00",28.9,13,32.1,116,1.2,2.9,294.9
Tua Tagovailoa,MIA,567.2,377.3,"3,997.80",25.4,13.4,53.9,236.4,2.9,3.2,283.1
Jameis Winston,NO,479,305.1,"3,673.90",24.4,13.6,68.3,372.2,2.5,2.7,277.8
Ryan Tannehill,TEN,512.3,336.2,"3,798.40",24,13.2,51.8,236.3,3.6,2.4,275.1
Justin Fields,CHI,514.5,324,"3,489.20",17.5,14.3,104,659.8,3.1,4,272.1
Trevor Lawrence,JAC,575.9,366,"3,833.30",21.2,14.8,63.6,361.6,2.6,2.5,270
Daniel Jones,NYG,527.2,334.6,"3,750.00",19.7,12.6,73,433.5,2.8,4.1,268.4
Matt Ryan,IND,534.2,348.3,"4,015.30",25,11.4,38,152.5,1.6,3,268.4
