Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jonathan Taylor,IND,310.7,"1,472.10",13.4,40,321.8,1.4,1.6,265
Christian McCaffrey,CAR,211.7,973.3,7.5,83.4,710.9,3.4,0.5,232.9
Derrick Henry,TEN,341.5,"1,407.00",10.9,26.3,209.6,1,1,231.2
Joe Mixon,CIN,270.9,"1,176.80",9.5,48.2,376.1,2.4,0.9,224.3
Austin Ekeler,LAC,205.2,888.5,7.8,64.4,617.3,3.7,0.7,217.9
Alvin Kamara,NO,208.6,987.1,7.2,55.3,505.9,3.4,0.3,212.2
Aaron Jones,GB,181.3,940.5,5.6,67.4,602.4,3.8,0.8,209.2
Leonard Fournette,TB,216.4,930.5,8.6,64.7,470.7,2.5,0.4,205.9
Dalvin Cook,MIN,256.5,"1,166.60",9.2,40.5,306.4,1,1.8,204.8
James Conner,ARI,223.5,904.1,9.5,45.4,374.2,2,0.8,194.9
Najee Harris,PIT,278.8,"1,129.40",6.5,51.6,343.8,1.5,0.4,194.7
Javonte Williams,DEN,224.5,964.1,7.3,50.1,398.7,2.2,1.1,191
Breece Hall,NYJ,240.3,"1,109.60",8,33.1,256.1,1.4,1.2,190.1
David Montgomery,CHI,220.2,944.4,7.8,44.1,361.3,2,0.7,188.3
Cam Akers,LAR,257.8,"1,042.10",7.5,33.8,284.6,1.5,2.4,181.8
Saquon Barkley,NYG,222.6,962.5,5.5,51.5,412.8,1.8,0.8,179.7
Ezekiel Elliott,DAL,207.6,928.2,7.3,41.8,317.2,2.2,1.7,177.7
Damien Harris,NE,190.3,969.2,10.3,21.2,163.2,0.7,1.2,176.6
Josh Jacobs,LV,210.9,967.1,8,39.8,276.3,1,1.4,176.1
Nick Chubb,CLE,242.8,"1,088.10",7,23.9,208.3,0.9,0.9,175.3
Elijah Mitchell,SF,246.3,"1,015.60",7,28.3,231.3,1.2,0.3,173.3
Miles Sanders,PHI,215,"1,115.10",6,28.3,215.2,1,1.4,172.4
Antonio Gibson,WAS,197.5,958.6,7.6,32.3,250.7,1.4,1.5,172.1
Rashaad Penny,SEA,172.9,"1,057.30",7.5,21.1,169.6,0.8,0.8,171.2
D'Andre Swift,DET,197.2,838,5.8,59.5,429.3,2,1.3,171.1
Travis Etienne Jr.,JAC,159.8,864.2,5.8,45.3,372,1.7,1.1,166.8
Devin Singletary,BUF,201.5,917.2,7.4,33.4,244.2,1.2,1,165.3
J.K. Dobbins,BAL,198.7,882,8,27,201.6,0.9,0.5,160.8
Dameon Pierce,HOU,203.6,864.8,5.6,31.3,254.2,1.2,1,150.5
Clyde Edwards-Helaire,KC,171.8,787,5.4,35.6,271.6,1.6,1,146.1
AJ Dillon,GB,177.3,793.2,6,28.1,239.9,1.2,0.8,144.6
Cordarrelle Patterson,ATL,129.2,649.1,4.3,45.7,396.8,2,0.3,141.8
Tony Pollard,DAL,158.1,683.1,3.9,40.1,356.1,1.7,0.4,136.4
Chase Edmonds,MIA,133.4,645.9,4,45.6,342.8,1.7,0.3,132.2
Melvin Gordon III,DEN,138.7,692.1,5.8,25.8,213.8,1.1,1.4,129.1
Rhamondre Stevenson,NE,155.5,636.7,5.5,30.5,231.9,1.1,0.5,125.1
Raheem Mostert,MIA,142.4,763.6,5.6,15.9,127.6,0.7,1.2,124.4
Kareem Hunt,CLE,125.6,487.1,4.1,38.6,316.7,1.6,0.2,114.2
Jamaal Williams,DET,143.5,620,4.3,22.6,140.2,0.6,0.2,105.2
Michael Carter,NYJ,102.2,484.5,3.2,34,298,1.1,0.3,103.4
Brian Robinson Jr.,WAS,115.8,556.9,4.6,18.1,150.2,0.7,0.6,101.5
James Robinson,JAC,155.7,541.8,4.3,22.2,185.6,0.6,0.8,100.7
Rex Burkhead,HOU,85.3,405.9,2.9,30.5,252.5,1.4,0.2,90.9
J.D. McKissic,WAS,69.5,284.9,2.2,50.8,390.7,1.6,0.2,89.8
Mark Ingram II,NO,110.9,479,3.2,17.8,151.1,0.6,0.4,84.7
Darrell Henderson Jr.,LAR,99.5,407.1,3,22.8,175.3,1.1,0.1,82.6
Kenneth Gainwell,PHI,80.8,319.9,2.8,31.5,273.9,1.2,0.7,81.8
Alexander Mattison,MIN,114.2,407.3,3.2,22,165.5,0.8,0.4,80.5
D'Onta Foreman,CAR,85.6,499.9,3.5,9.1,78.6,0.4,0.9,79
Ken Walker III,SEA,150.3,457.7,3.2,15.4,107.3,0.6,0.5,78.1
James Cook,BUF,76.6,323.1,2.2,30.5,233.3,1.3,0.4,75.5
Nyheim Hines,IND,57.6,192.6,1.4,42.8,366.1,1.6,0.4,72.6
Jerick McKinnon,KC,39.5,234.5,1.7,32,268.9,1.5,0.3,69.4
Gus Edwards,BAL,93.7,388.3,2.9,9,75.8,0.4,0.5,65
Damien Williams,ATL,90.7,275,1.8,25.3,208.4,1,0.3,64.6
Rachaad White,TB,76.3,311.8,2.7,17.4,125.5,0.7,0.4,63.2
Dontrell Hilliard,TEN,47.6,238.2,1.7,28.5,232.5,0.8,0.5,61
Khalil Herbert,CHI,115.2,331.2,2.3,14.7,115.4,0.5,0.3,60.8
Boston Scott,PHI,72.2,311.1,3.3,9.4,69,0.3,0.4,59.2
Darrel Williams,ARI,54.6,244.9,2.3,18.8,157.2,0.8,0.1,58.9
Mike Davis,BAL,57.5,315.2,2.1,18.3,127.1,0.5,0.5,58.9
Tyler Allgeier,ATL,99.3,337.6,2,13.8,104.9,0.5,0.4,58.2
Sony Michel,LAC,74.4,310.4,2.3,9.8,77.7,0.3,0.2,53.9
Ameer Abdullah,LV,32.3,195.2,1.3,27.8,207.3,0.9,0.1,52.8
Justin Jackson,DET,0,219,2.1,15.2,128.9,0.8,0.3,51.5
Zamir White,LV,105.4,285.6,2.5,9.5,62.4,0.4,0.3,51.4
Ronald Jones II,KC,46.2,310.7,2.5,7,43,0.2,0.5,50.6
Qadree Ollison,DAL,0,270.7,2.6,10.1,61.5,0.4,0.6,49.4
Samaje Perine,CIN,65.1,191.4,1.5,22.2,165.6,0.8,0.2,48.8
Phillip Lindsay,IND,0,346.9,1.6,4.8,36.6,0.2,0.3,48.5
Eno Benjamin,ARI,50.3,235.1,1.6,16.2,119.9,0.6,0.3,47.9
Myles Gaskin,MIA,64.1,280.7,1.7,14.3,82,0.4,0.5,47.7
Chuba Hubbard,CAR,61.7,239,1.8,14.6,97.5,0.5,0.3,46.5
Matt Breida,NYG,70.4,258.1,1.4,14.1,102.9,0.5,0.7,46.3
D'Ernest Johnson,CLE,25.3,238,1.6,10.6,94.1,0.4,0.1,45
Craig Reynolds,DET,48,247.8,1.6,10.2,73,0.4,0.2,43.4
J.J. Taylor,NE,0,235.9,2,7.8,57.2,0.3,0.2,42.3
Isiah Pacheco,KC,56.7,205.5,1.8,12.1,79,0.5,0.3,41.7
Ke'Shawn Vaughn,TB,68.2,243.2,2.1,5.2,40.8,0.2,0.4,41.2
Patrick Taylor Jr.,GB,0,225.6,1.9,6,40.8,0.3,0.3,39.4
Ty Johnson,NYJ,18.7,158.7,1.1,14.5,135.7,0.6,0.3,38.9
Giovani Bernard,TB,20,159.9,1.1,16.6,129.5,0.6,0.2,38.9
Dare Ogunbowale,HOU,29.1,166.3,1.2,15.5,125.8,0.5,0.1,38.9
Isaiah Spiller,LAC,62.1,226,1.6,7.5,49.9,0.3,0.2,38.7
Ty Montgomery,NE,21.6,92.8,0.8,23.8,190.7,0.9,0.2,38.3
Marlon Mack,SF,0,227,1.6,6.6,39.5,0.3,0.1,37.3
Hassan Haskins,TEN,42.2,182,1.5,10.5,76,0.4,0.2,36.7
Tyler Goodson,GB,0,170.3,1.6,7.8,63.8,0.4,0.2,34.8
Tyrion Davis-Price,SF,34.2,180.1,1.6,7.8,56.8,0.3,0.2,34.6
Deon Jackson,IND,47.5,203.8,1.7,4,28.5,0.2,0.2,34.2
Kenyan Drake,BAL,12.3,162.1,1.1,14.1,85.5,0.5,0.1,34.2
Anthony McFarland Jr.,PIT,0,182.7,1,10.3,72.3,0.5,0.2,34.1
Joshua Kelley,LAC,54.7,199.5,1.5,7.5,48.3,0.3,0.6,33.9
Kyren Williams,LAR,24.7,172.9,1.5,6.6,52.8,0.3,0.2,33
Jaylen Warren,PIT,38.4,175.6,1.4,8.1,51.6,0.3,0.2,32.5
Zack Moss,BUF,35.7,172.7,1.5,6.6,48.3,0.3,0.1,32.3
Brandon Bolden,LV,19.8,79.3,0.7,19.1,164.4,0.7,0.1,32.2
Trayveon Williams,CIN,0,195.4,1.3,7,35.2,0.2,0.5,31.1
Antonio Williams,NYG,11.1,162.3,1.3,7.3,55.5,0.3,0.2,31
DeeJay Dallas,SEA,23.2,118.3,1.1,14.8,101.6,0.4,0.2,30.7
Jeff Wilson Jr.,SF,44.8,141.6,1.2,7,52.6,0.4,0.3,28.6
Snoop Conner,JAC,23.6,149.7,1.3,6.7,46.3,0.2,0.2,28.4
Travis Homer,SEA,16.7,108.2,0.8,11.8,105.8,0.4,0.1,28.3
Benny Snell Jr.,PIT,34.3,182.5,1,4.7,33,0.2,0.2,28.2
Royce Freeman,HOU,36.2,162.6,1,7.2,49.2,0.2,0,28.2
Chris Evans,CIN,32,100.6,0.8,13.2,95.9,0.6,0.1,28.1
Demetric Felton Jr.,CLE,0,58.6,0.3,18.7,153,0.7,0.1,27.4
Kyle Juszczyk,SF,9.9,23.9,0.3,20.2,165.4,1.2,0.2,27.3
Pierre Strong Jr.,NE,12.2,142,1.1,7.3,50.4,0.3,0.2,27.1
Trestan Ebner,CHI,19.6,112.5,0.8,9,69.3,0.3,0.1,24.9
Jonathan Williams,WAS,17.1,129.8,1,6.9,52.4,0.2,0.5,24.4
Gary Brightwell,NYG,26.7,114.8,1,6.6,46.7,0.2,0.1,23.1
Dwayne Washington,NO,28.8,124.7,0.9,5.6,40.4,0.2,0.1,22.8
Trey Sermon,PHI,17.8,132.2,0.9,3.7,23.2,0.2,0.1,21.7
Rico Dowdle,DAL,29,93.4,0.7,6.9,55.4,0.3,0.1,20.9
Jerome Ford,CLE,8.5,74.4,0.6,5.1,36.1,0.2,0.1,15.4
Darwin Thompson,SEA,0,75.6,0.6,3.8,28.8,0.2,0.1,14.5
Kene Nwangwu,MIN,18.5,74.3,0.6,4.6,24.8,0.2,0.1,14.5
Ty Chandler,MIN,3.9,62.1,0.5,6,38.7,0.2,0.1,14
Mike Boone,DEN,11.5,66.7,0.6,4,29.5,0.2,0.1,14
Tony Jones Jr.,NO,20.6,84.8,0.6,1.9,13.6,0.1,0.1,13.7
Jordan Mason,SF,13.9,72.3,0.6,3.9,23.3,0.1,0.1,13.5
Jake Funk,LAR,12,65,0.5,3.9,27.3,0.2,0.1,13.1
C.J. Ham,MIN,2.1,5.3,0.1,12,86.2,0.4,0,12
Keith Smith,ATL,7.7,31.5,0.2,8.1,57.4,0.3,0.1,11.6
Salvon Ahmed,MIA,15.2,63.7,0.4,2,15.3,0.1,0,11
Keaontay Ingram,ARI,12.2,50.3,0.4,2.2,15.8,0.1,0.1,9.4
Alec Ingold,MIA,4,13.3,0.1,6.6,49.5,0.3,0,9
JaMycal Hasty,JAC,7.3,31.4,0.3,4.1,29.3,0.2,0.1,8.4
Patrick Ricard,BAL,0,1.6,0,7.7,51.7,0.4,0,7.8
Jakob Johnson,LV,4,16.5,0.2,4.4,32.6,0.3,0.1,7.2
Julius Chestnut,TEN,4.5,18.8,0.1,3.8,28,0.2,0,6.3
Trevon Wesco,CHI,0,0,0,3.5,36.5,0.3,0,5.2
Giovanni Ricci,CAR,0,0,0,4.2,32.5,0.3,0,5
Adam Prentice,NO,4.4,18.7,0.1,2,14.7,0.1,0,5
Michael Burton,KC,7.1,30,0.3,0,0,0,0,4.9
Reggie Gilliam,BUF,0,0,0,4.4,32.5,0.2,0,4.6
Brittain Brown,LV,3.8,15.6,0.1,2.1,15.4,0.1,0,4.4
Jason Cabinda,DET,1.6,6.9,0.1,3.1,23.9,0.2,0,4.4
Khari Blasingame,CHI,0,0,0,4,29.5,0.2,0,4.2
Derek Watt,PIT,0,0,0,4.4,30.9,0.2,0,4
