Player,Team,REC,YDS,TDS,FL,FPTS,actuals,mae
Mark Andrews,BAL,96.3,"1,220.80",9,0.3,175.2,190.5,-15.3
Travis Kelce,KC,98,"1,133.70",8.5,0.3,163.7,316.3,-152.6
Dalton Schultz,DAL,80.8,860.1,6,0.2,121.5,142.7,-21.2
Darren Waller,LV,69.8,868,4.8,0.2,115.1,84.8,30.3
Kyle Pitts,ATL,68.1,873.3,4.6,0.2,114.7,75.6,39.1
George Kittle,SF,64.5,795.4,5.1,0.3,109.7,200.5,-90.8
Dallas Goedert,PHI,62,782.5,4.7,0.2,106,141.2,-35.2
T.J. Hockenson,DET,66.1,651.3,4.8,0.2,93.8,215.4,-121.6
Dawson Knox,BUF,47.4,606.5,5.6,0.2,93.7,135.7,-42
Hunter Henry,NE,51,597.2,5.4,0.1,91.7,103.9,-12.2
Gerald Everett,LAC,59.9,623.7,4.7,0.3,89.7,139.5,-49.8
Noah Fant,SEA,59.1,656.4,3.9,0.1,89,122.6,-33.6
Zach Ertz,ARI,60.2,625.7,4.4,0.1,88.9,115.6,-26.7
Tyler Higbee,LAR,60.1,599.9,4.8,0.2,88.5,152,-63.5
Irv Smith Jr.,MIN,51.4,590,4.9,0.2,88.1,55.2,32.9
David Njoku,CLE,49.2,564.4,4.3,0.1,81.8,127.8,-46
Robert Tonyan,GB,45,539.2,4.4,0.1,80.3,112,-31.7
Pat Freiermuth,PIT,64.6,571.3,3.9,0.2,80.3,148.2,-67.9
Mike Gesicki,MIA,53.1,582.9,3.6,0.1,79.4,89.6,-10.2
Cole Kmet,CHI,52.9,562,3.4,0.2,76.3,147.3,-71
Logan Thomas,WAS,46.1,493.7,4.5,0.1,75.8,77.3,-1.5
Hayden Hurst,CIN,44.5,474.3,3.8,0.2,70.1,105.4,-35.3
Evan Engram,JAC,51.1,521.9,3,0.2,69.6,176.9,-107.3
Albert Okwuegbunam,DEN,42.9,446.9,3.7,0.2,66.4,25.5,40.9
Austin Hooper,TEN,44,450.7,3.3,0.1,64.8,97.4,-32.6
Mo Alie-Cox,IND,36,420.8,3.4,0.2,62.1,46.5,15.6
Brevin Jordan,HOU,38.5,412,2.6,0.2,56.7,26.8,29.9
Cameron Brate,TB,37.7,359.2,3.3,0.1,55.7,37.4,18.3
Isaiah Likely,BAL,30.9,331.5,2.9,0.2,50.4,91.3,-40.9
C.J. Uzomah,NYJ,37,367.1,2.2,0.1,49.9,56.2,-6.3
Andrew Beck,DEN,27.9,295.3,2.9,0,46.6,11.9,34.7
Dan Arnold,JAC,28.9,337.8,2.1,0.1,45.9,22.5,23.4
Kyle Rudolph,TB,32.2,304.3,2.6,0.1,45.8,11.8,34
Tyler Conklin,NYJ,34.6,320.8,2.1,0.1,44.2,128.2,-84
Tommy Tremble,CAR,30,316.2,1.9,0.1,42.7,52.4,-9.7
Foster Moreau,LV,26.9,286.8,2.2,0.1,41.8,85.2,-43.4
Adam Trautman,NO,27.3,278.5,2.2,0.1,41.1,44.7,-3.6
Jordan Akins,HOU,29.2,305.5,1.5,0,39.2,91.5,-52.3
Harrison Bryant,CLE,24.4,261,2.1,0.1,38.6,57.7,-19.1
Geoff Swaim,TEN,27.4,248.1,2,0.1,36.6,23.8,12.8
Josiah Deguara,GB,23.1,246.9,1.9,0.1,36,24.4,11.6
Kylen Granson,IND,22.8,236.5,2,0.2,35.6,61.2,-25.6
Daniel Bellinger,NYG,23.7,246.2,1.7,0.2,34.6,75,-40.4
Donald Parham Jr.,LAC,22,213.5,2.1,0.1,34.1,29,5.1
Jonnu Smith,NE,21.5,235.2,1.7,0.1,33.5,52,-18.5
Anthony Firkser,ATL,19,226.8,1.5,0,31.4,19,12.4
Pharaoh Brown,HOU,23.1,227.2,1.2,0.1,29.7,23.7,6
Durham Smythe,MIA,21.7,214.2,1.3,0,29.4,33.1,-3.7
Parker Hesse,ATL,21.5,218.1,1.3,0.2,29.2,17.9,11.3
John Bates,WAS,18.6,199.1,1.4,0.1,28.2,30.8,-2.6
Ryan Griffin,CHI,17,184.5,1.6,0.1,27.8,6.6,21.2
Will Dissly,SEA,20.4,201.8,1.3,0.2,27.5,86.9,-59.4
Brycen Hopkins,LAR,15.9,162.4,1.5,0.1,24.8,17.9,6.9
Ian Thomas,CAR,18.4,188.3,1,0.1,24.8,40.7,-15.9
