,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
2,3,Josh Allen,BUF,QB,27,17,17,385,579,4306,29,18,111,524,4.72,15,0,0,0,,0,7,4,15,,3.0,393.0,392.6,420.6,410.6,122.0,1,3.0,AlleJo02
4,5,Jalen Hurts*,PHI,QB,25,17,17,352,538,3858,23,15,157,605,3.85,15,0,0,0,,0,9,5,15,,,357.0,356.8,382.8,371.8,89.0,2,5.0,HurtJa00
7,8,Dak Prescott*,DAL,QB,30,17,17,410,590,4516,36,9,55,242,4.4,2,0,0,0,,0,4,2,2,,2.0,343.0,342.8,359.8,351.8,76.0,3,8.0,PresDa01
9,10,Lamar Jackson*+,BAL,QB,26,16,16,307,457,3678,24,7,148,821,5.55,5,0,0,0,,0,11,6,5,,1.0,331.0,331.2,350.2,338.2,65.0,4,10.0,JackLa00
17,18,Jordan Love,GNB,QB,25,17,17,372,579,4159,32,11,50,247,4.94,4,0,0,0,,0,9,3,4,,2.0,319.0,319.1,339.1,330.1,53.0,5,18.0,LoveJo03
30,31,Brock Purdy*,SFO,QB,24,16,16,308,444,4280,31,11,39,144,3.69,2,0,0,0,,0,6,2,2,,,296.0,295.6,314.6,306.6,31.0,6,31.0,PurdBr00
39,40,Jared Goff,DET,QB,29,17,17,407,605,4575,30,12,32,21,0.66,2,0,0,0,,0,6,4,2,,2.0,289.0,289.1,308.1,301.1,25.0,7,40.0,GoffJa00
49,50,Patrick Mahomes*,KAN,QB,28,16,16,401,597,4183,27,14,75,389,5.19,0,0,0,0,,0,5,3,0,,,280.0,280.2,303.2,294.2,17.0,8,50.0,MahoPa00
57,58,C.J. Stroud*,HOU,QB,22,15,15,319,499,4108,23,5,39,167,4.28,3,1,1,0,0.0,0,8,4,3,1.0,,275.0,276.0,291.0,280.5,12.0,9,58.0,StroCJ00
59,60,Baker Mayfield*,TAM,QB,28,17,17,364,566,4044,28,10,62,163,2.63,1,0,0,0,,0,8,3,1,,2.0,274.0,274.1,293.1,284.1,11.0,10,60.0,MayfBa00
65,66,Tua Tagovailoa*,MIA,QB,25,17,17,388,560,4624,29,14,35,74,2.11,0,0,0,0,,0,13,5,0,,,270.0,270.4,292.4,284.4,7.0,11,66.0,TagoTu00
75,76,Trevor Lawrence,JAX,QB,24,16,16,370,564,4016,21,14,70,339,4.84,4,0,0,0,,0,12,7,4,,1.0,263.0,262.5,289.5,276.5,,12,76.0,LawrTr00
76,77,Sam Howell,WAS,QB,23,17,17,388,612,3946,21,21,48,263,5.48,5,1,1,4,4.0,0,4,2,5,1.0,1.0,257.0,257.5,286.5,278.0,,14,77.0,HoweSa00
77,78,Russell Wilson,DEN,QB,35,15,15,297,447,3070,26,8,80,341,4.26,3,0,0,0,,0,10,5,3,,2.0,257.0,256.9,275.9,264.9,,13,78.0,WilsRu00
78,79,Matthew Stafford*,LAR,QB,35,15,15,326,521,3965,24,11,21,65,3.1,0,0,0,0,,0,0,0,0,1.0,1.0,243.0,243.1,257.1,254.1,,15,,StafMa00
79,80,Derek Carr,NOR,QB,32,17,17,375,548,3878,25,8,32,40,1.25,0,0,0,0,,0,7,3,0,,2.0,241.0,241.1,255.1,249.1,,16,,CarrDe02
80,81,Justin Herbert,LAC,QB,25,13,13,297,456,3134,20,7,52,228,4.38,3,1,1,10,10.0,0,4,1,3,,1.0,233.0,234.2,248.2,240.7,,17,,HerbJu00
81,82,Justin Fields,CHI,QB,24,13,13,227,370,2562,16,9,124,657,5.3,4,0,0,0,,0,10,4,4,,,230.0,230.2,249.2,239.2,,18,,FielJu00
82,83,Geno Smith*,SEA,QB,33,15,15,323,499,3624,20,9,37,155,4.19,1,1,1,-2,-2.0,0,5,3,1,,2.0,226.0,227.3,245.3,235.8,,19,,SmitGe00
83,84,Joshua Dobbs,2TM,QB,28,13,12,262,417,2464,13,10,77,421,5.47,6,0,0,0,,0,14,7,6,2.0,1.0,201.0,200.7,223.7,210.7,,20,,DobbJo00
84,85,Gardner Minshew II*,IND,QB,27,17,13,305,490,3305,15,9,34,100,2.94,3,0,0,0,,0,8,5,3,,2.0,196.0,196.2,216.2,205.2,,21,,MinsGa00
85,86,Desmond Ridder,ATL,QB,24,15,13,249,388,2836,12,12,53,193,3.64,5,1,1,-6,-6.0,0,12,7,5,,2.0,176.0,177.1,202.1,188.6,,22,,RiddDe00
87,88,Bryce Young,CAR,QB,22,16,16,315,527,2877,11,10,39,253,6.49,0,0,0,0,,0,11,6,0,1.0,1.0,156.0,156.4,178.4,166.4,,23,,YounBr01
88,89,Kirk Cousins,MIN,QB,35,8,8,216,311,2331,18,5,14,25,1.79,0,0,0,0,,0,7,4,0,,,150.0,149.7,161.7,154.7,,24,,CousKi00
89,90,Joe Burrow,CIN,QB,27,10,10,244,365,2309,15,6,31,88,2.84,0,0,0,0,,0,2,1,0,,,147.0,147.2,157.2,153.2,,25,,BurrJo01
90,91,Kyler Murray,ARI,QB,26,8,8,176,268,1799,10,5,44,244,5.55,3,0,0,0,,0,7,0,3,,1.0,146.0,146.4,157.4,151.4,,26,,MurrKy00
93,94,Jake Browning,CIN,QB,27,9,7,171,243,1936,12,7,27,127,4.7,3,1,1,-7,-7.0,0,3,0,3,,1.0,143.0,144.4,157.4,150.9,,27,,BrowJa08
104,105,Aidan O'Connell,LVR,QB,25,11,10,213,343,2218,12,7,17,11,0.65,1,0,0,0,,0,4,2,1,,,126.0,125.8,137.8,132.8,,28,,OConAi00
108,109,Zach Wilson,NYJ,QB,24,12,11,221,368,2271,8,7,36,211,5.86,0,0,0,0,,0,11,7,0,1.0,1.0,120.0,119.9,139.9,126.9,,29,,WilsZa00
