RK,NAME,TEAM,POS,GMS,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,RECEIVING_TGTS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,FUMBLES_FUM,FUMBLES_LST,PPG,FPTS
1,Austin Ekeler,LAC,RB,17,204,915,4.5,13,127,107,722,5,5,3,21.9,372.7
2,Christian McCaffrey,SF,RB,17,244,1139,4.7,8,108,85,741,5,1,0,21,356.36
3,Josh Jacobs,LV,RB,17,340,1653,4.9,12,64,53,400,0,3,1,19.3,328.3
4,Derrick Henry,TEN,RB,16,349,1538,4.4,13,41,33,398,0,6,3,18.9,302.76
5,Saquon Barkley,NYG,RB,16,295,1312,4.4,10,76,57,338,0,1,0,17.8,284
6,Nick Chubb,CLE,RB,16,290,1448,5,12,31,22,194,0,1,1,16.1,258.2
7,Rhamondre Stevenson,NE,RB,17,210,1040,5,5,88,69,421,1,4,1,14.7,249.1
8,Tony Pollard,DAL,RB,16,193,1007,5.2,9,55,39,371,3,0,0,15.6,248.8
9,Aaron Jones,GB,RB,17,213,1121,5.3,2,72,59,395,5,5,3,14.6,248.6
10,Joe Mixon,CIN,RB,14,210,814,3.9,7,75,60,441,2,0,0,17.1,239.5
11,Dalvin Cook,MIN,RB,17,264,1173,4.4,8,56,39,295,2,4,4,14,237.8
12,Leonard Fournette,TB,RB,16,189,668,3.5,3,83,73,523,3,0,0,14.1,226.1
13,Jamaal Williams,DET,RB,17,262,1066,4.1,17,16,12,73,0,3,2,13.3,225.9
14,Miles Sanders,PHI,RB,17,259,1269,4.9,11,26,20,78,0,2,2,12.7,216.7
15,Alvin Kamara,NO,RB,15,223,897,4,2,77,57,490,2,4,4,14.1,211.7
16,Najee Harris,PIT,RB,16,249,954,3.8,6,52,40,219,3,2,1,13.1,209.46
17,Travis Etienne Jr.,JAX,RB,17,220,1125,5.1,5,45,35,316,0,5,3,12.1,205.1
18,Kenneth Walker III,SEA,RB,15,228,1050,4.6,9,35,27,165,0,0,0,13.5,202.5
19,James Conner,ARI,RB,13,183,782,4.3,7,58,46,300,1,3,1,15.4,200.2
20,Jerick McKinnon,KC,RB,17,72,291,4,1,71,56,512,9,1,1,11.5,196.3
21,D'Andre Swift,DET,RB,14,99,542,5.5,5,70,48,389,3,1,0,13.6,191.1
22,Ezekiel Elliott,DAL,RB,15,231,876,3.8,12,23,17,92,0,0,0,12.4,185.8
23,Devin Singletary,BUF,RB,16,177,819,4.6,5,52,38,280,1,3,3,11.1,177.9
24,David Montgomery,CHI,RB,16,201,801,4,5,40,34,316,1,2,2,11.1,177.7
25,AJ Dillon,GB,RB,17,186,770,4.1,7,43,28,206,0,1,0,9.9,167.6
26,Dameon Pierce,HOU,RB,13,220,939,4.3,4,39,30,165,1,4,2,12.8,166.4
27,Antonio Gibson,WAS,RB,15,149,546,3.7,3,58,46,353,2,2,0,11.1,165.9
28,Raheem Mostert,MIA,RB,15,170,820,4.8,3,40,29,212,2,2,1,10.7,160.2
29,Tyler Allgeier,ATL,RB,16,210,1035,4.9,3,17,16,139,1,0,0,10,159.4
30,Jeff Wilson Jr.,MIA,RB,16,176,860,4.9,5,37,22,185,1,3,2,9.9,158.5
31,Latavius Murray,DEN,RB,13,171,760,4.4,6,35,27,132,0,1,0,11.9,154.2
32,Cordarrelle Patterson,ATL,RB,13,144,695,4.8,8,31,21,122,0,1,1,11.4,148.7
33,Jonathan Taylor,IND,RB,11,192,861,4.5,4,40,28,143,0,3,3,13.3,146.4
34,Samaje Perine,CIN,RB,16,95,394,4.1,2,51,38,287,4,0,0,8.9,142.1
35,Cam Akers,LAR,RB,15,188,786,4.2,7,18,13,117,0,2,2,9.4,141.3
36,Rachaad White,TB,RB,17,129,481,3.7,1,58,50,290,2,3,3,8.2,139.1
37,Isiah Pacheco,KC,RB,17,170,830,4.9,5,14,13,130,0,4,2,7.9,135
38,D'Onta Foreman,CAR,RB,17,203,914,4.5,5,9,5,26,0,1,0,7.7,131
39,Michael Carter,NYJ,RB,15,111,398,3.6,3,51,39,287,0,2,1,8.2,123.5
40,Kareem Hunt,CLE,RB,16,119,455,3.8,3,40,32,195,1,1,0,7.6,121
41,Khalil Herbert,CHI,RB,13,129,731,5.7,4,12,9,57,1,0,0,9.1,117.8
42,Breece Hall,NYJ,RB,7,80,463,5.8,4,31,19,218,1,1,1,16.4,115.1
43,Brian Robinson Jr.,WAS,RB,12,205,797,3.9,2,12,9,60,1,2,0,9.4,112.7
44,Kenyan Drake,BAL,RB,12,109,482,4.4,4,26,17,89,1,1,0,8.7,104.1
45,James Cook,BUF,RB,16,82,480,5.9,2,30,19,174,1,1,1,6.3,100.4
46,Clyde Edwards-Helaire,KC,RB,10,71,302,4.3,3,23,17,151,3,0,0,9.8,98.3
47,Damien Harris,NE,RB,13,106,462,4.4,3,23,17,97,0,0,0,7,90.9
48,Eno Benjamin,NO,RB,15,77,313,4.1,2,34,25,193,0,1,0,6,89.6
49,James Robinson,NYJ,RB,11,110,425,3.9,3,14,11,51,2,1,0,8.1,88.6
50,Alexander Mattison,MIN,RB,17,74,283,3.8,5,18,15,91,1,0,0,5.2,88.4
51,Kenneth Gainwell,PHI,RB,17,53,240,4.5,4,29,23,169,0,0,0,5.2,87.9
52,Chuba Hubbard,CAR,RB,15,95,466,4.9,2,17,14,171,0,4,1,5.8,87.7
53,Melvin Gordon III,DEN,RB,10,90,318,3.5,2,32,25,223,0,5,2,8.7,87.1
54,Jaylen Warren,PIT,RB,15,71,343,4.8,1,29,25,207,0,1,0,5.7,86
55,J.K. Dobbins,BAL,RB,8,92,520,5.7,2,8,7,42,1,0,0,10.2,81.2
56,Dontrell Hilliard,TEN,RB,12,22,145,6.6,0,26,21,177,4,0,0,6.4,77.2
57,Rex Burkhead,HOU,RB,15,26,80,3.1,1,49,36,203,1,0,0,5.1,76.3
58,Chase Edmonds,DEN,RB,13,68,245,3.6,2,24,16,157,1,0,0,5.7,74.2
59,Darrell Henderson Jr.,JAX,RB,10,70,283,4,3,22,17,102,0,0,0,7.4,73.5
60,JaMycal Hasty,JAX,RB,17,46,194,4.2,2,26,20,126,1,0,0,4.1,70
61,Nyheim Hines,BUF,RB,16,24,33,1.4,1,37,30,241,1,2,0,4.3,69.4
62,Deon Jackson,IND,RB,15,60,201,3.4,1,26,24,134,1,1,1,4.5,67.5
63,Joshua Kelley,LAC,RB,13,69,287,4.2,2,25,14,101,0,0,0,5,64.8
64,Matt Breida,NYG,RB,17,54,220,4.1,1,25,20,118,0,0,0,3.5,59.8
65,Gus Edwards,BAL,RB,9,87,433,5,3,2,0,0,0,1,1,6.6,59.3
66,Zonovan Knight,NYJ,RB,6,73,278,3.8,1,14,13,100,0,1,0,9.5,56.8
67,J.D. McKissic,WAS,RB,8,22,95,4.3,0,40,27,173,0,0,0,7,55.8
68,Ameer Abdullah,LV,RB,17,4,20,5,0,32,25,211,1,2,0,3.2,54.1
69,Kyle Juszczyk,SF,FB,16,7,26,3.7,1,23,19,200,1,0,0,3.4,53.6
70,Rashaad Penny,SEA,RB,5,57,346,6.1,2,5,4,16,0,1,0,10.4,52.2
71,Justin Jackson,DET,RB,16,42,170,4,1,19,12,101,1,1,0,3.2,51.1
72,Mark Ingram II,NO,RB,10,62,233,3.8,1,18,16,68,0,2,2,5,50.1
73,Boston Scott,PHI,RB,15,54,217,4,3,6,5,15,0,0,0,3.1,46.2
73,DeeJay Dallas,SEA,RB,15,35,186,5.3,0,19,17,126,0,1,0,3.1,46.2
75,Caleb Huntley,ATL,RB,12,76,366,4.8,1,2,2,3,0,1,0,3.7,44.9
76,Elijah Mitchell,SF,RB,5,45,279,6.2,2,4,3,7,0,0,0,8.7,43.6
77,Zack Moss,IND,RB,12,75,342,4.6,0,10,8,32,0,1,1,3.6,43.4
78,Travis Homer,SEA,RB,10,19,74,3.9,0,18,16,157,1,1,1,4.3,43.1
