,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
0,1,Christian McCaffrey*+,SFO,RB,27,16,16,0,0,0,0,0,272,1459,5.36,14,83,67,564,8.42,7,3,2,21,,,324.0,391.3,399.3,357.8,157.0,1,1.0,McCaCh01
5,6,Raheem Mostert*,MIA,RB,31,15,15,0,0,0,0,0,209,1012,4.84,18,32,25,175,7.0,3,4,1,21,,,243.0,267.7,274.7,255.2,80.0,2,6.0,MostRa00
11,12,Travis Etienne,JAX,RB,24,17,17,0,0,0,0,0,267,1008,3.78,11,73,58,476,8.21,1,0,0,12,2.0,,224.0,282.4,288.4,253.4,62.0,3,12.0,EtieTr00
12,13,Kyren Williams*,LAR,RB,23,12,11,0,0,0,0,0,228,1144,5.02,12,48,32,206,6.44,3,3,2,15,1.0,,223.0,255.0,263.0,239.0,61.0,4,13.0,WillKy02
15,16,Derrick Henry*,TEN,RB,29,17,17,2,3,14,2,0,280,1167,4.17,12,36,28,214,7.64,0,0,0,12,,,219.0,246.7,252.7,232.7,57.0,5,16.0,HenrDe00
16,17,Joe Mixon,CIN,RB,27,17,17,0,0,0,0,0,257,1034,4.02,9,64,52,376,7.23,3,0,0,12,1.0,,215.0,267.0,273.0,241.0,54.0,6,17.0,MixoJo00
18,19,Breece Hall,NYJ,RB,22,17,16,0,0,0,0,0,223,994,4.46,5,95,76,591,7.78,4,2,0,9,1.0,,215.0,290.5,296.5,252.5,53.0,7,19.0,HallBr03
23,24,Rachaad White,TAM,RB,24,17,17,0,0,0,0,0,272,990,3.64,6,70,64,549,8.58,3,3,2,9,,,204.0,267.9,275.9,235.9,43.0,8,24.0,WhitRa01
31,32,David Montgomery,DET,RB,26,14,14,0,0,0,0,0,219,1015,4.63,13,24,16,117,7.31,0,2,1,13,1.0,,191.0,207.2,214.2,199.2,31.0,9,32.0,MontDa01
34,35,Jahmyr Gibbs*,DET,RB,21,15,3,0,0,0,0,0,182,945,5.19,10,71,52,316,6.08,1,2,1,11,,,190.0,242.1,249.1,216.1,30.0,10,35.0,GibbJa01
36,37,James Cook*,BUF,RB,24,17,13,0,0,0,0,0,237,1122,4.73,2,54,44,445,10.11,4,4,2,6,,,189.0,232.7,240.7,210.7,29.0,11,37.0,CookJa01
37,38,Bijan Robinson,ATL,RB,21,17,16,0,0,0,0,0,214,976,4.56,4,86,58,487,8.4,4,4,3,8,,,188.0,246.3,255.3,217.3,29.0,12,38.0,RobiBi01
42,43,Saquon Barkley,NYG,RB,26,14,14,0,0,0,0,0,247,962,3.89,6,60,41,280,6.83,4,2,2,10,1.0,,182.0,223.2,231.2,202.7,23.0,13,43.0,BarkSa00
51,52,James Conner,ARI,RB,28,13,13,0,0,0,0,0,208,1040,5.0,7,33,27,165,6.11,2,0,0,9,,,175.0,201.5,207.5,188.0,16.0,15,52.0,ConnJa00
52,53,Gus Edwards,BAL,RB,28,17,9,0,0,0,0,0,198,810,4.09,13,13,12,180,15.0,0,3,2,13,1.0,,175.0,187.0,195.0,181.0,16.0,14,53.0,EdwaGu00
58,59,Kenneth Walker III,SEA,RB,23,15,15,0,0,0,0,0,219,905,4.13,8,37,29,259,8.93,1,1,0,9,,,170.0,199.4,205.4,184.9,12.0,16,59.0,WalkKe00
60,61,Isiah Pacheco,KAN,RB,24,14,13,0,0,0,0,0,205,935,4.56,7,49,44,244,5.55,2,1,1,9,,,170.0,213.9,220.9,191.9,11.0,17,61.0,PachIs00
62,63,Tony Pollard,DAL,RB,26,17,17,0,0,0,0,0,252,1005,3.99,6,67,55,311,5.65,0,3,1,6,1.0,,168.0,222.6,229.6,195.1,9.0,18,63.0,PollTo00
63,64,Jerome Ford,CLE,RB,24,17,12,0,0,0,0,0,204,813,3.99,4,63,44,319,7.25,5,1,1,9,1.0,,167.0,211.2,218.2,189.2,9.0,19,64.0,FordJe00
64,65,Najee Harris,PIT,RB,25,17,17,0,0,0,0,0,255,1035,4.06,8,38,29,170,5.86,0,2,1,8,,,167.0,195.5,202.5,181.0,8.0,20,65.0,HarrNa00
68,69,De'Von Achane,MIA,RB,22,11,4,0,0,0,0,0,103,800,7.77,8,37,27,197,7.3,3,1,1,11,,,164.0,190.7,197.7,177.2,5.0,21,69.0,AchaDe00
70,71,Brian Robinson Jr.,WAS,RB,24,15,15,0,0,0,0,0,178,733,4.12,5,43,36,368,10.22,4,4,2,9,1.0,,162.0,198.1,206.1,180.1,4.0,22,71.0,RobiBr01
72,73,D'Andre Swift*,PHI,RB,24,16,15,0,0,0,0,0,229,1049,4.58,5,49,39,214,5.49,1,3,1,6,,,160.0,199.3,206.3,179.8,2.0,23,73.0,SwifDA00
86,87,Alvin Kamara,NOR,RB,28,13,12,0,0,0,0,0,180,694,3.86,5,86,75,466,6.21,1,0,0,6,3.0,,158.0,233.0,239.0,195.5,,24,,KamaAl00
