RK,NAME,TEAM,POS,GMS,RECEIVING_TGTS,RECEIVING_REC,RECEIVING_PCT,RECEIVING_YDS,RECEIVING_TD,RECEIVING_LNG,RECEIVING_Y/T,RECEIVING_Y/R,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES_FUM,FUMBLES_LST,PPG,FPTS
1,Justin Jefferson,MIN,WR,17,184,128,69.6,1809,8,64,9.8,14.1,4,24,6,1,0,0,21.7,368.66
2,Tyreek Hill,MIA,WR,16,165,117,70.9,1687,7,64,10.2,14.4,7,32,4.6,2,1,0,21.4,342.9
3,Davante Adams,LV,WR,17,180,100,55.6,1516,14,60,8.4,15.2,3,-1,-0.3,0,1,0,19.7,335.5
4,Stefon Diggs,BUF,WR,16,154,108,70.1,1429,11,53,9.3,13.2,1,-3,-3,0,1,0,19.8,316.6
5,CeeDee Lamb,DAL,WR,17,156,107,68.6,1359,9,39,8.7,12.7,10,47,4.7,0,0,0,17.7,301.6
6,A.J. Brown,PHI,WR,17,146,88,60.3,1496,11,78,10.2,17,0,0,0,0,2,2,17.6,299.6
7,Amon-Ra St. Brown,DET,WR,16,146,106,72.6,1161,6,49,8,11,9,95,10.6,0,0,0,16.7,267.6
8,DeVonta Smith,PHI,WR,17,136,95,69.9,1196,7,45,8.8,12.6,0,0,0,0,1,1,15,254.6
9,Jaylen Waddle,MIA,WR,16,112,70,62.5,1312,8,84,11.7,18.7,2,17,8.5,0,1,1,15.6,248.9
10,Ja'Marr Chase,CIN,WR,12,134,87,64.9,1046,9,60,7.8,12,5,8,1.6,0,2,2,20.2,242.4
11,Christian Kirk,JAX,WR,17,133,84,63.2,1108,8,49,8.3,13.2,5,11,2.2,0,1,1,14.2,241.9
12,Amari Cooper,CLE,WR,16,129,76,58.9,1109,9,55,8.6,14.6,0,0,0,0,0,0,14.9,238.9
13,Tyler Lockett,SEA,WR,16,117,84,71.8,1033,9,40,8.8,12.3,0,0,0,0,2,2,14.8,237.3
14,Terry McLaurin,WAS,WR,17,120,77,64.2,1191,5,52,9.9,15.5,7,29,4.1,0,1,0,13.5,229
15,Brandon Aiyuk,SF,WR,17,114,78,68.4,1015,8,54,8.9,13,2,23,11.5,0,1,1,13.4,227.8
16,DK Metcalf,SEA,WR,17,141,90,63.8,1048,6,54,7.4,11.6,0,0,0,0,2,2,13.3,226.8
17,Mike Evans,TB,WR,15,127,77,60.6,1124,6,63,8.9,14.6,0,0,0,0,0,0,15,225.4
18,Chris Godwin,TB,WR,15,142,104,73.2,1023,3,44,7.2,9.8,3,5,1.7,0,2,2,14.9,222.8
19,Tee Higgins,CIN,WR,16,109,74,67.9,1029,7,59,9.4,13.9,0,0,0,0,0,0,13.8,220.9
20,Michael Pittman Jr.,IND,WR,15,136,96,70.6,895,3,28,6.6,9.3,2,30,15,0,2,1,13.6,204.5
21,Jerry Jeudy,DEN,WR,15,100,67,67,972,6,67,9.7,14.5,4,40,10,0,0,0,13.6,204.2
22,Cooper Kupp,LAR,WR,9,98,75,76.5,812,6,75,8.3,10.8,9,52,5.8,1,2,1,22.4,201.4
23,DJ Moore,CAR,WR,17,118,63,53.4,888,7,62,7.5,14.1,10,53,5.3,0,0,0,11.7,199.1
24,Chris Olave,NO,WR,15,119,72,60.5,1042,4,53,8.8,14.5,0,0,0,0,2,2,13.2,198.2
25,Zay Jones,JAX,WR,16,121,82,67.8,823,5,59,6.8,10,4,18,4.5,0,0,0,12.4,198.1
26,Garrett Wilson,NYJ,WR,16,130,74,56.9,1014,4,60,7.8,13.7,4,4,1,0,2,1,12.4,197.8
27,JuJu Smith-Schuster,KC,WR,16,101,78,77.2,933,3,53,9.2,12,0,0,0,0,3,2,11.6,185.3
28,Jakobi Meyers,NE,WR,14,96,67,69.8,804,6,48,8.4,12,2,-11,-5.5,0,2,2,12.9,180.3
29,Adam Thielen,MIN,WR,17,107,70,65.4,716,6,36,6.7,10.2,1,4,4,0,0,0,10.6,180
30,Drake London,ATL,WR,17,117,72,61.5,866,4,40,7.4,12,0,0,0,0,3,3,10.5,178.6
31,Mike Williams,LAC,WR,13,93,63,67.7,895,4,55,9.6,14.2,0,0,0,0,0,0,13.6,176.5
32,Curtis Samuel,WAS,WR,17,92,64,69.6,656,4,49,7.1,10.2,38,187,4.9,1,1,1,10.4,176.3
33,Allen Lazard,GB,WR,15,100,60,60,788,6,47,7.9,13.1,2,0,0,0,0,0,11.7,174.8
34,Diontae Johnson,PIT,WR,16,137,84,61.3,844,0,37,6.2,10,7,25,3.6,0,1,0,10.8,172.9
35,Joshua Palmer,LAC,WR,16,107,72,67.3,769,3,50,7.2,10.7,1,4,4,0,1,0,10.6,169.3
