,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,2,CeeDee Lamb*+,DAL,WR,24,17,17,0,0,0,0,0,14,113,8.07,2,181,135,1749,12.96,12,3,2,14,1.0,,268.0,403.2,411.2,335.7,131.0,1,2.0,LambCe00
3,4,Tyreek Hill*+,MIA,WR,29,16,16,0,0,0,0,0,6,15,2.5,0,171,119,1799,15.12,13,1,1,13,,,257.0,376.4,380.4,316.9,120.0,2,4.0,HillTy00
6,7,Amon-Ra St. Brown*+,DET,WR,24,16,16,0,0,0,0,0,4,24,6.0,0,164,119,1515,12.73,10,1,1,10,,,212.0,330.9,334.9,271.4,78.0,3,7.0,StxxAm00
8,9,Mike Evans*,TAM,WR,30,17,17,0,0,0,0,0,0,0,,0,136,79,1255,15.89,13,0,0,13,,,204.0,282.5,285.5,243.0,70.0,4,9.0,EvanMi00
13,14,Puka Nacua*,LAR,WR,22,17,17,0,0,0,0,0,12,89,7.42,0,160,105,1486,14.15,6,1,0,6,,,194.0,298.5,301.5,246.0,60.0,5,14.0,NacuPu00
14,15,D.J. Moore,CHI,WR,26,17,17,0,0,0,0,0,4,21,5.25,1,136,96,1364,14.21,8,1,1,9,,,191.0,286.5,290.5,238.5,58.0,6,15.0,MoorD.00
19,20,A.J. Brown*,PHI,WR,26,17,17,0,0,0,0,0,0,0,,0,158,106,1456,13.74,7,2,2,7,,,184.0,289.6,294.6,236.6,51.0,8,20.0,BrowAJ00
20,21,Deebo Samuel,SFO,WR,27,15,15,0,1,0,0,0,37,225,6.08,5,89,60,892,14.87,7,1,0,12,,,184.0,243.7,249.7,213.7,51.0,7,21.0,SamuDe00
22,23,Nico Collins,HOU,WR,24,15,10,0,0,0,0,0,1,7,7.0,0,109,80,1297,16.21,8,1,0,8,1.0,,180.0,260.4,263.4,220.4,48.0,9,23.0,CollNi00
24,25,Brandon Aiyuk,SFO,WR,25,16,16,0,0,0,0,0,0,0,,0,105,75,1342,17.89,7,1,1,7,,,174.0,249.2,253.2,211.7,42.0,10,25.0,AiyuBr00
26,27,Keenan Allen*,LAC,WR,31,13,13,1,2,49,1,0,2,6,3.0,0,150,108,1243,11.51,7,2,1,7,,,171.0,278.9,282.9,224.9,39.0,11,27.0,AlleKe00
28,29,Stefon Diggs*,BUF,WR,30,17,17,0,0,0,0,0,1,5,5.0,0,160,107,1183,11.06,8,2,1,8,1.0,,167.0,273.8,277.8,220.3,35.0,12,29.0,DiggSt00
32,33,Ja'Marr Chase*,CIN,WR,23,16,16,1,1,-7,0,0,3,-6,-2.0,0,145,100,1216,12.16,7,1,0,7,,,163.0,262.7,265.7,212.7,31.0,13,33.0,ChasJa00
33,34,Davante Adams,LVR,WR,31,17,17,0,0,0,0,0,0,0,,0,175,103,1144,11.11,8,0,0,8,,,162.0,265.4,268.4,213.9,31.0,14,34.0,AdamDa01
38,39,D.K. Metcalf*,SEA,WR,26,16,16,0,0,0,0,0,0,0,,0,119,66,1114,16.88,8,0,0,8,,,159.0,225.4,228.4,192.4,28.0,15,39.0,MetcDK00
41,42,Amari Cooper*,CLE,WR,29,15,15,0,0,0,0,0,0,0,,0,128,72,1250,17.36,5,2,1,5,1.0,,155.0,227.0,231.0,191.0,24.0,16,42.0,CoopAm00
43,44,Calvin Ridley,JAX,WR,29,17,17,0,0,0,0,0,9,23,2.56,0,136,76,1016,13.37,8,1,0,8,1.0,,154.0,229.9,232.9,191.9,23.0,17,44.0,RidlCa00
44,45,Jayden Reed,GNB,WR,23,16,13,0,0,0,0,0,11,119,10.82,2,94,64,793,12.39,8,2,0,10,1.0,,153.0,217.2,223.2,185.2,22.0,18,45.0,ReedJa03
46,47,Jordan Addison,MIN,WR,21,17,14,0,0,0,0,0,1,2,2.0,0,108,70,911,13.01,10,0,0,10,,,151.0,221.3,224.3,186.3,21.0,19,47.0,AddiJo00
48,49,DeAndre Hopkins,TEN,WR,31,17,16,0,1,0,0,0,2,9,4.5,0,137,75,1057,14.09,7,0,0,7,,,149.0,223.6,226.6,186.1,18.0,20,49.0,HopkDe00
50,51,Jakobi Meyers,LVR,WR,27,16,16,2,3,12,1,0,4,24,6.0,2,106,71,807,11.37,8,0,0,10,,,148.0,218.6,221.6,183.1,17.0,21,51.0,MeyeJa01
