#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted
1,1.02,LeSean McCoy,RB,PHI,2,1,1.01,1.05,332
2,1.03,Jamaal Charles,RB,KC,2.5,1.5,1.01,1.08,191
3,1.04,Calvin Johnson,WR,DET,4.1,1.6,1.01,1.09,111
4,1.04,Matt Forte,RB,CHI,4.2,1.5,1.01,1.1,276
5,1.05,Adrian Peterson,RB,MIN,5.3,2.2,1.01,1.11,397
6,1.06,Eddie Lacy,RB,GB,6.2,1.6,1.02,1.11,225
7,1.07,Demaryius Thomas,WR,DEN,6.7,1.6,1.01,1.1,284
8,1.08,Jimmy Graham,TE,NO,7.8,2.2,1.01,2.06,269
9,1.09,Dez Bryant,WR,DAL,9.1,1.9,1.03,2.03,318
10,1.1,Montee Ball,RB,DEN,10.4,2.3,1.03,2.08,237
11,1.1,Peyton Manning,QB,DEN,10.4,4.1,1.01,2.08,228
12,1.11,A.J. Green,WR,CIN,11.5,2.1,1.01,2.05,296
13,2.01,Julio Jones,WR,ATL,13.3,2.2,1.04,2.09,280
14,2.02,Brandon Marshall,WR,CHI,13.9,2.1,1.08,2.07,320
15,2.02,DeMarco Murray,RB,DAL,14.2,2.7,1.07,2.1,324
16,2.04,Marshawn Lynch,RB,SEA,15.9,3.2,1.06,2.11,252
17,2.05,Giovani Bernard,RB,CIN,16.7,3.1,1.06,2.12,242
18,2.06,Jordy Nelson,WR,GB,17.8,2.6,1.11,3.02,333
19,2.06,Antonio Brown,WR,PIT,18.4,2.5,2.01,3.02,314
20,2.07,Drew Brees,QB,NO,19.1,4,1.04,3.08,261
21,2.09,Doug Martin,RB,TB,20.9,3.5,1.01,3.06,233
22,2.1,Alshon Jeffery,WR,CHI,21.9,2.5,2.01,3.05,265
23,2.1,Aaron Rodgers,QB,GB,22.2,4.2,1.03,3.1,234
24,2.11,Andre Ellington,RB,ARI,22.5,3.8,2.01,3.12,271
25,3.01,Randall Cobb,WR,GB,25,3,2.07,3.12,249
26,3.02,Arian Foster,RB,HOU,25.8,4.7,1.11,3.12,228
27,3.02,Julius Thomas,TE,DEN,26.2,4.8,1.04,4.03,224
28,3.04,Keenan Allen,WR,LAC,28,3.7,2.04,4.08,242
29,3.04,Shane Vereen,RB,NE,28.5,4.2,1.05,4.04,280
30,3.06,Rob Gronkowski,TE,NE,29.7,4.6,1.1,4.08,273
31,3.06,LeVeon Bell,RB,PIT,30.4,3.5,2.02,4.08,284
32,3.09,Zac Stacy,RB,LAR,32.5,3.6,2.05,4.08,243
33,3.09,Roddy White,WR,ATL,33.1,4.7,2.06,4.06,253
