#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,
1,1.01,Saquon Barkley,RB,NYG,1.4,0.6,1.01,1.05,501,
2,1.03,Alvin Kamara,RB,NO,2.5,0.9,1.01,1.06,507,
3,1.03,Christian McCaffrey,RB,CAR,3.2,1.2,1.01,1.07,597,
4,1.04,Ezekiel Elliott,RB,DAL,3.9,1.2,1.01,1.08,270,
5,1.06,Davante Adams,WR,GB,6.4,1.5,1.01,2.01,332,
6,1.07,DeAndre Hopkins,WR,HOU,7,2.8,1.01,2.08,735,
7,1.07,James Conner,RB,PIT,7.1,1.9,1.01,1.12,335,
8,1.07,David Johnson,RB,ARI,7.1,2,1.03,2.04,366,
9,1.09,LeVeon Bell,RB,NYJ,8.8,2.2,1.02,2.05,514,
10,1.1,Julio Jones,WR,ATL,10.2,2.2,1.01,2.04,598,
11,1.1,Michael Thomas,WR,NO,10.4,2,1.02,2.05,564,
12,1.12,Nick Chubb,RB,CLE,11.7,2.4,1.03,2.05,502,
13,2.01,JuJu Smith-Schuster,WR,PIT,12.9,2.3,1.02,2.09,569,
14,2.02,Tyreek Hill,WR,KC,13.9,2.6,1.01,2.09,474,
15,2.03,Dalvin Cook,RB,MIN,14.6,2.8,1.05,2.11,640,
16,2.03,Odell Beckham Jr,WR,CLE,15.1,2.5,1.05,2.09,571,
17,2.04,Todd Gurley,RB,LAR,16,3.1,1.05,2.12,625,
18,2.05,Travis Kelce,TE,KC,17.1,3.3,1.04,3.01,540,
19,2.06,Joe Mixon,RB,CIN,18.4,3.3,1.04,3.03,475,
20,2.07,Patrick Mahomes,QB,KC,19.3,5.7,1.01,3.04,352,
21,2.08,Mike Evans,WR,TB,20.2,2.3,1.09,3.04,528,
22,2.09,Antonio Brown,WR,NE,21.4,2.5,2.02,3.05,504,
23,2.11,Adam Thielen,WR,MIN,22.9,2.5,1.12,3.09,440,
24,2.11,Leonard Fournette,RB,JAX,23.2,3.5,1.1,3.1,462,
25,3.01,Keenan Allen,WR,LAC,25,2.7,2.03,3.1,533,
26,3.01,Damien Williams,RB,KC,25.5,4.2,2.02,4.01,227,
27,3.02,Chris Carson,RB,SEA,26.5,3.7,1.09,4.01,520,
28,3.04,George Kittle,TE,SF,28.3,4,2.02,4.03,382,
29,3.04,Kerryon Johnson,RB,DET,28.5,3.5,2.03,4.02,436,
30,3.05,Aaron Jones,RB,GB,29.2,3.4,2.01,4.04,515,
31,3.06,Devonta Freeman,RB,ATL,30.4,3.5,2.05,4.04,460,
32,3.07,Stefon Diggs,WR,MIN,30.8,3.8,2.03,4.05,472,
33,3.07,David Montgomery,RB,CHI,31.3,3.9,2.01,4.04,416,
34,3.09,Josh Jacobs,RB,LV,33.1,3.6,1.1,4.06,540,
35,3.09,Amari Cooper,WR,DAL,33.1,4.3,2.03,4.08,555,
36,3.09,Zach Ertz,TE,PHI,33.5,4.6,2.04,4.11,555,
37,3.12,Julian Edelman,WR,NE,36.1,4.2,2.03,4.1,570,
38,4.01,Sony Michel,RB,NE,37.4,3.9,2.06,5.04,541,
39,4.03,Brandin Cooks,WR,LAR,39.1,3.8,2.12,4.11,484,
40,4.04,Mark Ingram,RB,BAL,39.7,3.9,2.11,5.03,452,
41,4.04,Chris Godwin,WR,TB,39.9,3.9,2.11,5.01,465,
42,4.06,Melvin Gordon,RB,LAC,42,5.2,2.08,5.11,237,
43,4.06,Robert Woods,WR,LAR,42.2,3.9,2.05,5.07,512,
44,4.07,Tyler Lockett,WR,SEA,42.9,3.7,2.07,5.06,469,
45,4.08,Derrick Henry,RB,TEN,43.8,5.1,3.01,5.11,426,
46,4.09,Cooper Kupp,WR,LAR,45.2,3.7,3.01,5.08,382,
47,4.11,Marlon Mack,RB,IND,46.5,5.7,3.05,6.01,471,
48,4.11,Kenny Golladay,WR,DET,47.1,3.8,3.1,6.06,347,
49,4.11,Deshaun Watson,QB,HOU,47.1,7.1,2.1,6.04,273,
50,4.12,James White,RB,NE,48.1,6.2,3.08,6.01,419,
51,5.01,T.Y. Hilton,WR,IND,49,4.5,3.03,5.12,343,
52,5.04,Tyler Boyd,WR,CIN,51.5,4.2,4.05,6.09,423,
53,5.04,Duke Johnson,RB,HOU,51.7,5.8,3.08,6.12,453,
54,5.04,Josh Gordon,WR,SEA,52.1,4.8,2.12,6.07,434,
55,5.06,Calvin Ridley,WR,ATL,53.5,5.2,4.01,6.08,346,
56,5.06,O.J. Howard,TE,TB,54.1,5.5,3.12,6.1,268,
57,5.08,Phillip Lindsay,RB,DEN,55.6,6.2,1.01,7.02,507,
58,5.08,Aaron Rodgers,QB,GB,55.7,7.6,1.01,6.09,249,
59,5.09,Evan Engram,TE,NYG,57.3,5.8,3.12,6.11,327,
60,5.1,Tevin Coleman,RB,SF,57.7,5.8,3.1,7.03,462,
61,5.11,Miles Sanders,RB,PHI,59,5,3.12,6.11,368,
62,5.12,Mike Williams,WR,LAC,60.3,5.9,4.09,7.05,464,
63,6.02,Austin Ekeler,RB,LAC,61.7,6.7,3.08,7.1,756,
64,6.03,Dede Westbrook,WR,JAX,62.7,6.1,4.06,7.07,580,
65,6.03,Baker Mayfield,QB,CLE,63.2,9.3,1.01,7.08,219,
66,6.03,Hunter Henry,TE,LAC,63.3,5.6,4.01,7.12,374,
67,6.04,A.J. Green,WR,CIN,63.8,6.4,4.01,7.09,356,
68,6.05,Jarvis Landry,WR,CLE,64.8,6.9,4.02,8.03,420,
69,6.07,D.J. Moore,WR,CAR,67.2,6.6,4.11,8.03,408,
70,6.09,Matt Ryan,QB,ATL,69.2,6.9,4.06,7.1,174,
71,6.1,Derrius Guice,RB,WAS,69.8,7.4,3.04,9.04,540,
72,6.11,Jared Cook,TE,NO,70.6,6.2,4.04,8.07,206,
73,6.11,Tarik Cohen,RB,CHI,71,7.6,3.12,9.01,398,
74,6.12,Alshon Jeffery,WR,PHI,71.9,6.9,4.12,8.1,392,
75,7.02,Drew Brees,QB,NO,73.9,8,1.03,8.07,202,
76,7.03,Carson Wentz,QB,PHI,74.6,6.4,4.01,8.06,249,
77,7.03,Vance McDonald,TE,PIT,75.1,6.9,5.01,8.12,247,
78,7.04,Robby Anderson,WR,NYJ,75.9,6.3,5.12,8.11,359,
79,7.04,Latavius Murray,RB,NO,76.4,7.9,4.07,8.1,476,
80,7.05,Allen Robinson,WR,CHI,76.6,7.5,4.08,8.11,392,
81,7.09,Emmanuel Sanders,WR,SF,80.6,7.6,4.03,9.03,373,
82,7.09,Jared Goff,QB,LAR,81.5,6.7,5.01,9.04,268,
83,7.1,Will Fuller,WR,HOU,81.6,7,5.1,9.03,311,
84,7.11,Kenyan Drake,RB,ARI,82.9,8,3.1,9.02,391,
85,7.11,Tony Pollard,RB,DAL,83.3,8.3,5.09,9.03,210,
86,7.11,David Njoku,TE,CLE,83.5,8.1,5.05,10.09,174,
87,7.12,Devin Singletary,RB,BUF,83.9,8.6,4.12,9.12,678,
88,8.01,Matt Breida,RB,SF,84.8,8.1,4.03,9.06,560,
89,8.02,Darwin Thompson,RB,KC,86,9.3,6.01,9.02,91,
90,8.04,Curtis Samuel,WR,CAR,88,7,6.02,9.09,423,
91,8.04,Russell Wilson,QB,SEA,88.4,11,3.05,10.08,203,
92,8.06,Christian Kirk,WR,ARI,89.9,7.9,6.01,10.03,373,
93,8.07,LeSean McCoy,RB,KC,90.8,8.9,5.02,10.04,479,
94,8.08,Sterling Shepard,WR,NYG,92.2,7.8,5.02,9.12,331,
95,8.08,Chicago Defense,DEF,CHI,92.4,8.7,2.12,10.03,312,
96,8.09,Darrell Henderson,RB,LAR,93,9.2,6.01,9.12,146,
97,8.1,Cam Newton,QB,CAR,94.4,9.9,2.12,10.07,295,
98,8.11,Rashaad Penny,RB,SEA,95.3,7.8,5.03,10.03,198,
99,8.11,Austin Hooper,TE,ATL,95.4,13.3,5.05,11.11,138,
100,8.12,Sammy Watkins,WR,KC,96.1,8,6.03,10.05,322,
101,9.02,Lamar Jackson,QB,BAL,97.6,10.3,3.06,10.1,358,
102,9.03,Geronimo Allison,WR,GB,98.7,8.2,6.08,10.05,315,
103,9.05,Marquez Valdes-Scantling,WR,GB,100.6,8.6,6.12,11.03,341,
104,9.05,Kareem Hunt,RB,CLE,100.8,11.9,4.12,11.06,165,
105,9.05,James Washington,WR,PIT,101.3,8.3,6.1,10.11,330,
106,9.08,Jordan Howard,RB,PHI,103.7,9,6.12,11.09,157,
107,9.09,Jameis Winston,QB,TB,105.1,8.4,7.06,11.08,298,
108,9.09,Marvin Jones,WR,DET,105.3,7.6,7.05,11.01,239,
109,9.1,LA Rams Defense,DEF,LAR,105.6,8.9,3.01,10.11,134,
110,9.11,Larry Fitzgerald,WR,ARI,106.5,9.5,6.06,11.08,222,
111,9.11,Ben Roethlisberger,QB,PIT,106.8,9.1,6.07,11.06,367,
112,9.12,Royce Freeman,RB,DEN,108.1,8.3,6.01,12.05,203,
113,10.01,Jacksonville Defense,DEF,JAX,109.3,11.9,5.06,11.1,145,
