ADP,Overall,Name,Position,Team,Times Drafted,StdDev,High,Low,Bye
1.02,1.5,Justin Jefferson,WR,MIN,1461,0.7,1,5,13
1.02,1.8,Christian McCaffrey,RB,SF,1055,0.9,1,5,9
1.03,3.5,Ja'Marr Chase,WR,CIN,1404,1.2,1,9,7
1.05,5.0,Austin Ekeler,RB,LAC,1583,2.0,1,11,5
1.06,5.8,Travis Kelce,TE,KC,1445,1.8,1,19,10
1.06,6.5,Cooper Kupp,WR,LAR,1088,1.9,1,15,10
1.07,6.9,Tyreek Hill,WR,MIA,1844,2.7,1,17,10
1.09,8.9,Saquon Barkley,RB,NYG,1649,2.2,3,16,13
1.10,10.1,Bijan Robinson,RB,ATL,1680,4.3,1,21,11
1.11,10.7,Stefon Diggs,WR,BUF,1499,2.7,3,18,13
2.01,12.6,Nick Chubb,RB,CLE,2190,3.6,3,23,5
2.01,12.7,Davante Adams,WR,LV,952,2.5,6,21,13
2.03,14.7,A.J. Brown,WR,PHI,1511,3.8,4,24,10
2.03,15.1,Amon-Ra St. Brown,WR,DET,1484,2.9,7,24,9
2.03,15.2,Tony Pollard,RB,DAL,1503,2.9,7,25,7
2.03,15.4,CeeDee Lamb,WR,DAL,1261,4.4,5,29,7
2.06,17.7,Jonathan Taylor,RB,IND,680,5.5,3,32,11
2.06,18.0,Derrick Henry,RB,TEN,1816,3.6,8,29,7
2.08,20.0,Garrett Wilson,WR,NYJ,1691,4.6,7,33,7
2.09,21.2,Josh Jacobs,RB,LV,927,5.0,8,35,13
2.10,22.0,Rhamondre Stevenson,RB,NE,1090,3.3,13,34,11
2.10,22.4,Jaylen Waddle,WR,MIA,1390,4.1,12,35,10
2.12,23.9,Patrick Mahomes,QB,KC,1655,5.2,10,37,10
3.03,26.8,Najee Harris,RB,PIT,1327,6.0,11,42,6
3.03,27.4,Mark Andrews,TE,BAL,1089,5.4,13,41,13
3.04,27.8,Chris Olave,WR,NO,1530,6.1,11,43,11
3.05,28.7,Tee Higgins,WR,CIN,958,4.3,17,41,7
3.05,29.4,DeVonta Smith,WR,PHI,1232,7.1,14,47,10
3.06,29.9,Joe Mixon,RB,CIN,1502,4.5,18,45,7
3.07,31.1,Josh Allen,QB,BUF,1376,6.1,15,48,13
3.07,31.3,Breece Hall,RB,NYJ,875,6.3,14,51,7
3.08,31.6,Travis Etienne,RB,JAX,1460,7.9,11,52,9
3.08,31.8,D.K. Metcalf,WR,SEA,1331,4.8,19,48,5
3.10,34.3,Jalen Hurts,QB,PHI,1703,7.7,14,63,10
3.11,34.7,Keenan Allen,WR,LAC,1002,7.3,17,51,5
3.11,34.8,Deebo Samuel,WR,SF,1407,5.1,21,52,9
3.11,35.4,Aaron Jones,RB,GB,1224,6.1,19,50,6
4.04,39.6,Amari Cooper,WR,CLE,1111,7.6,19,65,5
4.06,41.7,Chris Godwin,WR,TB,326,4.2,30,63,5
4.07,42.7,T.J. Hockenson,TE,MIN,1091,7.0,24,64,13
4.09,45.3,Kenneth Walker III,RB,SEA,1391,11.6,15,70,5
4.11,47.1,Jahmyr Gibbs,RB,DET,2189,9.1,23,72,9
4.12,48.2,DeAndre Hopkins,WR,TEN,1324,9.1,24,76,7
5.01,48.7,D.J. Moore,WR,CHI,1151,5.4,34,71,13
5.02,49.6,Joe Burrow,QB,CIN,1095,8.9,26,76,7
5.02,49.8,Lamar Jackson,QB,BAL,1087,13.0,15,80,13
5.03,50.7,Alexander Mattison,RB,MIN,1780,13.1,21,80,13
5.03,50.8,Terry McLaurin,WR,WAS,1045,7.3,31,73,14
5.05,53.3,Dameon Pierce,RB,HOU,1313,12.0,22,78,7
5.06,54.1,Michael Pittman Jr.,WR,IND,495,7.6,34,80,11
5.06,54.2,Diontae Johnson,WR,PIT,802,5.4,40,73,6
5.06,54.3,George Kittle,TE,SF,1428,8.9,31,77,9
5.06,54.4,Miles Sanders,RB,CAR,1653,6.7,36,74,7
5.07,55.0,J.K. Dobbins,RB,BAL,804,8.1,34,78,13
5.08,55.6,James Conner,RB,ARI,898,10.1,29,80,14
5.08,56.2,Jerry Jeudy,WR,DEN,1302,13.5,28,89,9
5.09,56.6,Calvin Ridley,WR,JAX,2641,22.1,1,101,9
5.09,56.9,Cam Akers,RB,LAR,930,8.2,35,77,10
5.12,59.5,Tyler Lockett,WR,SEA,741,9.4,35,81,5
5.12,59.8,Justin Herbert,QB,LAC,1353,10.4,32,84,5
5.12,60.1,David Montgomery,RB,DET,734,20.0,22,95,9
5.12,60.4,Drake London,WR,ATL,851,18.4,12,93,11
6.01,60.6,D'Andre Swift,RB,PHI,987,17.0,26,93,10
6.01,60.6,Mike Evans,WR,TB,817,7.6,40,82,5
6.02,61.6,Javonte Williams,RB,DEN,1233,14.8,31,90,9
6.02,62.1,Brandon Aiyuk,WR,SF,1004,10.5,34,87,9
6.03,62.5,Justin Fields,QB,CHI,1058,12.9,28,91,13
6.03,63.0,Mike Williams,WR,LAC,969,6.9,45,84,5
6.03,63.5,Christian Kirk,WR,JAX,804,8.5,41,86,9
6.04,64.3,Kyle Pitts,TE,ATL,780,11.7,33,100,11
6.05,64.9,Rachaad White,RB,TB,945,6.5,47,84,5
6.06,65.5,Marquise Brown,WR,ARI,564,17.1,21,99,14
6.06,65.9,Dallas Goedert,TE,PHI,983,8.1,44,94,10
6.06,66.0,Alvin Kamara,RB,NO,1377,10.0,40,87,11
6.08,67.9,Darren Waller,TE,NYG,1530,8.0,47,89,13
6.09,69.2,Christian Watson,WR,GB,1193,18.3,21,101,6
6.12,71.8,Isiah Pacheco,RB,KC,1138,9.8,46,98,10
7.01,73.4,Trevor Lawrence,QB,JAX,1107,14.6,35,106,9
7.05,77.3,Dalvin Cook,RB,MIN,801,24.8,25,118,13
7.07,78.6,James Cook,RB,BUF,1449,10.0,52,99,13
7.08,80.3,Dak Prescott,QB,DAL,403,13.9,44,114,7
7.10,82.3,Brandin Cooks,WR,DAL,942,7.1,63,102,7
7.11,82.9,Antonio Gibson,RB,WAS,607,9.2,58,110,14
7.11,83.1,Treylon Burks,WR,TEN,469,10.2,56,110,7
7.12,83.8,Courtland Sutton,WR,DEN,767,7.0,65,118,9
8.01,85.3,George Pickens,WR,PIT,1618,14.2,48,122,6
8.03,87.0,A.J. Dillon,RB,GB,622,13.2,52,117,6
8.04,88.5,Deshaun Watson,QB,CLE,751,15.8,47,121,5
8.05,88.9,Kadarius Toney,WR,KC,743,16.9,45,127,10
8.07,90.5,Pat Freiermuth,TE,PIT,851,10.7,62,149,6
8.07,91.3,Jahan Dotson,WR,WAS,805,16.2,51,124,14
8.08,91.7,JuJu Smith-Schuster,WR,NE,550,7.6,71,116,11
8.08,91.7,Jordan Addison,WR,MIN,492,28.5,42,180,13
8.09,92.9,Damien Harris,RB,BUF,365,15.8,51,137,13
8.09,93.0,Brian Robinson Jr.,RB,WAS,1044,8.6,70,119,14
8.09,93.0,Rashaad Penny,RB,PHI,895,9.5,68,116,10
8.09,93.4,Gabriel Davis,WR,BUF,1020,9.7,68,122,13
8.10,94.0,Rashod Bateman,WR,BAL,399,7.6,74,120,13
8.10,94.5,Jamaal Williams,RB,NO,993,12.0,63,124,11
8.12,95.8,Tua Tagovailoa,QB,MIA,806,14.3,58,126,10
9.01,96.7,Evan Engram,TE,JAX,1200,11.7,66,145,9
9.01,97.0,Jaxon Smith-Njigba,WR,SEA,536,31.7,47,191,5
9.04,99.9,Quentin Johnston,WR,LAC,361,22.4,64,193,5
9.05,100.6,Jakobi Meyers,WR,LV,204,7.9,80,120,13
9.05,100.6,Elijah Moore,WR,CLE,901,9.8,75,127,5
9.05,101.4,Michael Thomas,WR,NO,1288,13.7,65,147,11
9.07,102.5,David Njoku,TE,CLE,571,11.4,72,144,5
