,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,-additional
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%▼,-9999
1,Joe Burrow,CIN,25,QB,16,16,366,520,4611,8,12,2,23,4.5%,54,10.7%,419,82.8%,BurrJo01
2,Jimmy Garoppolo,SFO,30,QB,15,15,301,441,3810,5,11,3,23,5.4%,55,12.9%,348,81.5%,GaroJi00
3,Justin Herbert*,LAC,23,QB,17,17,443,672,5014,17,14,1,38,5.8%,96,14.6%,527,80.2%,HerbJu00
4,Tua Tagovailoa,MIA,23,QB,13,12,263,388,2653,1,6,1,17,4.5%,62,16.3%,305,80.1%,TagoTu00
5,Jared Goff,DET,27,QB,14,14,332,494,3245,5,21,5,21,4.5%,77,16.5%,375,80.1%,GoffJa00
6,Kyler Murray*,ARI,24,QB,14,14,333,481,3787,10,19,0,16,3.5%,65,14.1%,367,79.4%,MurrKy00
7,Ryan Tannehill,TEN,33,QB,17,17,357,531,3734,10,9,1,23,4.4%,83,15.9%,411,78.9%,TannRy00
8,Jalen Hurts,PHI,23,QB,15,15,265,432,3144,11,22,2,22,5.4%,57,14.0%,319,78.2%,HurtJa00
9,Matt Ryan,ATL,36,QB,17,17,375,560,3968,9,15,1,21,3.9%,79,14.5%,425,78.1%,RyanMa00
10,Teddy Bridgewater,DEN,29,QB,14,14,285,426,3052,9,20,0,13,3.2%,68,16.7%,316,77.8%,BridTe00
11,Patrick Mahomes*,KAN,26,QB,17,17,436,658,4839,7,32,0,31,5.0%,118,18.8%,485,77.5%,MahoPa00
12,Derek Carr,LVR,30,QB,17,17,428,626,4804,10,21,3,26,4.3%,94,15.6%,466,77.4%,CarrDe02
13,Dak Prescott,DAL,28,QB,16,16,410,596,4449,10,11,0,28,4.8%,86,14.7%,452,77.3%,PresDa01
14,Aaron Rodgers*+,GNB,38,QB,16,16,366,531,4115,8,18,3,13,2.5%,93,18.2%,394,77.3%,RodgAa00
15,Kirk Cousins*,MIN,33,QB,16,16,372,561,4221,4,13,5,22,4.1%,93,17.1%,418,77.0%,CousKi00
16,Matthew Stafford,LAR,33,QB,17,17,404,601,4886,9,3,0,31,5.2%,111,18.6%,458,76.6%,StafMa00
17,Russell Wilson*,SEA,33,QB,14,14,259,400,3113,3,13,0,16,4.1%,72,18.6%,296,76.5%,WilsRu00
18,Daniel Jones,NYG,24,QB,11,11,232,361,2428,5,12,1,19,5.5%,64,18.4%,265,76.1%,JoneDa05
19,Mac Jones*,NWE,23,QB,17,17,352,521,3801,9,12,1,16,3.1%,90,17.7%,386,76.0%,JoneMa05
20,Davis Mills,HOU,23,QB,13,11,263,394,2664,11,13,2,12,3.2%,66,17.4%,287,75.7%,MillDa02
21,Taylor Heinicke,WAS,28,QB,16,15,321,494,3419,9,8,3,18,3.7%,80,16.6%,365,75.6%,HeinTa00
22,Ben Roethlisberger,PIT,39,QB,16,16,390,605,3740,13,6,2,30,5.0%,110,18.4%,451,75.5%,RoetBe00
23,Tom Brady*,TAM,44,QB,17,17,485,719,5316,8,13,2,32,4.5%,127,18.0%,531,75.4%,BradTo00
24,Josh Allen,BUF,25,QB,17,17,409,646,4407,16,32,0,35,5.7%,107,17.4%,459,74.8%,AlleJo02
25,Sam Darnold,CAR,24,QB,12,11,243,406,2527,6,22,0,27,7.0%,71,18.5%,286,74.5%,DarnSa00
26,Carson Wentz,IND,29,QB,17,17,322,516,3563,8,17,0,25,5.0%,94,18.8%,368,73.7%,WentCa00
27,Baker Mayfield,CLE,26,QB,14,14,253,418,3010,11,14,2,20,5.0%,84,20.9%,296,73.6%,MayfBa00
28,Lamar Jackson*,BAL,24,QB,12,12,246,382,2882,9,7,4,18,4.9%,73,19.7%,272,73.3%,JackLa00
29,Justin Fields,CHI,22,QB,12,10,159,270,1870,3,8,2,18,6.9%,57,21.9%,189,72.7%,FielJu00
30,Jacoby Brissett,MIA,29,qb,11,5,141,225,1283,1,6,1,17,7.8%,36,16.5%,158,72.5%,BrisJa00
31,Andy Dalton,CHI,34,qb,8,6,149,236,1515,7,8,1,9,4.0%,39,17.2%,162,71.4%,DaltAn00
32,Trevor Lawrence,JAX,22,QB,17,17,359,602,3641,8,18,3,33,5.7%,119,20.5%,414,71.3%,LawrTr00
33,Zach Wilson,NYJ,22,QB,13,13,213,383,2334,5,16,1,25,6.8%,87,23.8%,256,69.9%,WilsZa00
