Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,-9999
1,Deshaun Watson*,HOU,25,QB,16,16,382,544,4823,5,19,2,19,3.6%,79,15.1%,420,80.3%,WatsDe00
2,Patrick Mahomes*,KAN,25,QB,15,15,390,588,4740,8,20,1,28,4.9%,100,17.6%,436,76.9%,MahoPa00
3,Tom Brady,TAM,43,QB,16,16,401,610,4633,4,13,4,31,5.2%,122,20.6%,438,73.9%,BradTo00
4,Matt Ryan,ATL,35,QB,16,16,407,626,4581,6,18,1,33,5.4%,89,14.7%,458,75.5%,RyanMa00
5,Josh Allen*,BUF,24,QB,16,16,396,572,4544,4,22,0,25,4.5%,88,16.0%,435,79.1%,AlleJo02
6,Justin Herbert,LAC,22,QB,15,15,396,595,4336,7,7,4,23,3.9%,105,18.0%,447,76.5%,HerbJu00
7,Aaron Rodgers*+,GNB,37,QB,16,16,372,526,4299,3,23,3,27,5.4%,69,13.8%,406,81.2%,RodgAa00
8,Kirk Cousins,MIN,32,QB,16,16,349,516,4265,11,27,3,18,3.7%,67,13.8%,395,81.3%,CousKi00
9,Russell Wilson*,SEA,32,QB,16,16,384,558,4212,4,24,1,27,5.1%,84,15.8%,424,79.5%,WilsRu00
10,Philip Rivers,IND,39,QB,16,16,369,543,4169,11,14,3,17,3.2%,84,16.0%,406,77.2%,RivePh00
11,Derek Carr,LVR,29,QB,16,16,348,517,4103,5,20,4,20,4.1%,79,16.0%,389,78.9%,CarrDe02
12,Matthew Stafford,DET,32,QB,16,16,339,528,4084,7,7,7,33,6.4%,94,18.3%,399,77.6%,StafMa00
13,Kyler Murray*,ARI,23,QB,16,16,375,558,3971,14,25,8,13,2.5%,88,16.8%,405,77.1%,MurrKy00
14,Jared Goff,LAR,26,QB,15,15,370,552,3952,6,24,2,27,5.1%,84,16.0%,413,78.5%,GoffJa00
15,Ryan Tannehill,TEN,32,QB,16,16,315,481,3819,8,19,0,20,4.3%,63,13.6%,357,77.3%,TannRy00
16,Ben Roethlisberger,PIT,38,QB,15,15,399,608,3803,13,2,0,39,6.4%,91,15.0%,463,76.4%,RoetBe00
17,Teddy Bridgewater,CAR,28,QB,15,15,340,492,3733,5,19,2,20,4.2%,61,13.0%,379,80.5%,BridTe00
18,Baker Mayfield,CLE,25,QB,16,16,305,486,3563,8,28,5,21,4.6%,85,18.8%,339,74.8%,MayfBa00
19,Daniel Jones,NYG,23,QB,14,14,280,448,2943,8,14,2,23,5.3%,76,17.6%,325,75.2%,JoneDa05
20,Drew Brees,NOR,41,QB,12,12,275,390,2942,3,7,2,21,5.5%,51,13.4%,308,80.8%,BreeDr00
21,Drew Lock,DEN,24,QB,13,13,254,443,2933,5,13,2,25,5.8%,98,22.9%,295,68.9%,LockDr00
22,Lamar Jackson,BAL,23,QB,15,15,242,376,2757,6,9,3,20,5.5%,64,17.6%,274,75.3%,JackLa00
23,Joe Burrow,CIN,24,QB,10,10,264,404,2688,4,8,3,19,4.8%,58,14.8%,296,75.3%,BurrJo01
24,Cam Newton,NWE,31,QB,15,15,242,368,2657,9,11,2,15,4.2%,70,19.7%,265,74.6%,NewtCa00
25,Carson Wentz,PHI,28,QB,12,12,251,437,2620,6,21,1,23,5.5%,90,21.7%,292,70.4%,WentCa00
26,Nick Mullens,SFO,25,QB,10,8,211,326,2437,7,6,0,17,5.3%,48,15.0%,241,75.3%,MullNi00
27,Gardner Minshew II,JAX,24,QB,9,8,216,327,2259,4,15,1,10,3.2%,58,18.6%,238,76.5%,MinsGa00
28,Sam Darnold,NYJ,23,QB,12,12,217,364,2208,7,21,3,14,4.1%,62,18.2%,244,71.8%,DarnSa00
29,Andy Dalton,DAL,33,QB,11,9,216,333,2170,5,14,0,21,6.6%,48,15.0%,250,78.4%,DaltAn00
30,Ryan Fitzpatrick,MIA,38,qb,9,7,183,267,2091,5,2,1,10,3.8%,37,14.0%,211,79.9%,FitzRy00
31,Mitchell Trubisky,CHI,26,QB,10,9,199,297,2055,1,4,0,9,3.1%,53,18.1%,222,75.8%,TrubMi00
32,Dak Prescott,DAL,27,qb,5,5,151,222,1856,1,3,1,13,6.0%,33,15.1%,168,77.1%,PresDa01
33,Nick Foles,CHI,31,qb,9,7,202,312,1852,5,11,1,9,3.0%,48,16.0%,229,76.3%,FoleNi00
34,Tua Tagovailoa,MIA,22,QB,10,9,186,290,1814,2,5,3,12,4.3%,53,18.8%,209,74.1%,TagoTu00
35,Alex Smith,WAS,36,QB,8,6,168,252,1582,4,12,0,8,3.3%,42,17.5%,183,76.3%,SmitAl03
36,Dwayne Haskins,WAS,23,qb,7,6,148,241,1439,5,4,0,12,5.1%,53,22.4%,165,69.6%,HaskDw00
37,Jimmy Garoppolo,SFO,29,qb,6,6,94,140,1096,1,0,0,9,6.4%,24,17.1%,109,77.9%,GaroJi00
38,Mike Glennon,JAX,31,qb,5,5,111,179,1072,3,5,3,7,4.1%,25,14.6%,123,71.9%,GlenMi00
39,Jalen Hurts,PHI,22,qb,15,4,77,148,1061,5,12,1,4,3.0%,36,26.7%,82,60.7%,HurtJa00
40,Taysom Hill,NOR,30,wr/qb,16,8,88,121,928,1,3,0,6,5.1%,16,13.6%,94,79.7%,HillTa00
41,Brandon Allen,CIN,28,qb,5,5,90,142,925,1,3,0,8,5.8%,23,16.5%,109,78.4%,AlleBr00
