,,,,,Games,Games,Passing,Passing,Passing,RPO,RPO,RPO,RPO,RPO,RPO,PlayAction,PlayAction,-additional
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,-9999
1,Deshaun Watson*,HOU,25,QB,16,16,382,544,4823,73,598,56,519,13,79,81,834,WatsDe00
2,Patrick Mahomes*,KAN,25,QB,15,15,390,588,4740,100,770,94,756,4,14,144,1068,MahoPa00
3,Tom Brady,TAM,43,QB,16,16,401,610,4633,15,110,14,110,1,0,110,1119,BradTo00
4,Matt Ryan,ATL,35,QB,16,16,407,626,4581,18,166,16,166,0,0,152,1432,RyanMa00
5,Josh Allen*,BUF,24,QB,16,16,396,572,4544,82,617,62,547,18,70,160,1501,AlleJo02
6,Justin Herbert,LAC,22,QB,15,15,396,595,4336,32,196,20,115,10,81,127,1140,HerbJu00
7,Aaron Rodgers*+,GNB,37,QB,16,16,372,526,4299,42,335,39,323,3,12,140,1160,RodgAa00
8,Kirk Cousins,MIN,32,QB,16,16,349,516,4265,4,62,3,60,1,2,127,1286,CousKi00
9,Russell Wilson*,SEA,32,QB,16,16,384,558,4212,42,284,33,238,8,46,124,1047,WilsRu00
10,Philip Rivers,IND,39,QB,16,16,369,543,4169,44,370,44,370,0,0,86,719,RivePh00
11,Derek Carr,LVR,29,QB,16,16,348,517,4103,27,163,22,130,4,33,87,587,CarrDe02
12,Matthew Stafford,DET,32,QB,16,16,339,528,4084,27,273,27,273,0,0,105,959,StafMa00
13,Kyler Murray*,ARI,23,QB,16,16,375,558,3971,171,1395,121,1107,43,288,107,877,MurrKy00
14,Jared Goff,LAR,26,QB,15,15,370,552,3952,2,11,0,0,2,11,172,1384,GoffJa00
15,Ryan Tannehill,TEN,32,QB,16,16,315,481,3819,17,153,9,54,8,99,158,1541,TannRy00
16,Ben Roethlisberger,PIT,38,QB,15,15,399,608,3803,26,85,25,85,1,0,48,234,RoetBe00
17,Teddy Bridgewater,CAR,28,QB,15,15,340,492,3733,22,114,20,107,2,7,90,637,BridTe00
18,Baker Mayfield,CLE,25,QB,16,16,305,486,3563,7,63,5,60,2,3,121,1141,MayfBa00
19,Daniel Jones,NYG,23,QB,14,14,280,448,2943,46,367,28,208,17,159,101,717,JoneDa05
20,Drew Brees,NOR,41,QB,12,12,275,390,2942,5,34,5,34,0,0,55,430,BreeDr00
21,Drew Lock,DEN,24,QB,13,13,254,443,2933,25,147,21,117,4,30,92,774,LockDr00
22,Lamar Jackson,BAL,23,QB,15,15,242,376,2757,157,1301,75,742,76,559,87,767,JackLa00
23,Joe Burrow,CIN,24,QB,10,10,264,404,2688,38,185,34,170,2,15,78,503,BurrJo01
24,Cam Newton,NWE,31,QB,15,15,242,368,2657,36,145,13,61,23,84,99,863,NewtCa00
25,Carson Wentz,PHI,28,QB,12,12,251,437,2620,64,253,51,210,8,43,103,583,WentCa00
26,Nick Mullens,SFO,25,QB,10,8,211,326,2437,13,74,12,74,0,0,86,863,MullNi00
27,Gardner Minshew II,JAX,24,QB,9,8,216,327,2259,18,131,14,127,3,4,47,363,MinsGa00
28,Sam Darnold,NYJ,23,QB,12,12,217,364,2208,8,48,5,37,3,11,63,542,DarnSa00
29,Andy Dalton,DAL,33,QB,11,9,216,333,2170,21,177,17,154,3,23,61,414,DaltAn00
30,Ryan Fitzpatrick,MIA,38,qb,9,7,183,267,2091,16,109,14,109,1,0,41,341,FitzRy00
31,Mitchell Trubisky,CHI,26,QB,10,9,199,297,2055,31,213,25,200,6,13,96,798,TrubMi00
32,Dak Prescott,DAL,27,qb,5,5,151,222,1856,34,263,32,261,1,2,58,582,PresDa01
33,Nick Foles,CHI,31,qb,9,7,202,312,1852,32,238,30,238,0,0,59,468,FoleNi00
34,Tua Tagovailoa,MIA,22,QB,10,9,186,290,1814,32,208,28,195,4,13,78,466,TagoTu00
35,Alex Smith,WAS,36,QB,8,6,168,252,1582,22,122,22,122,0,0,48,365,SmitAl03
36,Dwayne Haskins,WAS,23,qb,7,6,148,241,1439,40,231,35,224,3,7,36,160,HaskDw00
37,Jimmy Garoppolo,SFO,29,qb,6,6,94,140,1096,10,57,8,57,0,0,40,385,GaroJi00
38,Mike Glennon,JAX,31,qb,5,5,111,179,1072,3,6,2,6,0,0,26,267,GlenMi00
39,Jalen Hurts,PHI,22,qb,15,4,77,148,1061,40,338,15,198,22,140,19,236,HurtJa00
40,Taysom Hill,NOR,30,wr/qb,16,8,88,121,928,11,75,4,44,7,31,26,253,HillTa00
41,Brandon Allen,CIN,28,qb,5,5,90,142,925,20,183,18,180,1,3,35,236,AlleBr00
42,Joe Flacco,NYJ,35,qb,5,4,74,134,864,4,9,4,9,0,0,28,213,FlacJo00
43,C.J. Beathard,SFO,27,qb,6,2,66,104,787,6,34,4,15,2,19,16,96,BeatC.00
44,Jake Luton,JAX,24,qb,3,3,60,110,624,4,25,4,25,0,0,18,108,LutoJa00
45,Kyle Allen,WAS,24,qb,4,4,60,87,610,11,77,8,75,1,2,29,234,AlleKy00
46,Jeff Driskel,DEN,27,qb,3,1,35,64,432,3,38,3,38,0,0,6,55,DrisJe00
47,Colt McCoy,NYG,34,qb,4,2,40,66,375,3,3,3,3,0,0,14,85,McCoCo00
48,P.J. Walker,CAR,25,qb,4,1,32,56,368,3,20,2,20,0,0,8,21,WalkPh00
49,Mason Rudolph,PIT,25,qb,5,1,25,43,324,1,7,1,7,0,0,2,0,RudoMa00
50,Brett Rypien,DEN,24,qb,3,1,27,40,295,1,0,1,0,0,0,5,54,RypiBr00
51,Chase Daniel,DET,34,qb,4,0,29,43,264,1,21,1,21,0,0,5,78,DaniCh00
52,Jarrett Stidham,NWE,24,qb,5,0,22,44,256,3,24,2,23,1,1,10,56,StidJa00
53,Chad Henne,KAN,35,qb,3,1,28,38,248,3,-1,1,-2,1,1,9,30,HennCh01
54,Garrett Gilbert,DAL,29,qb,1,1,21,38,243,1,0,1,0,0,0,2,16,GilbGa01
55,John Wolford,LAR,25,qb,1,1,22,38,231,8,67,5,35,3,32,7,35,WolfJo00
56,Marcus Mariota,LVR,27,qb,1,0,17,28,226,3,56,0,0,3,56,5,34,MariMa01
57,Ben DiNucci,DAL,24,qb,3,1,23,43,219,4,2,2,0,2,2,6,14,DiNuBe00
58,Tyrod Taylor,LAC,31,qb,2,1,16,30,208,5,24,3,23,2,1,7,46,TaylTy00
59,Matt Barkley,BUF,30,qb,5,0,11,21,197,2,10,2,10,0,0,7,66,BarkMa00
60,Ryan Finley,CIN,26,qb,5,1,17,32,164,5,36,0,0,5,36,1,0,FinlRy00
61,Blaine Gabbert,TAM,31,qb,4,0,9,16,143,0,0,0,0,0,0,2,30,GabbBl00
62,Taylor Heinicke,WAS,27,qb,1,0,12,19,137,0,0,0,0,0,0,0,0,HeinTa00
63,Brian Hoyer,NWE,35,qb,1,1,15,24,130,3,59,3,59,0,0,9,83,HoyeBr00
64,Chris Streveler,ARI,25,qb,5,0,11,16,105,3,24,3,24,0,0,5,37,StreCh00
65,Trace McSorley,BAL,25,qb,2,0,3,10,90,5,2,2,0,3,2,2,0,McSoTr00
66,Jameis Winston,NOR,26,qb,4,0,7,11,75,0,0,0,0,0,0,3,31,WinsJa00
67,Jarvis Landry,CLE,28,WR,15,14,4,4,74,0,0,0,0,0,0,1,6,LandJa00
68,David Blough,DET,25,qb,1,0,6,10,49,0,0,0,0,0,0,1,20,BlouDa00
69,Case Keenum,CLE,32,qb,2,0,5,10,46,0,0,0,0,0,0,1,13,KeenCa00
70,Jamison Crowder,NYJ,27,WR,12,7,1,1,43,0,0,0,0,0,0,1,43,CrowJa00
71,Jakobi Meyers,NWE,24,wr,14,9,2,2,43,0,0,0,0,0,0,0,0,MeyeJa01
72,Robert Griffin III,BAL,30,qb,4,1,8,14,42,4,48,0,0,4,48,4,8,GrifRo01
73,Russell Gage,ATL,24,wr,16,8,1,2,39,0,0,0,0,0,0,0,0,GageRu00
74,Julian Edelman,NWE,34,wr,6,1,2,2,38,0,0,0,0,0,0,1,22,EdelJu00
75,Geno Smith,SEA,30,qb,1,0,4,5,33,3,12,1,14,2,-2,1,14,SmitGe00
76,Lynn Bowden Jr.,MIA,23,wr,10,4,1,2,32,1,8,0,0,1,8,1,32,BowdLy00
77,Nate Sudfeld,PHI,27,qb,1,0,5,12,32,1,0,1,0,0,0,2,0,SudfNa00
78,Zay Jones,LVR,25,wr,16,2,1,1,29,0,0,0,0,0,0,0,0,JoneZa00
79,Joseph Charlton,CAR,23,p,16,0,1,1,28,0,0,0,0,0,0,0,0,CharJo01
80,Logan Thomas,WAS,29,TE,16,15,1,1,28,0,0,0,0,0,0,1,28,ThomLo00
81,Andy Lee,ARI,38,p,16,0,1,1,26,0,0,0,0,0,0,0,0,LeexAn20
82,Nathan Peterman,LVR,26,qb,1,0,3,5,25,0,0,0,0,0,0,1,4,PeteNa00
83,Cedrick Wilson Jr.,DAL,25,wr,16,0,2,2,23,1,12,1,12,0,0,0,0,WilsCe01
84,Cole Beasley,BUF,31,wr,15,10,1,1,20,1,20,1,20,0,0,0,0,BeasCo00
85,A.J. McCarron,HOU,30,qb,2,0,1,1,20,0,0,0,0,0,0,0,0,McCaA.00
86,Odell Beckham Jr.,CLE,28,WR,7,7,1,1,18,0,0,0,0,0,0,0,0,BeckOd00
87,Tyler Bray,CHI,29,qb,1,0,1,5,18,0,0,0,0,0,0,0,0,BrayTy00
88,Golden Tate,NYG,32,wr,12,4,1,2,18,0,0,0,0,0,0,0,0,TateGo00
89,Jacoby Brissett,IND,28,qb,11,0,2,8,17,4,8,0,0,3,8,2,4,BrisJa00
90,Tyler Boyd,CIN,26,wr,15,8,1,2,16,1,0,1,0,0,0,1,0,BoydTy00
91,Tyler Huntley,BAL,22,qb,2,0,3,5,15,6,23,1,-1,5,24,1,-1,HuntTy01
92,Sam Koch,BAL,38,p,15,0,1,1,15,0,0,0,0,0,0,0,0,KochSa20
93,Greg Ward,PHI,25,wr,16,10,1,1,15,0,0,0,0,0,0,0,0,WardGr02
94,Kendall Hinton,DEN,23,wr,1,0,1,9,13,4,5,3,0,1,5,4,0,HintKe00
95,Jaquan Johnson,BUF,25,db,14,0,1,1,13,0,0,0,0,0,0,0,0,JohnJa11
96,Tommy Townsend,KAN,24,p,16,0,1,1,13,0,0,0,0,0,0,0,0,TownTo01
97,Isaiah McKenzie,BUF,25,wr,16,7,1,1,12,0,0,0,0,0,0,0,0,McKeIs00
98,Logan Woodside,TEN,25,qb,6,0,1,3,7,0,0,0,0,0,0,0,0,WoodLo00
99,Travis Kelce*+,KAN,31,TE,15,15,1,2,4,1,0,1,0,0,0,0,0,KelcTr00
100,Easton Stick,LAC,25,qb,1,0,1,1,4,0,0,0,0,0,0,1,4,SticEa00
101,Joshua Dobbs,PIT,25,qb,1,0,4,5,2,0,0,0,0,0,0,0,0,DobbJo00
102,Jamal Agnew,DET,25,db,14,2,0,1,0,0,0,0,0,0,0,0,0,AgneJa00
103,Keenan Allen*,LAC,28,WR,14,13,0,1,0,0,0,0,0,0,0,0,0,AlleKe00
104,Randall Cobb,HOU,30,wr,10,2,0,1,0,1,0,1,0,0,0,1,0,CobbRa00
105,Riley Dixon,NYG,27,p,16,0,0,1,0,0,0,0,0,0,0,0,0,DixoRi00
106,Alex Erickson,CIN,28,wr,16,2,0,1,0,0,0,0,0,0,0,0,0,EricAl01
107,Chris Jones,DAL,31,p,8,0,0,1,0,0,0,0,0,0,0,0,0,JoneCh02
108,Brett Kern,TEN,34,p,13,0,0,1,0,0,0,0,0,0,0,0,0,KernBr20
109,D.J. Moore,CAR,23,WR,15,14,0,1,0,1,0,1,0,0,0,1,0,MoorD.00
110,Zach Pascal,IND,26,WR,16,14,0,1,0,0,0,0,0,0,0,0,0,PascZa00
111,Sammy Watkins,KAN,27,WR,10,9,0,1,0,0,0,0,0,0,0,0,0,WatkSa00
112,Isaiah Wright,WAS,23,wr,14,6,0,1,0,1,6,0,0,1,6,0,0,WrigIs01
