player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Creed Humphrey,59996,C,KC,21,0,16,74.3,4,10,866,100.0,100.0,98.7,2,18,4,923,923,74.4,2,5,420,100.0,100.0,98.5,10,3,458,458
Trey Smith,62960,G,KC,21,2,16,68.1,5,36,855,100.0,100.0,97.4,7,43,2,912,912,55.8,5,29,417,100.0,100.0,95.4,36,2,455,455
Jawaan Taylor,41665,T,KC,21,3,16,64.6,12,42,852,99.9,99.9,96.2,12,59,5,909,910,60.0,9,33,415,100.0,100.0,94.2,45,3,453,453
Joe Thuney,10712,G,KC,19,0,16,84.5,6,27,759,100.0,100.0,97.6,1,35,2,809,809,72.7,5,24,367,100.0,100.0,95.5,31,2,401,401
Terence Steele,39461,T,DAL,18,1,9,48.9,14,34,754,100.0,100.0,95.8,2,56,8,809,809,35.5,12,28,313,100.0,100.0,91.4,47,7,341,341
Penei Sewell,81788,T,DET,20,0,11,79.2,6,18,757,99.7,99.7,98.3,4,25,1,794,796,74.4,6,11,343,100.0,100.0,97.2,18,1,356,356
Cody Mauch,66637,G,TB,19,0,30,52.1,7,42,730,100.0,100.0,95.5,2,57,8,779,779,42.9,5,34,338,100.0,100.0,92.2,46,7,363,363
Robert Hainsey,59980,C,TB,19,1,30,57.3,2,26,730,100.0,100.0,97.4,3,33,5,779,779,57.2,1,14,338,100.0,100.0,96.9,18,3,363,363
Luke Goedeke,77548,T,TB,19,3,30,72.5,5,33,730,100.0,100.0,96.6,6,44,6,779,779,67.9,3,24,338,100.0,100.0,94.8,31,4,363,363
Sam Cosmi,60114,G,WAS,17,0,32,74.0,4,26,736,100.0,100.0,97.8,1,31,1,777,777,71.4,2,19,366,100.0,100.0,96.9,22,1,386,386
