player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Penei Sewell,81788,T,DET,20,1,11,91.5,100.0,251,43.1,251,95.1,1,100.0,583,583,92.8,100.0,277,47.5,277
Colton McKivitz,29314,T,SF,20,1,28,55.2,100.0,147,26.8,147,66.3,1,100.0,549,549,67.5,100.0,325,59.2,325
Jared Goff,10635,QB,DET,20,0,11,60.3,100.0,251,45.9,251,60.3,0,94.3,547,580,60.2,99.6,275,50.3,276
Jake Brendel,11117,C,SF,20,0,28,55.4,100.0,142,26.5,142,72.6,0,100.0,535,535,72.1,100.0,319,59.6,319
O'Cyrus Torrence,102821,G,BUF,19,0,4,57.6,100.0,288,54.1,288,58.1,1,100.0,532,532,57.6,100.0,171,32.1,171
Spencer Brown,42296,T,BUF,19,0,4,60.9,100.0,287,54.2,287,73.3,0,100.0,530,530,81.0,100.0,170,32.1,170
Graham Glasgow,10729,G,DET,19,0,11,74.3,100.0,220,41.7,220,82.1,1,100.0,527,527,85.6,100.0,257,48.8,257
Taylor Decker,10650,T,DET,18,0,11,67.4,100.0,221,42.3,221,73.9,1,100.0,523,523,73.1,100.0,254,48.6,254
John Simpson,41715,G,BLT,19,0,3,57.5,100.0,248,47.5,248,57.2,3,100.0,522,522,62.0,100.0,221,42.3,221
Connor McGovern,41714,G,BUF,19,0,4,42.9,100.0,280,55.6,280,44.5,1,100.0,504,504,54.7,100.0,162,32.1,162
Mitch Morse,9482,C,BUF,19,0,4,68.2,100.0,278,55.7,278,61.5,0,100.0,499,499,51.3,100.0,161,32.3,161
Wyatt Teller,46131,G,CLV,17,0,8,76.3,100.0,269,54.3,269,74.0,0,100.0,495,495,71.0,100.0,171,34.5,171
Matthew Bergeron,99658,G,ATL,17,0,2,45.2,100.0,151,30.5,151,59.6,0,100.0,495,495,71.0,100.0,315,63.6,315
Dion Dawkins,11818,T,BUF,19,2,4,70.3,100.0,276,55.8,276,66.9,3,100.0,495,495,66.4,100.0,159,32.1,159
Frank Ragnow,39137,C,DET,18,0,11,78.5,100.0,217,44.0,217,91.3,2,100.0,493,493,92.2,100.0,233,47.3,233
Josh Myers,59992,C,GB,19,0,12,63.1,100.0,175,35.9,175,53.2,2,100.0,488,488,50.5,100.0,265,54.3,265
Mason Cole,45547,C,PIT,18,0,25,55.4,100.0,163,33.5,163,63.3,2,100.0,486,486,68.0,100.0,234,48.1,234
Jordan Mailata,66916,T,PHI,18,1,24,55.7,100.0,134,27.7,134,83.9,2,100.0,483,483,92.7,100.0,262,54.2,262
Darnell Wright,98480,T,CHI,17,0,6,62.1,100.0,169,35.1,169,66.0,3,100.0,481,481,67.6,100.0,256,53.2,256
Steve Avila,77319,G,LA,18,0,26,57.7,100.0,284,59.3,284,56.0,0,100.0,479,479,50.7,100.0,162,33.8,162
Erik McCoy,37347,C,NO,17,1,20,79.5,100.0,182,38.2,182,89.4,1,100.0,477,477,85.1,100.0,231,48.4,231
Isaac Seumalo,10713,G,PIT,18,0,25,56.5,100.0,163,34.5,163,73.1,0,100.0,473,473,81.3,100.0,224,47.4,224
Amon-Ra St. Brown,84470,WR,DET,19,0,11,71.7,99.1,217,46.4,219,70.1,1,98.9,468,473,72.7,99.6,228,48.7,229
Jason Kelce,6343,C,PHI,18,0,24,72.1,100.0,130,27.8,130,84.3,0,100.0,467,467,83.8,100.0,250,53.5,250
Jake Matthews,8641,T,ATL,17,0,2,62.9,100.0,146,31.4,146,60.2,1,100.0,465,465,60.9,100.0,292,62.8,292
Terence Steele,39461,T,DAL,18,0,9,54.4,100.0,176,37.9,176,56.5,1,100.0,464,464,65.5,100.0,214,46.1,214
Brock Purdy,77672,QB,SF,19,0,28,60.0,100.0,137,29.6,137,60.0,0,94.1,463,492,60.0,99.7,292,63.1,293
Sam LaPorta,101690,TE,DET,20,0,11,39.6,99.5,196,42.3,197,53.9,0,99.8,463,464,63.5,100.0,214,46.2,214
Zach Tom,55443,T,GB,19,0,12,69.7,100.0,164,35.5,164,81.2,0,100.0,462,462,80.4,100.0,253,54.8,253
Trey Smith,62960,G,KC,21,0,16,65.2,100.0,164,35.5,164,76.2,3,100.0,462,462,75.7,100.0,244,52.8,244
Chris Lindstrom,46692,G,ATL,16,0,2,72.2,100.0,139,30.2,139,87.5,2,100.0,460,460,90.4,100.0,295,64.1,295
Coleman Shelton,39316,C,LA,18,0,26,64.3,100.0,275,59.9,275,74.6,1,100.0,459,459,87.3,100.0,157,34.2,157
Luke Goedeke,77548,T,TB,19,0,30,67.9,100.0,174,38.1,174,70.0,2,100.0,457,457,66.5,100.0,233,51.0,233
Robert Hainsey,59980,C,TB,19,0,30,47.6,100.0,174,38.1,174,50.3,1,100.0,457,457,58.6,100.0,233,51.0,233
Cody Mauch,66637,G,TB,19,1,30,44.1,100.0,174,38.1,174,37.6,3,100.0,457,457,39.3,100.0,233,51.0,233
Creed Humphrey,59996,C,KC,21,0,16,82.7,100.0,160,35.0,160,84.1,2,100.0,457,457,81.3,100.0,246,53.8,246
Tristan Wirfs,64818,T,TB,19,0,30,66.2,100.0,174,38.2,174,73.8,0,100.0,456,456,74.4,100.0,232,50.9,232
Quenton Nelson,12954,G,IND,17,0,14,63.8,100.0,147,32.3,147,63.4,1,100.0,455,455,66.1,100.0,286,62.9,286
Jawaan Taylor,41665,T,KC,21,0,16,52.8,100.0,161,35.5,161,42.6,2,100.0,454,454,45.8,100.0,240,52.9,240
Shaq Mason,9564,G,HST,19,0,13,68.9,100.0,176,38.8,176,65.8,2,100.0,454,454,62.4,100.0,227,50.0,227
Trent Williams,5529,T,SF,18,1,28,70.1,100.0,128,28.3,128,92.6,4,100.0,452,452,93.7,100.0,275,60.8,275
Kevin Zeitler,7032,G,BLT,17,0,3,53.4,100.0,219,48.6,219,62.4,0,100.0,451,451,72.7,100.0,186,41.2,186
Will Fries,41530,G,IND,17,0,14,63.2,100.0,148,33.0,148,59.7,2,100.0,448,448,61.6,100.0,282,62.9,282
Cesar Ruiz,59857,G,NO,16,0,20,49.1,100.0,178,39.8,178,46.3,0,100.0,447,447,47.7,100.0,209,46.8,209
Aaron Banks,59983,G,SF,17,1,28,42.2,100.0,112,25.2,112,55.8,3,100.0,445,445,63.1,100.0,267,60.0,267
Paris Johnson Jr.,129749,T,ARZ,17,2,1,53.8,100.0,208,46.7,208,55.1,3,100.0,445,445,56.6,100.0,191,42.9,191
Hjalte Froholdt,44959,C,ARZ,17,0,1,70.8,100.0,207,46.6,207,67.4,0,100.0,444,444,65.3,100.0,191,43.0,191
George Kittle,11901,TE,SF,19,0,28,62.0,100.0,118,26.6,118,81.1,0,99.8,443,444,75.4,99.6,275,62.1,276
Joel Bitonio,8670,G,CLV,16,0,8,56.9,100.0,240,54.3,240,60.8,1,100.0,442,442,75.8,100.0,155,35.1,155
Alec Pierce,78038,WR,IND,17,0,14,70.8,100.0,144,32.7,144,66.1,0,100.0,441,441,72.8,100.0,280,63.5,280
Jordan Love,40306,QB,GB,19,0,12,60.0,99.4,170,38.6,171,60.0,0,92.4,440,476,60.0,98.4,253,57.5,257
Will Hernandez,46180,G,ARZ,17,0,1,59.8,100.0,207,47.3,207,60.6,0,100.0,438,438,60.2,100.0,185,42.2,185
Dan Moore Jr.,60120,T,PIT,17,0,25,63.4,100.0,153,35.0,153,60.5,0,100.0,437,437,57.1,100.0,205,46.9,205
Ethan Pocic,11813,C,CLV,16,0,8,66.1,100.0,239,54.9,239,68.0,1,100.0,435,435,73.4,100.0,152,34.9,152
Cade Otton,61071,TE,TB,19,0,30,51.0,100.0,166,38.2,166,51.7,0,100.0,435,435,46.5,100.0,223,51.3,223
Landon Dickerson,41712,G,PHI,17,2,24,63.6,100.0,117,27.0,117,66.9,5,100.0,434,434,65.9,100.0,234,53.9,234
James Daniels,45576,G,PIT,16,0,25,49.4,100.0,153,35.3,153,58.6,0,100.0,434,434,65.9,100.0,204,47.0,204
Tyler Linderbaum,82291,C,BLT,17,0,3,71.8,100.0,206,47.6,206,78.6,2,100.0,433,433,76.4,100.0,188,43.4,188
DeVonta Smith,61100,WR,PHI,17,0,24,56.4,100.0,115,26.6,115,45.1,0,100.0,432,432,66.3,100.0,244,56.5,244
Aaron Brewer,46014,C,TEN,17,0,31,76.8,100.0,170,39.7,170,78.7,2,100.0,428,428,70.5,100.0,220,51.4,220
Garett Bolles,11775,T,DEN,17,0,10,68.4,100.0,154,36.3,154,64.3,1,100.0,424,424,70.6,100.0,197,46.5,197
Lloyd Cushenberry III,41924,C,DEN,17,0,10,70.1,100.0,153,36.2,153,72.4,0,100.0,423,423,78.0,100.0,197,46.6,197
Lane Johnson,7786,T,PHI,17,0,24,59.4,100.0,117,27.7,117,75.8,0,100.0,422,422,80.4,100.0,229,54.3,229
Baker Mayfield,46518,QB,TB,19,0,30,60.0,98.9,172,40.9,174,60.0,0,92.5,421,455,60.0,97.4,226,53.7,232
Josh Allen,46601,QB,BUF,19,0,4,60.0,90.6,250,59.5,276,60.0,0,85.0,420,494,60.0,98.1,155,36.9,158
Ben Powers,41482,G,DEN,17,0,10,52.6,100.0,154,36.8,154,59.7,1,100.0,419,419,63.5,100.0,197,47.0,197
Ikem Ekwonu,98286,T,CAR,17,0,5,74.8,100.0,168,40.2,168,77.0,0,100.0,418,418,77.2,100.0,230,55.0,230
Bradley Bozeman,27934,C,CAR,17,0,5,64.6,100.0,168,40.2,168,67.5,2,100.0,418,418,67.7,100.0,230,55.0,230
Taylor Moton,11819,T,CAR,17,0,5,55.4,100.0,168,40.2,168,65.6,0,100.0,418,418,69.5,100.0,230,55.0,230
Alaric Jackson,40972,T,LA,16,0,26,61.4,100.0,241,58.1,241,59.5,2,100.0,415,415,69.3,100.0,144,34.7,144
Luke Fortner,42028,C,JAX,17,0,15,49.1,100.0,206,49.8,206,40.0,1,100.0,414,414,38.3,100.0,159,38.4,159
Elgton Jenkins,46298,G,GB,17,0,12,56.1,100.0,150,36.2,150,56.4,1,100.0,414,414,58.5,100.0,227,54.8,227
Drew Dalman,52270,C,ATL,14,1,2,70.4,100.0,130,31.5,130,90.0,1,100.0,413,413,90.9,100.0,258,62.5,258
A.J. Brown,48327,WR,PHI,17,0,24,64.9,100.0,109,26.5,109,51.0,0,100.0,412,412,61.3,100.0,229,55.6,229
Anton Harrison,122929,T,JAX,17,1,15,35.5,100.0,205,49.9,205,45.8,2,100.0,411,411,59.1,100.0,157,38.2,157
Austin Jackson,60816,T,MIA,17,0,17,60.5,100.0,124,30.2,124,69.5,2,100.0,411,411,69.7,100.0,244,59.4,244
Spencer Burford,81920,G,SF,16,0,28,61.7,100.0,116,28.3,116,62.9,2,100.0,410,410,62.1,100.0,232,56.6,232
Dylan Parham,60953,G,LV,17,0,23,60.9,100.0,172,42.1,172,57.6,3,100.0,409,409,55.9,100.0,163,39.9,163
Matthew Stafford,4924,QB,LA,16,0,26,60.2,100.0,245,60.3,245,60.1,0,98.3,406,413,60.0,100.0,145,35.7,145
DJ Moore,48267,WR,CHI,17,0,6,67.0,99.3,144,35.6,145,64.1,0,99.0,405,409,62.8,100.0,223,55.1,223
Quinn Meinerz,112915,G,DEN,17,0,10,81.9,100.0,149,36.9,149,88.7,1,100.0,404,404,88.5,100.0,189,46.8,189
Jon Runyan,36661,G,GB,19,0,12,45.4,100.0,152,37.6,152,53.2,4,100.0,404,404,57.8,100.0,211,52.2,211
Joe Thuney,10712,G,KC,19,0,16,53.3,100.0,132,32.8,132,65.8,0,100.0,403,403,66.8,100.0,227,56.3,227
