,Age,Passing_TD%,Passing_Int%,Passing_1D,Passing_Lng,Passing_Y/A,Passing_AY/A,Passing_Y/C,Passing_Sk,Passing_Sk%,Passing_NY/A,Passing_ANY/A,Rushing_1D,Rushing_Lng,Rushing_Y/A_y,Fantasy_PPR
3,25,5.6,2.3,234.0,61.0,6.8,6.9,10.8,26.0,3.9,6.31,6.38,54.0,34.0,6.3,402.6
5,23,5.7,2.2,256.0,72.0,7.5,7.6,11.3,31.0,4.4,6.83,6.95,28.0,36.0,4.8,380.8
6,44,6.0,1.7,269.0,62.0,7.4,7.8,11.0,22.0,3.0,6.98,7.41,14.0,13.0,2.9,374.7
12,26,5.6,2.0,260.0,75.0,7.4,7.6,11.1,28.0,4.1,6.84,7.07,25.0,32.0,5.8,361.7
17,38,7.0,0.8,213.0,75.0,7.7,8.8,11.2,30.0,5.3,7.0,8.0,10.0,18.0,3.1,333.3
19,33,6.8,2.8,233.0,79.0,8.1,8.2,12.1,30.0,4.8,7.36,7.45,8.0,12.0,1.3,329.7
22,28,6.2,1.7,227.0,51.0,7.5,8.0,10.9,30.0,4.8,6.88,7.34,7.0,21.0,3.0,320.6
28,25,6.5,2.7,202.0,82.0,8.9,9.0,12.6,51.0,8.9,7.43,7.51,14.0,12.0,3.0,314.2
30,23,3.7,2.1,143.0,91.0,7.3,7.1,11.9,26.0,5.7,6.54,6.35,56.0,31.0,5.6,312.2
39,24,5.0,2.1,172.0,77.0,7.9,7.9,11.4,31.0,6.1,6.84,6.9,25.0,57.0,4.8,300.5
40,33,5.9,1.2,192.0,64.0,7.5,8.1,11.3,28.0,4.8,6.83,7.42,8.0,29.0,4.0,300.3
75,33,4.0,2.6,192.0,57.0,7.0,6.6,10.5,47.0,8.1,5.89,5.53,33.0,28.0,4.9,268.4
76,29,5.2,1.4,165.0,76.0,6.9,7.3,11.1,32.0,5.8,6.09,6.5,21.0,18.0,3.8,258.0
77,30,3.7,2.2,217.0,61.0,7.7,7.4,11.2,40.0,6.0,6.85,6.6,9.0,22.0,2.7,257.0
78,33,6.3,1.5,135.0,69.0,7.8,8.4,12.0,33.0,7.6,6.58,7.11,17.0,17.0,4.3,242.8
79,24,4.2,3.4,135.0,49.0,7.5,6.9,11.7,38.0,9.0,6.41,5.78,48.0,31.0,5.8,240.0
80,30,4.5,2.7,172.0,83.0,8.6,8.3,12.7,29.0,6.2,7.68,7.38,15.0,7.0,1.3,227.5
81,23,4.2,2.5,177.0,75.0,7.3,7.0,10.8,28.0,5.1,6.48,6.22,22.0,13.0,2.9,224.9
82,36,3.6,2.1,195.0,64.0,7.1,6.8,10.6,40.0,6.7,6.16,5.92,9.0,17.0,2.1,222.9
83,28,4.0,3.0,167.0,73.0,6.9,6.4,10.7,38.0,7.1,5.9,5.39,20.0,38.0,5.2,222.9
84,39,3.6,1.7,188.0,59.0,6.2,6.2,9.6,38.0,5.9,5.44,5.43,3.0,8.0,0.3,218.1
85,29,4.2,1.6,146.0,64.0,7.2,7.3,10.7,31.0,6.8,6.22,6.32,16.0,13.0,3.5,202.7
86,22,2.0,2.8,177.0,58.0,6.0,5.2,10.1,32.0,5.0,5.37,4.54,22.0,26.0,4.6,199.0
87,27,3.8,1.6,162.0,63.0,6.6,6.6,9.8,35.0,6.6,5.6,5.64,4.0,26.0,5.1,194.5
88,26,4.1,3.1,143.0,71.0,7.2,6.6,11.9,43.0,9.3,5.95,5.41,12.0,14.0,3.6,180.9
89,23,4.1,2.6,137.0,65.0,6.8,6.5,10.1,20.0,4.9,6.13,5.81,13.0,23.0,3.0,180.9
90,24,2.8,1.9,116.0,54.0,6.7,6.4,10.5,22.0,5.7,5.92,5.62,16.0,46.0,4.8,167.5
91,24,2.2,3.2,123.0,63.0,6.2,5.2,10.4,35.0,7.9,5.27,4.35,20.0,30.0,4.6,157.3
92,23,4.1,2.5,118.0,67.0,6.8,6.4,10.1,31.0,7.3,5.78,5.48,5.0,11.0,2.4,157.0
93,22,2.3,2.9,112.0,54.0,6.1,5.3,11.0,44.0,10.3,4.6,3.86,10.0,52.0,6.4,151.9
