,Year,Age,Passing_TD%,Passing_Int%,Passing_Lng,Passing_Y/A,Passing_AY/A,Passing_Y/C,Passing_Sk%,Passing_NY/A,Passing_ANY/A,Rushing_Lng,Rushing_Y/A_y,Fantasy_PPR
3,2021,25,5.6,2.3,61.0,6.8,6.9,10.8,3.9,6.31,6.38,34.0,6.3,402.6
5,2021,23,5.7,2.2,72.0,7.5,7.6,11.3,4.4,6.83,6.95,36.0,4.8,380.8
6,2021,44,6.0,1.7,62.0,7.4,7.8,11.0,3.0,6.98,7.41,13.0,2.9,374.7
12,2021,26,5.6,2.0,75.0,7.4,7.6,11.1,4.1,6.84,7.07,32.0,5.8,361.7
17,2021,38,7.0,0.8,75.0,7.7,8.8,11.2,5.3,7.0,8.0,18.0,3.1,333.3
19,2021,33,6.8,2.8,79.0,8.1,8.2,12.1,4.8,7.36,7.45,12.0,1.3,329.7
22,2021,28,6.2,1.7,51.0,7.5,8.0,10.9,4.8,6.88,7.34,21.0,3.0,320.6
28,2021,25,6.5,2.7,82.0,8.9,9.0,12.6,8.9,7.43,7.51,12.0,3.0,314.2
30,2021,23,3.7,2.1,91.0,7.3,7.1,11.9,5.7,6.54,6.35,31.0,5.6,312.2
39,2021,24,5.0,2.1,77.0,7.9,7.9,11.4,6.1,6.84,6.9,57.0,4.8,300.5
40,2021,33,5.9,1.2,64.0,7.5,8.1,11.3,4.8,6.83,7.42,29.0,4.0,300.3
75,2021,33,4.0,2.6,57.0,7.0,6.6,10.5,8.1,5.89,5.53,28.0,4.9,268.4
76,2021,29,5.2,1.4,76.0,6.9,7.3,11.1,5.8,6.09,6.5,18.0,3.8,258.0
77,2021,30,3.7,2.2,61.0,7.7,7.4,11.2,6.0,6.85,6.6,22.0,2.7,257.0
78,2021,33,6.3,1.5,69.0,7.8,8.4,12.0,7.6,6.58,7.11,17.0,4.3,242.8
79,2021,24,4.2,3.4,49.0,7.5,6.9,11.7,9.0,6.41,5.78,31.0,5.8,240.0
80,2021,30,4.5,2.7,83.0,8.6,8.3,12.7,6.2,7.68,7.38,7.0,1.3,227.5
81,2021,23,4.2,2.5,75.0,7.3,7.0,10.8,5.1,6.48,6.22,13.0,2.9,224.9
82,2021,36,3.6,2.1,64.0,7.1,6.8,10.6,6.7,6.16,5.92,17.0,2.1,222.9
83,2021,28,4.0,3.0,73.0,6.9,6.4,10.7,7.1,5.9,5.39,38.0,5.2,222.9
84,2021,39,3.6,1.7,59.0,6.2,6.2,9.6,5.9,5.44,5.43,8.0,0.3,218.1
85,2021,29,4.2,1.6,64.0,7.2,7.3,10.7,6.8,6.22,6.32,13.0,3.5,202.7
86,2021,22,2.0,2.8,58.0,6.0,5.2,10.1,5.0,5.37,4.54,26.0,4.6,199.0
87,2021,27,3.8,1.6,63.0,6.6,6.6,9.8,6.6,5.6,5.64,26.0,5.1,194.5
88,2021,26,4.1,3.1,71.0,7.2,6.6,11.9,9.3,5.95,5.41,14.0,3.6,180.9
89,2021,23,4.1,2.6,65.0,6.8,6.5,10.1,4.9,6.13,5.81,23.0,3.0,180.9
90,2021,24,2.8,1.9,54.0,6.7,6.4,10.5,5.7,5.92,5.62,46.0,4.8,167.5
91,2021,24,2.2,3.2,63.0,6.2,5.2,10.4,7.9,5.27,4.35,30.0,4.6,157.3
92,2021,23,4.1,2.5,67.0,6.8,6.4,10.1,7.3,5.78,5.48,11.0,2.4,157.0
93,2021,22,2.3,2.9,54.0,6.1,5.3,11.0,10.3,4.6,3.86,52.0,6.4,151.9
96,2021,22,2.6,3.7,64.0,6.9,5.8,11.8,11.8,5.25,4.24,23.0,5.8,126.8
103,2021,31,3.0,3.7,70.0,7.3,6.2,12.5,6.3,6.39,5.38,44.0,5.3,121.7
